season,stage,round,team,points,position,goal_diff
2024/25,regular,1,M. Bnei Reineh,3,1,1
2024/25,regular,1,M. Tel Aviv,3,2,1
2024/25,regular,1,Maccabi Haifa,2,3,4
2024/25,regular,1,Bnei Sakhnin,2,4,2
2024/25,regular,1,B. Jerusalem,2,5,1
2024/25,regular,1,H. Beer Sheva,1,6,1
2024/25,regular,1,Hapoel Hadera,1,7,0
2024/25,regular,1,Hapoel Haifa,1,7,0
2024/25,regular,1,Maccabi Netanya,0,9,-1
2024/25,regular,1,FC Ashdod,0,10,-1
2024/25,regular,1,H. Jerusalem,0,11,-1
2024/25,regular,1,Kiryat Shmona,0,12,-1
2024/25,regular,1,M. Petah Tikva,0,13,-2
2024/25,regular,1,Ironi Tiberias,0,14,-4
2024/25,regular,2,M. Tel Aviv,6,1,4
2024/25,regular,2,M. Bnei Reineh,6,2,3
2024/25,regular,2,Maccabi Haifa,5,3,6
2024/25,regular,2,Bnei Sakhnin,3,4,2
2024/25,regular,2,FC Ashdod,3,5,0
2024/25,regular,2,Ironi Tiberias,3,6,-3
2024/25,regular,2,H. Beer Sheva,2,7,1
2024/25,regular,2,B. Jerusalem,2,8,0
2024/25,regular,2,Hapoel Hadera,2,9,0
2024/25,regular,2,H. Jerusalem,1,10,-1
2024/25,regular,2,Hapoel Haifa,1,11,-2
2024/25,regular,2,Kiryat Shmona,0,12,-2
2024/25,regular,2,Maccabi Netanya,0,13,-3
2024/25,regular,2,M. Petah Tikva,0,14,-5
2024/25,regular,3,M. Tel Aviv,9,1,5
2024/25,regular,3,M. Bnei Reineh,7,2,3
2024/25,regular,3,Maccabi Haifa,6,3,6
2024/25,regular,3,B. Jerusalem,5,4,2
2024/25,regular,3,Hapoel Haifa,4,5,2
2024/25,regular,3,Bnei Sakhnin,4,6,2
2024/25,regular,3,FC Ashdod,4,7,0
2024/25,regular,3,Kiryat Shmona,3,8,0
2024/25,regular,3,M. Petah Tikva,3,9,-4
2024/25,regular,3,Ironi Tiberias,3,10,-5
2024/25,regular,3,H. Beer Sheva,2,11,0
2024/25,regular,3,Hapoel Hadera,2,12,-1
2024/25,regular,3,H. Jerusalem,1,13,-5
2024/25,regular,3,Maccabi Netanya,0,14,-5
2024/25,regular,4,M. Tel Aviv,12,1,7
2024/25,regular,4,M. Bnei Reineh,10,2,4
2024/25,regular,4,B. Jerusalem,8,3,3
2024/25,regular,4,Maccabi Haifa,6,4,5
2024/25,regular,4,Ironi Tiberias,6,5,-4
2024/25,regular,4,Hapoel Haifa,5,6,2
2024/25,regular,4,H. Beer Sheva,5,7,1
2024/25,regular,4,Bnei Sakhnin,4,8,1
2024/25,regular,4,FC Ashdod,4,9,-2
2024/25,regular,4,M. Petah Tikva,4,10,-4
2024/25,regular,4,Kiryat Shmona,3,11,-2
2024/25,regular,4,Maccabi Netanya,3,12,-3
2024/25,regular,4,Hapoel Hadera,2,13,-2
2024/25,regular,4,H. Jerusalem,1,14,-6
2024/25,regular,5,M. Tel Aviv,13,1,7
2024/25,regular,5,B. Jerusalem,11,2,5
2024/25,regular,5,M. Bnei Reineh,10,3,2
2024/25,regular,5,Maccabi Haifa,9,4,9
2024/25,regular,5,H. Beer Sheva,8,5,4
2024/25,regular,5,Bnei Sakhnin,7,6,2
2024/25,regular,5,FC Ashdod,7,7,1
2024/25,regular,5,Ironi Tiberias,7,8,-4
2024/25,regular,5,Hapoel Haifa,5,9,-1
2024/25,regular,5,H. Jerusalem,4,10,-3
2024/25,regular,5,M. Petah Tikva,4,11,-7
2024/25,regular,5,Maccabi Netanya,3,12,-4
2024/25,regular,5,Kiryat Shmona,3,13,-6
2024/25,regular,5,Hapoel Hadera,2,14,-5
2024/25,regular,6,M. Tel Aviv,16,1,8
2024/25,regular,6,Maccabi Haifa,12,2,12
2024/25,regular,6,B. Jerusalem,12,3,5
2024/25,regular,6,H. Beer Sheva,11,4,6
2024/25,regular,6,M. Bnei Reineh,10,5,1
2024/25,regular,6,Hapoel Haifa,8,6,0
2024/25,regular,6,Ironi Tiberias,8,7,-4
2024/25,regular,6,FC Ashdod,7,8,0
2024/25,regular,6,Bnei Sakhnin,7,9,-1
2024/25,regular,6,M. Petah Tikva,7,10,-6
2024/25,regular,6,H. Jerusalem,4,11,-5
2024/25,regular,6,Kiryat Shmona,4,12,-6
2024/25,regular,6,Maccabi Netanya,3,13,-5
2024/25,regular,6,Hapoel Hadera,3,14,-5
2024/25,regular,7,M. Tel Aviv,19,1,10
2024/25,regular,7,H. Beer Sheva,14,2,9
2024/25,regular,7,M. Bnei Reineh,13,3,2
2024/25,regular,7,Maccabi Haifa,12,4,10
2024/25,regular,7,B. Jerusalem,12,5,4
2024/25,regular,7,Hapoel Haifa,11,6,1
2024/25,regular,7,Bnei Sakhnin,10,7,0
2024/25,regular,7,Ironi Tiberias,8,8,-5
2024/25,regular,7,FC Ashdod,7,9,-1
2024/25,regular,7,H. Jerusalem,7,10,-4
2024/25,regular,7,M. Petah Tikva,7,11,-9
2024/25,regular,7,Maccabi Netanya,4,12,-5
2024/25,regular,7,Hapoel Hadera,4,13,-5
2024/25,regular,7,Kiryat Shmona,4,14,-7
2024/25,regular,8,M. Tel Aviv,19,1,8
2024/25,regular,8,Maccabi Haifa,15,2,12
2024/25,regular,8,H. Beer Sheva,15,3,9
2024/25,regular,8,B. Jerusalem,15,4,6
2024/25,regular,8,Hapoel Haifa,14,5,4
2024/25,regular,8,M. Bnei Reineh,14,6,2
2024/25,regular,8,Bnei Sakhnin,10,7,-1
