season,stage,round,team,points,position,goal_diff
2023/24,regular,1,M. Tel Aviv,3,1,3
2023/24,regular,1,H. Beer Sheva,3,2,3
2023/24,regular,1,Hapoel Haifa,3,3,1
2023/24,regular,1,Maccabi Haifa,1,4,1
2023/24,regular,1,H. Jerusalem,1,5,0
2023/24,regular,1,M. Bnei Reineh,1,5,0
2023/24,regular,1,M. Petah Tikva,1,5,0
2023/24,regular,1,Maccabi Netanya,1,5,0
2023/24,regular,1,Bnei Sakhnin,0,9,0
2023/24,regular,1,Hapoel Tel Aviv,0,9,0
2023/24,regular,1,H. Petah Tikva,0,11,-1
2023/24,regular,1,FC Ashdod,0,12,-3
2023/24,regular,1,Hapoel Hadera,0,13,-3
2023/24,regular,1,B. Jerusalem,-5,14,-1
2023/24,regular,2,M. Tel Aviv,6,1,6
2023/24,regular,2,H. Beer Sheva,4,2,3
2023/24,regular,2,Maccabi Haifa,4,3,2
2023/24,regular,2,Hapoel Haifa,4,4,1
2023/24,regular,2,Hapoel Tel Aviv,3,5,2
2023/24,regular,2,M. Petah Tikva,2,6,0
2023/24,regular,2,M. Bnei Reineh,2,7,0
2023/24,regular,2,Bnei Sakhnin,1,8,0
2023/24,regular,2,H. Jerusalem,1,9,-1
2023/24,regular,2,H. Petah Tikva,1,9,-1
2023/24,regular,2,Maccabi Netanya,1,11,-2
2023/24,regular,2,FC Ashdod,0,12,-4
2023/24,regular,2,Hapoel Hadera,0,13,-6
2023/24,regular,2,B. Jerusalem,-2,14,0
2023/24,regular,3,M. Tel Aviv,7,1,6
2023/24,regular,3,Hapoel Haifa,7,2,3
2023/24,regular,3,H. Beer Sheva,5,3,3
2023/24,regular,3,M. Petah Tikva,5,4,1
2023/24,regular,3,Hapoel Tel Aviv,4,5,2
2023/24,regular,3,Maccabi Haifa,4,6,1
2023/24,regular,3,Maccabi Netanya,4,7,1
2023/24,regular,3,Bnei Sakhnin,4,8,1
2023/24,regular,3,M. Bnei Reineh,3,9,0
2023/24,regular,3,B. Jerusalem,1,10,2
2023/24,regular,3,H. Jerusalem,1,11,-2
2023/24,regular,3,H. Petah Tikva,1,12,-4
2023/24,regular,3,FC Ashdod,0,13,-6
