season,stage,round,team,points,position,goal_diff
2007/08,regular,1,B. Jerusalem,3,1,3
2007/08,regular,1,Kiryat Shmona,3,1,3
2007/08,regular,1,Bnei Sakhnin,3,3,1
2007/08,regular,1,H. Kfar Saba,3,3,1
2007/08,regular,1,FC Ashdod,1,5,0
2007/08,regular,1,M. Tel Aviv,1,5,0
2007/08,regular,1,Hapoel Tel Aviv,1,7,0
2007/08,regular,1,Maccabi Netanya,1,7,0
2007/08,regular,1,M. Petah Tikva,0,9,-1
2007/08,regular,1,Maccabi Haifa,0,9,-1
2007/08,regular,1,Bnei Yehuda,0,11,-3
2007/08,regular,1,Maccabi Herzlya,0,11,-3
2007/08,regular,2,B. Jerusalem,6,1,4
2007/08,regular,2,Kiryat Shmona,4,2,3
2007/08,regular,2,FC Ashdod,4,3,1
2007/08,regular,2,Maccabi Netanya,4,3,1
2007/08,regular,2,Bnei Sakhnin,4,5,1
2007/08,regular,2,H. Kfar Saba,4,5,1
2007/08,regular,2,M. Petah Tikva,3,7,0
2007/08,regular,2,M. Tel Aviv,1,8,-1
2007/08,regular,2,Hapoel Tel Aviv,1,9,-1
2007/08,regular,2,Bnei Yehuda,1,10,-3
2007/08,regular,2,Maccabi Haifa,0,11,-2
2007/08,regular,2,Maccabi Herzlya,0,12,-4
2007/08,regular,3,B. Jerusalem,9,1,6
2007/08,regular,3,Kiryat Shmona,7,2,4
2007/08,regular,3,Bnei Sakhnin,7,3,2
2007/08,regular,3,H. Kfar Saba,7,4,2
2007/08,regular,3,M. Petah Tikva,6,5,1
2007/08,regular,3,FC Ashdod,4,6,0
2007/08,regular,3,Maccabi Netanya,4,6,0
2007/08,regular,3,Hapoel Tel Aviv,2,8,-1
2007/08,regular,3,Bnei Yehuda,2,9,-3
2007/08,regular,3,M. Tel Aviv,1,10,-2
2007/08,regular,3,Maccabi Haifa,0,11,-3
2007/08,regular,3,Maccabi Herzlya,0,12,-6
2007/08,regular,4,B. Jerusalem,10,1,6
2007/08,regular,4,M. Petah Tikva,9,2,3
2007/08,regular,4,Bnei Sakhnin,8,3,2
2007/08,regular,4,H. Kfar Saba,8,4,2
2007/08,regular,4,Maccabi Netanya,7,5,5
2007/08,regular,4,Kiryat Shmona,7,6,2
2007/08,regular,4,Bnei Yehuda,5,7,-1
2007/08,regular,4,FC Ashdod,4,8,-5
2007/08,regular,4,Maccabi Haifa,3,9,0
2007/08,regular,4,Hapoel Tel Aviv,3,10,-1
2007/08,regular,4,M. Tel Aviv,1,11,-5
2007/08,regular,4,Maccabi Herzlya,0,12,-8
2007/08,regular,5,B. Jerusalem,13,1,11
2007/08,regular,5,Maccabi Netanya,10,2,6
2007/08,regular,5,Kiryat Shmona,10,3,3
2007/08,regular,5,M. Petah Tikva,9,4,2
2007/08,regular,5,Bnei Yehuda,8,5,2
2007/08,regular,5,H. Kfar Saba,8,6,1
2007/08,regular,5,Bnei Sakhnin,8,7,-1
2007/08,regular,5,Maccabi Haifa,6,8,1
2007/08,regular,5,FC Ashdod,4,9,-10
2007/08,regular,5,Hapoel Tel Aviv,3,10,-3
2007/08,regular,5,Maccabi Herzlya,3,11,-6
2007/08,regular,5,M. Tel Aviv,1,12,-6
2007/08,regular,6,B. Jerusalem,16,1,12
2007/08,regular,6,Maccabi Netanya,13,2,8
2007/08,regular,6,Bnei Sakhnin,11,3,0
2007/08,regular,6,Kiryat Shmona,10,4,2
2007/08,regular,6,Maccabi Haifa,9,5,2
2007/08,regular,6,M. Petah Tikva,9,6,1
2007/08,regular,6,H. Kfar Saba,8,7,0
2007/08,regular,6,Bnei Yehuda,8,8,-1
2007/08,regular,6,FC Ashdod,7,9,-7
2007/08,regular,6,Maccabi Herzlya,6,10,-5
2007/08,regular,6,Hapoel Tel Aviv,3,11,-4
2007/08,regular,6,M. Tel Aviv,1,12,-8
2007/08,regular,7,B. Jerusalem,19,1,14
2007/08,regular,7,Maccabi Netanya,16,2,9
2007/08,regular,7,Bnei Sakhnin,14,3,1
2007/08,regular,7,M. Petah Tikva,12,4,2
2007/08,regular,7,Kiryat Shmona,11,5,2
2007/08,regular,7,FC Ashdod,10,6,-5
2007/08,regular,7,Maccabi Haifa,9,7,1
2007/08,regular,7,H. Kfar Saba,9,8,0
2007/08,regular,7,Bnei Yehuda,8,9,-2
2007/08,regular,7,Maccabi Herzlya,6,10,-6
2007/08,regular,7,Hapoel Tel Aviv,3,11,-6
2007/08,regular,7,M. Tel Aviv,1,12,-10
2007/08,regular,8,B. Jerusalem,20,1,14
2007/08,regular,8,Maccabi Netanya,17,2,9
2007/08,regular,8,M. Petah Tikva,15,3,3
2007/08,regular,8,Bnei Sakhnin,15,4,1
2007/08,regular,8,Kiryat Shmona,12,5,2
2007/08,regular,8,Maccabi Haifa,10,6,1
2007/08,regular,8,H. Kfar Saba,10,7,0
2007/08,regular,8,FC Ashdod,10,8,-6
2007/08,regular,8,Maccabi Herzlya,9,9,-5
2007/08,regular,8,Bnei Yehuda,8,10,-4
2007/08,regular,8,M. Tel Aviv,4,11,-8
2007/08,regular,8,Hapoel Tel Aviv,3,12,-7
2007/08,regular,9,B. Jerusalem,21,1,14
2007/08,regular,9,Bnei Sakhnin,18,2,4
2007/08,regular,9,Maccabi Netanya,17,3,8
2007/08,regular,9,M. Petah Tikva,16,4,3
2007/08,regular,9,Maccabi Haifa,13,5,4
2007/08,regular,9,Kiryat Shmona,13,6,2
2007/08,regular,9,H. Kfar Saba,13,7,1
2007/08,regular,9,Maccabi Herzlya,10,8,-5
2007/08,regular,9,FC Ashdod,10,9,-9
2007/08,regular,9,Bnei Yehuda,8,10,-7
2007/08,regular,9,Hapoel Tel Aviv,6,11,-6
2007/08,regular,9,M. Tel Aviv,4,12,-9
2007/08,regular,10,B. Jerusalem,24,1,15
2007/08,regular,10,M. Petah Tikva,19,2,5
2007/08,regular,10,Bnei Sakhnin,18,3,2
2007/08,regular,10,Maccabi Netanya,17,4,7
2007/08,regular,10,Maccabi Haifa,16,5,6
2007/08,regular,10,H. Kfar Saba,16,6,3
2007/08,regular,10,Kiryat Shmona,16,7,3
2007/08,regular,10,Maccabi Herzlya,10,8,-7
2007/08,regular,10,FC Ashdod,10,9,-11
2007/08,regular,10,Bnei Yehuda,8,10,-8
2007/08,regular,10,M. Tel Aviv,7,11,-7
2007/08,regular,10,Hapoel Tel Aviv,6,12,-8
2007/08,regular,11,B. Jerusalem,27,1,19
2007/08,regular,11,M. Petah Tikva,22,2,7
2007/08,regular,11,Bnei Sakhnin,21,3,3
2007/08,regular,11,Maccabi Netanya,20,4,8
2007/08,regular,11,Maccabi Haifa,19,5,7
2007/08,regular,11,Kiryat Shmona,19,6,4
2007/08,regular,11,H. Kfar Saba,16,7,-1
2007/08,regular,11,Maccabi Herzlya,10,8,-8
2007/08,regular,11,FC Ashdod,10,9,-13
2007/08,regular,11,Bnei Yehuda,8,10,-9
2007/08,regular,11,M. Tel Aviv,7,11,-8
2007/08,regular,11,Hapoel Tel Aviv,6,12,-9
2007/08,regular,12,B. Jerusalem,30,1,22
2007/08,regular,12,Maccabi Netanya,23,2,9
2007/08,regular,12,M. Petah Tikva,23,3,7
2007/08,regular,12,Kiryat Shmona,22,4,6
2007/08,regular,12,Bnei Sakhnin,22,5,3
2007/08,regular,12,Maccabi Haifa,20,6,7
2007/08,regular,12,H. Kfar Saba,17,7,-1
2007/08,regular,12,FC Ashdod,11,8,-13
2007/08,regular,12,Maccabi Herzlya,10,9,-10
2007/08,regular,12,M. Tel Aviv,8,10,-8
2007/08,regular,12,Bnei Yehuda,8,11,-12
2007/08,regular,12,Hapoel Tel Aviv,6,12,-10
2007/08,regular,13,B. Jerusalem,33,1,23
2007/08,regular,13,Maccabi Netanya,24,2,9
2007/08,regular,13,Maccabi Haifa,23,3,10
2007/08,regular,13,M. Petah Tikva,23,4,6
2007/08,regular,13,Kiryat Shmona,23,5,6
2007/08,regular,13,Bnei Sakhnin,23,6,3
2007/08,regular,13,H. Kfar Saba,20,7,1
2007/08,regular,13,M. Tel Aviv,11,8,-7
2007/08,regular,13,Maccabi Herzlya,11,9,-10
2007/08,regular,13,FC Ashdod,11,10,-16
2007/08,regular,13,Bnei Yehuda,8,11,-14
2007/08,regular,13,Hapoel Tel Aviv,6,12,-11
2007/08,regular,14,B. Jerusalem,34,1,23
2007/08,regular,14,Maccabi Netanya,25,2,9
2007/08,regular,14,Maccabi Haifa,24,3,10
2007/08,regular,14,M. Petah Tikva,24,4,6
2007/08,regular,14,Kiryat Shmona,24,5,6
2007/08,regular,14,Bnei Sakhnin,24,6,3
2007/08,regular,14,H. Kfar Saba,20,7,-2
2007/08,regular,14,M. Tel Aviv,14,8,-4
2007/08,regular,14,Maccabi Herzlya,12,9,-10
2007/08,regular,14,FC Ashdod,12,10,-16
2007/08,regular,14,Hapoel Tel Aviv,9,11,-10
2007/08,regular,14,Bnei Yehuda,8,12,-15
2007/08,regular,15,B. Jerusalem,34,1,22
2007/08,regular,15,Maccabi Netanya,28,2,12
2007/08,regular,15,Maccabi Haifa,27,3,12
2007/08,regular,15,Kiryat Shmona,27,4,7
2007/08,regular,15,Bnei Sakhnin,27,5,4
2007/08,regular,15,M. Petah Tikva,24,6,5
2007/08,regular,15,H. Kfar Saba,23,7,-1
2007/08,regular,15,Maccabi Herzlya,15,8,-9
2007/08,regular,15,M. Tel Aviv,14,9,-6
2007/08,regular,15,FC Ashdod,12,10,-19
2007/08,regular,15,Hapoel Tel Aviv,9,11,-11
2007/08,regular,15,Bnei Yehuda,8,12,-16
2007/08,regular,16,B. Jerusalem,37,1,23
2007/08,regular,16,Maccabi Haifa,30,2,15
2007/08,regular,16,Maccabi Netanya,29,3,12
2007/08,regular,16,Kiryat Shmona,28,4,7
