season,stage,round,team,points,position,goal_diff
2018/19,regular,1,Hapoel Haifa,3,1,5
2018/19,regular,1,M. Petah Tikva,3,2,3
2018/19,regular,1,M. Tel Aviv,3,3,2
2018/19,regular,1,Hapoel Hadera,3,4,1
2018/19,regular,1,FC Ashdod,3,5,1
2018/19,regular,1,H. Beer Sheva,1,6,0
2018/19,regular,1,Kiryat Shmona,1,6,0
2018/19,regular,1,Bnei Sakhnin,1,8,0
2018/19,regular,1,Hapoel Raanana,1,8,0
2018/19,regular,1,Hapoel Tel Aviv,0,10,-1
2018/19,regular,1,Bnei Yehuda,0,11,-1
2018/19,regular,1,Maccabi Haifa,0,12,-2
2018/19,regular,1,B. Jerusalem,0,13,-3
2018/19,regular,1,Maccabi Netanya,0,14,-5
2018/19,regular,2,Hapoel Hadera,6,1,2
2018/19,regular,2,M. Petah Tikva,4,2,3
2018/19,regular,2,M. Tel Aviv,4,3,2
2018/19,regular,2,Hapoel Raanana,4,4,1
2018/19,regular,2,Hapoel Haifa,3,5,4
2018/19,regular,2,Hapoel Tel Aviv,3,6,0
2018/19,regular,2,Maccabi Haifa,3,6,0
2018/19,regular,2,FC Ashdod,3,8,-1
2018/19,regular,2,H. Beer Sheva,2,9,0
2018/19,regular,2,Bnei Sakhnin,2,10,0
2018/19,regular,2,Bnei Yehuda,1,11,-1
2018/19,regular,2,Kiryat Shmona,1,11,-1
2018/19,regular,2,Maccabi Netanya,1,13,-5
2018/19,regular,2,B. Jerusalem,0,14,-4
2018/19,regular,3,M. Tel Aviv,7,1,5
2018/19,regular,3,Hapoel Hadera,7,2,2
2018/19,regular,3,FC Ashdod,6,3,0
2018/19,regular,3,M. Petah Tikva,5,4,3
2018/19,regular,3,Hapoel Haifa,4,5,4
2018/19,regular,3,Hapoel Tel Aviv,4,6,0
2018/19,regular,3,Kiryat Shmona,4,6,0
2018/19,regular,3,Maccabi Haifa,4,6,0
2018/19,regular,3,Hapoel Raanana,4,9,-2
2018/19,regular,3,Bnei Sakhnin,3,10,0
2018/19,regular,3,Bnei Yehuda,2,11,-1
2018/19,regular,3,H. Beer Sheva,2,12,-1
2018/19,regular,3,B. Jerusalem,1,13,-4
2018/19,regular,3,Maccabi Netanya,1,14,-6
2018/19,regular,4,M. Tel Aviv,10,1,6
2018/19,regular,4,Hapoel Hadera,10,2,4
2018/19,regular,4,M. Petah Tikva,8,3,4
2018/19,regular,4,FC Ashdod,7,4,0
2018/19,regular,4,Hapoel Tel Aviv,5,5,0
2018/19,regular,4,Kiryat Shmona,5,5,0
2018/19,regular,4,Hapoel Raanana,5,7,-2
2018/19,regular,4,Hapoel Haifa,4,8,2
2018/19,regular,4,Maccabi Haifa,4,9,-1
2018/19,regular,4,B. Jerusalem,4,10,-3
2018/19,regular,4,Bnei Sakhnin,3,11,-1
2018/19,regular,4,Bnei Yehuda,3,12,-1
2018/19,regular,4,H. Beer Sheva,3,13,-1
2018/19,regular,4,Maccabi Netanya,1,14,-7
2018/19,regular,5,Hapoel Hadera,13,1,5
2018/19,regular,5,M. Tel Aviv,11,2,6
2018/19,regular,5,M. Petah Tikva,9,3,4
2018/19,regular,5,Kiryat Shmona,8,4,2
2018/19,regular,5,FC Ashdod,7,5,-3
2018/19,regular,5,Bnei Yehuda,6,6,2
2018/19,regular,5,Hapoel Tel Aviv,6,7,0
2018/19,regular,5,Hapoel Haifa,5,8,2
2018/19,regular,5,Maccabi Haifa,5,9,-1
2018/19,regular,5,Hapoel Raanana,5,10,-5
2018/19,regular,5,H. Beer Sheva,4,11,-1
2018/19,regular,5,Maccabi Netanya,4,12,-4
2018/19,regular,5,B. Jerusalem,4,13,-5
2018/19,regular,5,Bnei Sakhnin,3,14,-2
2018/19,regular,6,Hapoel Hadera,16,1,6
2018/19,regular,6,M. Tel Aviv,14,2,8
2018/19,regular,6,Bnei Yehuda,9,3,4
2018/19,regular,6,M. Petah Tikva,9,4,1
2018/19,regular,6,Kiryat Shmona,8,5,1
2018/19,regular,6,FC Ashdod,8,6,-3
2018/19,regular,6,H. Beer Sheva,7,7,2
2018/19,regular,6,Hapoel Tel Aviv,7,8,0
2018/19,regular,6,Bnei Sakhnin,6,9,1
2018/19,regular,6,Maccabi Haifa,6,10,-1
2018/19,regular,6,Hapoel Raanana,6,11,-5
2018/19,regular,6,Hapoel Haifa,5,12,-1
2018/19,regular,6,Maccabi Netanya,4,13,-6
2018/19,regular,6,B. Jerusalem,4,14,-7
2018/19,regular,7,M. Tel Aviv,17,1,12
2018/19,regular,7,Hapoel Hadera,16,2,2
2018/19,regular,7,Bnei Yehuda,10,3,4
2018/19,regular,7,H. Beer Sheva,10,4,4
2018/19,regular,7,M. Petah Tikva,10,5,1
2018/19,regular,7,Kiryat Shmona,9,6,1
2018/19,regular,7,FC Ashdod,9,7,-3
2018/19,regular,7,Hapoel Tel Aviv,8,8,0
2018/19,regular,7,Bnei Sakhnin,7,9,1
2018/19,regular,7,Maccabi Netanya,7,10,-4
2018/19,regular,7,Hapoel Haifa,6,11,-1
2018/19,regular,7,Maccabi Haifa,6,12,-3
2018/19,regular,7,Hapoel Raanana,6,13,-7
2018/19,regular,7,B. Jerusalem,5,14,-7
2018/19,regular,8,M. Tel Aviv,20,1,14
2018/19,regular,8,Hapoel Hadera,19,2,3
2018/19,regular,8,Bnei Yehuda,13,3,8
2018/19,regular,8,Kiryat Shmona,12,4,4
2018/19,regular,8,H. Beer Sheva,10,5,3
2018/19,regular,8,M. Petah Tikva,10,6,0
2018/19,regular,8,Maccabi Netanya,10,7,-3
2018/19,regular,8,Maccabi Haifa,9,8,-2
2018/19,regular,8,FC Ashdod,9,9,-4
2018/19,regular,8,Hapoel Raanana,9,10,-6
2018/19,regular,8,Hapoel Tel Aviv,8,11,-1
2018/19,regular,8,Bnei Sakhnin,7,12,-2
2018/19,regular,8,Hapoel Haifa,6,13,-3
2018/19,regular,8,B. Jerusalem,5,14,-11
2018/19,regular,9,M. Tel Aviv,23,1,17
2018/19,regular,9,Hapoel Hadera,19,2,1
2018/19,regular,9,Bnei Yehuda,16,3,10
2018/19,regular,9,Kiryat Shmona,15,4,5
2018/19,regular,9,H. Beer Sheva,13,5,4
2018/19,regular,9,Maccabi Netanya,13,6,-2
2018/19,regular,9,M. Petah Tikva,10,7,-1
2018/19,regular,9,Hapoel Haifa,9,8,0
2018/19,regular,9,Maccabi Haifa,9,9,-3
2018/19,regular,9,FC Ashdod,9,10,-7
2018/19,regular,9,Hapoel Raanana,9,10,-7
2018/19,regular,9,Hapoel Tel Aviv,8,12,-2
2018/19,regular,9,B. Jerusalem,8,13,-10
2018/19,regular,9,Bnei Sakhnin,7,14,-5
2018/19,regular,10,M. Tel Aviv,26,1,18
2018/19,regular,10,Bnei Yehuda,19,2,12
2018/19,regular,10,Hapoel Hadera,19,3,0
2018/19,regular,10,H. Beer Sheva,16,4,5
2018/19,regular,10,Kiryat Shmona,15,5,4
2018/19,regular,10,M. Petah Tikva,13,6,0
2018/19,regular,10,Maccabi Netanya,13,7,-3
2018/19,regular,10,Maccabi Haifa,12,8,-2
2018/19,regular,10,Bnei Sakhnin,10,9,-4
2018/19,regular,10,Hapoel Raanana,10,10,-7
2018/19,regular,10,Hapoel Haifa,9,11,-2
2018/19,regular,10,Hapoel Tel Aviv,9,12,-2
2018/19,regular,10,FC Ashdod,9,13,-8
2018/19,regular,10,B. Jerusalem,8,14,-11
2018/19,regular,11,M. Tel Aviv,27,1,18
2018/19,regular,11,Hapoel Hadera,20,2,0
2018/19,regular,11,Bnei Yehuda,19,3,11
2018/19,regular,11,H. Beer Sheva,17,4,5
2018/19,regular,11,Kiryat Shmona,15,5,3
2018/19,regular,11,M. Petah Tikva,14,6,0
2018/19,regular,11,Maccabi Netanya,14,7,-3
2018/19,regular,11,Bnei Sakhnin,13,8,-3
2018/19,regular,11,Hapoel Raanana,13,9,-6
2018/19,regular,11,Hapoel Haifa,12,10,0
2018/19,regular,11,Maccabi Haifa,12,11,-4
2018/19,regular,11,FC Ashdod,12,12,-7
2018/19,regular,11,Hapoel Tel Aviv,10,13,-2
2018/19,regular,11,B. Jerusalem,8,14,-12
2018/19,regular,12,M. Tel Aviv,30,1,22
2018/19,regular,12,Bnei Yehuda,22,2,13
2018/19,regular,12,Hapoel Hadera,21,3,0
2018/19,regular,12,H. Beer Sheva,18,4,5
2018/19,regular,12,Kiryat Shmona,15,5,1
2018/19,regular,12,M. Petah Tikva,15,6,0
2018/19,regular,12,Maccabi Haifa,15,7,-2
2018/19,regular,12,Maccabi Netanya,15,8,-3
2018/19,regular,12,Hapoel Raanana,14,9,-6
2018/19,regular,12,Hapoel Haifa,13,10,0
2018/19,regular,12,Bnei Sakhnin,13,11,-5
2018/19,regular,12,FC Ashdod,12,12,-11
2018/19,regular,12,Hapoel Tel Aviv,11,13,-2
2018/19,regular,12,B. Jerusalem,9,14,-12
2018/19,regular,13,M. Tel Aviv,33,1,24
2018/19,regular,13,Bnei Yehuda,22,2,11
2018/19,regular,13,Hapoel Hadera,21,3,-1
2018/19,regular,13,H. Beer Sheva,19,4,5
