season,season_year,round,playoff_type,home_team,away_team,home_goals,away_goals,goal_diff,result,home_points,away_points
2021/22,2021,10,championship,Hapoel Tel Aviv,Maccabi Tel Aviv,0,2,-2,A,0,3
2021/22,2021,10,championship,H. Beer Sheva,Sakhnin,3,1,2,H,3,0
2021/22,2021,10,championship,Maccabi Haifa,Netanya,4,0,4,H,3,0
2021/22,2021,9,championship,Maccabi Tel Aviv,H. Beer Sheva,1,1,0,D,1,1
2021/22,2021,9,championship,Netanya,Hapoel Tel Aviv,0,0,0,D,1,1
2021/22,2021,9,championship,Sakhnin,Maccabi Haifa,0,3,-3,A,0,3
2021/22,2021,8,championship,Hapoel Tel Aviv,H. Beer Sheva,2,1,1,H,3,0
2021/22,2021,8,championship,Maccabi Haifa,Maccabi Tel Aviv,1,3,-2,A,0,3
2021/22,2021,8,championship,Netanya,Sakhnin,3,0,3,H,3,0
2021/22,2021,7,championship,H. Beer Sheva,Maccabi Haifa,1,0,1,H,3,0
2021/22,2021,7,championship,Maccabi Tel Aviv,Netanya,2,1,1,H,3,0
2021/22,2021,7,championship,Sakhnin,Hapoel Tel Aviv,0,0,0,D,1,1
2021/22,2021,6,championship,Hapoel Tel Aviv,Maccabi Haifa,0,2,-2,A,0,3
2021/22,2021,6,championship,Netanya,H. Beer Sheva,3,0,3,H,3,0
2021/22,2021,6,championship,Sakhnin,Maccabi Tel Aviv,1,0,1,H,3,0
2021/22,2021,5,championship,Maccabi Tel Aviv,Hapoel Tel Aviv,5,0,5,H,3,0
2021/22,2021,5,championship,Sakhnin,H. Beer Sheva,1,1,0,D,1,1
2021/22,2021,5,championship,Netanya,Maccabi Haifa,3,0,3,H,3,0
2021/22,2021,4,championship,Hapoel Tel Aviv,Netanya,2,0,2,H,3,0
2021/22,2021,4,championship,H. Beer Sheva,Maccabi Tel Aviv,1,0,1,H,3,0
2021/22,2021,4,championship,Maccabi Haifa,Sakhnin,1,0,1,H,3,0
2021/22,2021,3,championship,Maccabi Tel Aviv,Maccabi Haifa,1,1,0,D,1,1
2021/22,2021,3,championship,H. Beer Sheva,Hapoel Tel Aviv,2,2,0,D,1,1
2021/22,2021,3,championship,Sakhnin,Netanya,1,1,0,D,1,1
2021/22,2021,2,championship,Maccabi Haifa,H. Beer Sheva,2,0,2,H,3,0
2021/22,2021,2,championship,Hapoel Tel Aviv,Sakhnin,2,1,1,H,3,0
2021/22,2021,2,championship,Netanya,Maccabi Tel Aviv,1,1,0,D,1,1
2021/22,2021,1,championship,H. Beer Sheva,Netanya,4,1,3,H,3,0
2021/22,2021,1,championship,Maccabi Haifa,Hapoel Tel Aviv,3,0,3,H,3,0
2021/22,2021,1,championship,Maccabi Tel Aviv,Sakhnin,0,0,0,D,1,1
