season,season_year,round,playoff_type,home_team,away_team,home_goals,away_goals,goal_diff,result,home_points,away_points
2018/19,2018,36,championship,H. Beer Sheva,Maccabi Tel Aviv,0,4,-4,A,0,3
2018/19,2018,36,championship,Netanya,Maccabi Haifa,1,2,-1,A,0,3
2018/19,2018,36,championship,Bnei Yehuda,Hapoel Hadera,1,2,-1,A,0,3
2018/19,2018,35,championship,H. Beer Sheva,Hapoel Hadera,1,0,1,H,3,0
2018/19,2018,35,championship,Maccabi Haifa,Maccabi Tel Aviv,1,1,0,D,1,1
2018/19,2018,35,championship,Netanya,Bnei Yehuda,0,2,-2,A,0,3
2018/19,2018,34,championship,Hapoel Hadera,Maccabi Haifa,2,0,2,H,3,0
2018/19,2018,34,championship,Maccabi Tel Aviv,Netanya,3,0,3,H,3,0
2018/19,2018,34,championship,Bnei Yehuda,H. Beer Sheva,2,3,-1,A,0,3
2018/19,2018,33,championship,Maccabi Haifa,H. Beer Sheva,3,1,2,H,3,0
2018/19,2018,33,championship,Maccabi Tel Aviv,Bnei Yehuda,2,3,-1,A,0,3
2018/19,2018,33,championship,Hapoel Hadera,Netanya,1,2,-1,A,0,3
2018/19,2018,32,championship,Bnei Yehuda,Maccabi Haifa,2,2,0,D,1,1
2018/19,2018,32,championship,H. Beer Sheva,Netanya,0,2,-2,A,0,3
2018/19,2018,32,championship,Hapoel Hadera,Maccabi Tel Aviv,0,1,-1,A,0,3
2018/19,2018,31,championship,Netanya,Hapoel Hadera,3,2,1,H,3,0
2018/19,2018,31,championship,Bnei Yehuda,Maccabi Tel Aviv,0,2,-2,A,0,3
2018/19,2018,31,championship,H. Beer Sheva,Maccabi Haifa,0,1,-1,A,0,3
2018/19,2018,30,championship,Maccabi Tel Aviv,H. Beer Sheva,0,0,0,D,1,1
2018/19,2018,30,championship,Hapoel Hadera,Bnei Yehuda,2,3,-1,A,0,3
2018/19,2018,30,championship,Maccabi Haifa,Netanya,2,1,1,H,3,0
2018/19,2018,29,championship,Netanya,Maccabi Tel Aviv,1,4,-3,A,0,3
2018/19,2018,29,championship,H. Beer Sheva,Bnei Yehuda,2,1,1,H,3,0
2018/19,2018,29,championship,Maccabi Haifa,Hapoel Hadera,1,3,-2,A,0,3
2018/19,2018,28,championship,Hapoel Hadera,H. Beer Sheva,1,4,-3,A,0,3
2018/19,2018,28,championship,Maccabi Tel Aviv,Maccabi Haifa,1,0,1,H,3,0
2018/19,2018,28,championship,Bnei Yehuda,Netanya,1,1,0,D,1,1
2018/19,2018,27,championship,Netanya,H. Beer Sheva,0,1,-1,A,0,3
2018/19,2018,27,championship,Maccabi Haifa,Bnei Yehuda,0,2,-2,A,0,3
2018/19,2018,27,championship,Maccabi Tel Aviv,Hapoel Hadera,2,0,2,H,3,0
