season,season_year,round,playoff_type,home_team,away_team,home_goals,away_goals,goal_diff,result,home_points,away_points
2024/25,2024,36,championship,H. Beer Sheva,Hapoel Haifa,5,0,5,H,3,0
2024/25,2024,36,championship,Maccabi Tel Aviv,Beitar Jerusalem,5,0,5,H,3,0
2024/25,2024,36,championship,Netanya,Maccabi Haifa,2,3,-1,A,0,3
2024/25,2024,35,championship,Beitar Jerusalem,H. Beer Sheva,1,1,0,D,1,1
2024/25,2024,35,championship,Maccabi Haifa,Maccabi Tel Aviv,0,3,-3,A,0,3
2024/25,2024,35,championship,Hapoel Haifa,Netanya,1,1,0,D,1,1
2024/25,2024,34,championship,H. Beer Sheva,Maccabi Haifa,4,1,3,H,3,0
2024/25,2024,34,championship,Netanya,Maccabi Tel Aviv,1,6,-5,A,0,3
2024/25,2024,34,championship,Hapoel Haifa,Beitar Jerusalem,1,0,1,H,3,0
2024/25,2024,33,championship,Maccabi Tel Aviv,H. Beer Sheva,1,1,0,D,1,1
2024/25,2024,33,championship,Beitar Jerusalem,Netanya,0,3,-3,A,0,3
2024/25,2024,33,championship,Maccabi Haifa,Hapoel Haifa,1,5,-4,A,0,3
2024/25,2024,32,championship,Beitar Jerusalem,Maccabi Haifa,1,2,-1,A,0,3
2024/25,2024,32,championship,Netanya,H. Beer Sheva,2,1,1,H,3,0
2024/25,2024,32,championship,Hapoel Haifa,Maccabi Tel Aviv,1,3,-2,A,0,3
2024/25,2024,31,championship,Beitar Jerusalem,Maccabi Tel Aviv,3,1,2,H,3,0
2024/25,2024,31,championship,Maccabi Haifa,Netanya,1,0,1,H,3,0
2024/25,2024,31,championship,Hapoel Haifa,H. Beer Sheva,1,2,-1,A,0,3
2024/25,2024,30,championship,H. Beer Sheva,Beitar Jerusalem,3,1,2,H,3,0
2024/25,2024,30,championship,Maccabi Tel Aviv,Maccabi Haifa,1,1,0,D,1,1
2024/25,2024,30,championship,Netanya,Hapoel Haifa,2,2,0,D,1,1
2024/25,2024,29,championship,Maccabi Haifa,H. Beer Sheva,0,3,-3,A,0,3
2024/25,2024,29,championship,Beitar Jerusalem,Hapoel Haifa,0,1,-1,A,0,3
2024/25,2024,29,championship,Maccabi Tel Aviv,Netanya,4,1,3,H,3,0
2024/25,2024,28,championship,H. Beer Sheva,Maccabi Tel Aviv,1,3,-2,A,0,3
2024/25,2024,28,championship,Netanya,Beitar Jerusalem,0,1,-1,A,0,3
2024/25,2024,28,championship,Hapoel Haifa,Maccabi Haifa,0,2,-2,A,0,3
2024/25,2024,27,championship,Maccabi Haifa,Beitar Jerusalem,3,3,0,D,1,1
2024/25,2024,27,championship,H. Beer Sheva,Netanya,2,0,2,H,3,0
2024/25,2024,27,championship,Maccabi Tel Aviv,Hapoel Haifa,3,0,3,H,3,0
