season,season_year,round,playoff_type,home_team,away_team,home_goals,away_goals,goal_diff,result,home_points,away_points
2014/15,2014,36,relegation,Maccabi Tel Aviv,Maccabi Petah Tikva,0,2,-2,A,0,3
2014/15,2014,36,relegation,H. Beer Sheva,Beitar Jerusalem,4,0,4,H,3,0
2014/15,2014,36,relegation,Maccabi Haifa,Ironi Kiryat Shmona,4,1,3,H,3,0
2014/15,2014,35,relegation,Beitar Jerusalem,Maccabi Tel Aviv,3,0,3,H,3,0
2014/15,2014,35,relegation,Maccabi Petah Tikva,Maccabi Haifa,1,0,1,H,3,0
2014/15,2014,35,relegation,Ironi Kiryat Shmona,H. Beer Sheva,3,1,2,H,3,0
2014/15,2014,34,relegation,Maccabi Petah Tikva,Beitar Jerusalem,1,2,-1,A,0,3
2014/15,2014,34,relegation,Maccabi Tel Aviv,Ironi Kiryat Shmona,2,1,1,H,3,0
2014/15,2014,34,relegation,Maccabi Haifa,H. Beer Sheva,4,0,4,H,3,0
2014/15,2014,33,relegation,H. Beer Sheva,Maccabi Tel Aviv,1,1,0,D,1,1
2014/15,2014,33,relegation,Beitar Jerusalem,Maccabi Haifa,1,1,0,D,1,1
2014/15,2014,33,relegation,Ironi Kiryat Shmona,Maccabi Petah Tikva,2,0,2,H,3,0
2014/15,2014,32,relegation,Maccabi Haifa,Maccabi Tel Aviv,1,1,0,D,1,1
2014/15,2014,32,relegation,Maccabi Petah Tikva,H. Beer Sheva,1,2,-1,A,0,3
2014/15,2014,32,relegation,Beitar Jerusalem,Ironi Kiryat Shmona,0,1,-1,A,0,3
2014/15,2014,31,relegation,Ironi Kiryat Shmona,Maccabi Haifa,1,0,1,H,3,0
2014/15,2014,31,relegation,Beitar Jerusalem,H. Beer Sheva,1,1,0,D,1,1
2014/15,2014,31,relegation,Maccabi Petah Tikva,Maccabi Tel Aviv,1,1,0,D,1,1
2014/15,2014,30,relegation,Maccabi Haifa,Maccabi Petah Tikva,0,0,0,D,1,1
2014/15,2014,30,relegation,H. Beer Sheva,Ironi Kiryat Shmona,2,2,0,D,1,1
2014/15,2014,30,relegation,Maccabi Tel Aviv,Beitar Jerusalem,4,1,3,H,3,0
2014/15,2014,29,relegation,Ironi Kiryat Shmona,Maccabi Tel Aviv,0,0,0,D,1,1
2014/15,2014,29,relegation,Beitar Jerusalem,Maccabi Petah Tikva,0,0,0,D,1,1
2014/15,2014,29,relegation,H. Beer Sheva,Maccabi Haifa,1,1,0,D,1,1
2014/15,2014,28,relegation,Maccabi Petah Tikva,Ironi Kiryat Shmona,0,1,-1,A,0,3
2014/15,2014,28,relegation,Maccabi Tel Aviv,H. Beer Sheva,3,1,2,H,3,0
2014/15,2014,28,relegation,Maccabi Haifa,Beitar Jerusalem,1,0,1,H,3,0
2014/15,2014,27,relegation,Maccabi Tel Aviv,Maccabi Haifa,2,1,1,H,3,0
2014/15,2014,27,relegation,Ironi Kiryat Shmona,Beitar Jerusalem,1,2,-1,A,0,3
2014/15,2014,27,relegation,H. Beer Sheva,Maccabi Petah Tikva,3,0,3,H,3,0
