day_of_week,matches,mean_attendance,std_attendance,standard_error,ci95_low,ci95_high,low_sample
Monday,451,11012.40798226164,7903.828824469436,372.1767636877367,10282.941525433676,11741.874439089604,False
Tuesday,106,6259.594339622641,6914.556475502969,671.6010949126907,4943.256193593767,7575.932485651515,False
Wednesday,112,6601.794642857143,6593.6103087303,623.037611391864,5380.64092452909,7822.9483611851965,False
Thursday,14,7392.357142857143,9427.581626492332,2519.6271737270945,2453.887882352038,12330.826403362247,True
Friday,7,11905.857142857143,9277.62384141851,3506.612205999589,5032.897219097948,18778.81706661634,True
Saturday,2070,5252.359903381643,5657.348154956144,124.34483015265882,5008.644036282431,5496.075770480854,False
Sunday,636,6639.301886792453,6167.092490459844,244.5411239414819,6160.001283867148,7118.602489717758,False
