day_of_week,matches,mean_attendance,median_attendance,min_attendance,max_attendance,std_attendance
Monday,451,11012.40798226164,10132.0,171.0,35000.0,7903.828824469436
Tuesday,106,6259.594339622641,3423.0,100.0,28702.0,6914.556475502969
Wednesday,112,6601.794642857143,4137.5,100.0,28650.0,6593.6103087303
Thursday,14,7392.357142857143,2750.0,500.0,28452.0,9427.581626492332
Friday,7,11905.857142857143,12576.0,1188.0,23093.0,9277.62384141851
Saturday,2070,5252.359903381643,3000.0,100.0,30564.0,5657.348154956144
Sunday,636,6639.301886792453,4600.0,100.0,29235.0,6167.092490459844
