season,total_matches,valid_matches,coverage_pct,included
2006/07,205,47,22.926829268292682,False
2007/08,205,69,33.65853658536585,False
2008/09,205,6,2.926829268292683,False
2009/10,270,257,95.18518518518519,True
2010/11,270,74,27.40740740740741,False
2011/12,296,290,97.97297297297297,True
2012/13,240,240,100.0,True
2013/14,240,216,90.0,True
2014/15,240,160,66.66666666666667,True
2015/16,240,236,98.33333333333333,True
2016/17,240,239,99.58333333333333,True
2017/18,240,232,96.66666666666667,True
2018/19,240,237,98.75,True
2019/20,240,179,74.58333333333333,True
2020/21,240,68,28.333333333333332,False
2021/22,240,232,96.66666666666667,True
2022/23,240,226,94.16666666666667,True
2023/24,240,204,85.0,True
2024/25,240,223,92.91666666666667,True
2025/26,240,225,93.75,True
