season,saturday_matches,weekday_matches,saturday_avg_attendance,weekday_avg_attendance,saturday_minus_weekday
2009/10,209,48,3730.645933014354,6522.5,-2791.854066985646
2011/12,193,97,3007.2538860103627,5347.731958762886,-2340.4780727525235
2012/13,168,72,4024.0476190476193,7591.666666666667,-3567.6190476190477
2013/14,151,65,4033.8476821192053,8594.815384615385,-4560.96770249618
2014/15,95,65,5706.242105263158,9879.353846153846,-4173.111740890688
2015/16,161,75,5248.124223602485,9757.106666666667,-4508.982443064182
2016/17,141,98,5648.36170212766,6601.091836734694,-952.7301346070344
2017/18,120,112,4964.158333333334,6673.080357142857,-1708.9220238095231
2018/19,128,109,5313.6640625,6651.229357798165,-1337.5652952981654
2019/20,89,90,6710.6292134831465,7324.066666666667,-613.4374531835201
2021/22,124,108,6127.895161290323,7658.888888888889,-1530.9937275985658
2022/23,138,88,6569.31884057971,9011.772727272728,-2442.453886693018
2023/24,102,102,7177.35294117647,8079.5,-902.1470588235297
2024/25,131,92,6021.480916030534,10868.369565217392,-4846.888649186858
2025/26,120,105,8193.716666666667,11859.933333333332,-3666.2166666666653
