season,date,day_of_week,attendance,competition_stage,source_file,home_team,away_team
2009/10,05/10/09,Monday,8000.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Beer Sheva,Beitar Jerusalem
2009/10,17/10/09,Saturday,10000.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Beer Sheva,Maccabi Haifa
2009/10,17/10/09,Saturday,4500.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Haifa,Hapoel Petah Tikva
2009/10,17/10/09,Saturday,4000.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Raanana,Maccabi Tel Aviv
2009/10,17/10/09,Saturday,500.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Ramat Gan,Maccabi Ahi Nazareth
2009/10,17/10/09,Saturday,6500.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Tel Aviv,FC Ashdod
2009/10,17/10/09,Saturday,1500.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Petah Tikva,Maccabi Netanya
2009/10,18/10/09,Sunday,350.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Acre,Ihud Bnei Sakhnin
2009/10,19/10/09,Monday,3500.0,regular,ligat_haal_2009_10_attendance.csv,Beitar Jerusalem,Bnei Yehuda Tel Aviv
2009/10,24/10/09,Saturday,2500.0,regular,ligat_haal_2009_10_attendance.csv,Bnei Yehuda Tel Aviv,Hapoel Haifa
2009/10,24/10/09,Saturday,1500.0,regular,ligat_haal_2009_10_attendance.csv,FC Ashdod,Maccabi Petah Tikva
2009/10,24/10/09,Saturday,2000.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Petah Tikva,Hapoel Acre
2009/10,24/10/09,Saturday,1500.0,regular,ligat_haal_2009_10_attendance.csv,Ihud Bnei Sakhnin,Hapoel Raanana
2009/10,24/10/09,Saturday,2000.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Netanya,Hapoel Beer Sheva
2009/10,24/10/09,Saturday,10000.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Tel Aviv,Hapoel Ramat Gan
