day_of_week,matches,match_share_pct,total_attendance,attendance_share_pct,efficiency_ratio
Monday,451,13.280329799764429,4966596.0,22.938989103163134,1.7272906207171175
Tuesday,106,3.121319199057715,663517.0,3.064555529131722,0.9818142053708799
Wednesday,112,3.297997644287397,739401.0,3.4150374787616964,1.035488149810243
Thursday,14,0.4122497055359246,103493.0,0.4779983713701824,1.159487477980814
Friday,7,0.2061248527679623,83341.0,0.384923253440932,1.8674276695505787
Saturday,2070,60.95406360424028,10872385.0,50.21578583005228,0.8238299936176694
Sunday,636,18.72791519434629,4222596.0,19.50271043408005,1.041371142046161
