season,rank,player,position,nationality,age,club,appearances,goals,player_url,source,scraped_at
2025/26,1,Dan Biton,Right Winger,Israel,30,Hapoel Beer Sheva,24,15,https://www.transfermarkt.com/dan-biton/profil/spieler/399361,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025,2026-06-08T09:50:32.030247+00:00
2025/26,2,Stav Turiel,Right Winger,Israel,25,Hapoel Tel Aviv,20,12,https://www.transfermarkt.com/stav-turiel/profil/spieler/806427,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025,2026-06-08T09:50:32.031248+00:00
2025/26,4,Yarden Shua,Centre-Forward,Israel,26,Beitar Jerusalem,23,12,https://www.transfermarkt.com/yarden-shua/profil/spieler/144410,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025,2026-06-08T09:50:32.032253+00:00
2025/26,3,Adrián Ugarriza,Centre-Forward,Peru,29,Ironi Kiryat Shmona,24,12,https://www.transfermarkt.com/adrian-ugarriza/profil/spieler/325726,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025,2026-06-08T09:50:32.032253+00:00
2025/26,5,Dor Peretz,Central Midfield,"Israel, Portugal",30,Maccabi Tel Aviv,23,11,https://www.transfermarkt.com/dor-peretz/profil/spieler/204987,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025,2026-06-08T09:50:32.032253+00:00
2025/26,6,Omer Atzili,Right Winger,"Israel, Romania",32,Beitar Jerusalem,22,10,https://www.transfermarkt.com/omer-atzili/profil/spieler/294568,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025,2026-06-08T09:50:32.033254+00:00
2025/26,7,Kings Kangwa,Central Midfield,Zambia,27,Hapoel Beer Sheva,24,10,https://www.transfermarkt.com/kings-kangwa/profil/spieler/684998,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025,2026-06-08T09:50:32.033254+00:00
2025/26,8,Ido Shahar,Central Midfield,"Israel, Hungary",24,Maccabi Tel Aviv,24,10,https://www.transfermarkt.com/ido-shahar/profil/spieler/519506,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025,2026-06-08T09:50:32.033254+00:00
2025/26,10,Guy Melamed,Centre-Forward,"Israel, Lithuania",33,Maccabi Haifa,15,9,https://www.transfermarkt.com/guy-melamed/profil/spieler/142532,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025,2026-06-08T09:50:32.034250+00:00
2025/26,11,Trivante Stewart,Centre-Forward,Jamaica,26,Maccabi Haifa,23,9,https://www.transfermarkt.com/trivante-stewart/profil/spieler/880054,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025,2026-06-08T09:50:32.034250+00:00
2025/26,9,Javon East,Right Winger,Jamaica,31,,24,9,https://www.transfermarkt.com/javon-east/profil/spieler/563479,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025,2026-06-08T09:50:32.034250+00:00
2025/26,18,Márk Koszta,Centre-Forward,Hungary,29,Hapoel Petah Tikva,21,8,https://www.transfermarkt.com/mark-koszta/profil/spieler/249036,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025,2026-06-08T09:50:32.038326+00:00
2025/26,13,Matheus Davó,Centre-Forward,Brazil,26,Maccabi Netanya,22,8,https://www.transfermarkt.com/matheus-davo/profil/spieler/670522,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025,2026-06-08T09:50:32.035250+00:00
