season,stage,round,team,points,position,goal_diff
2025/26,championship_playoff,27,H. Beer Sheva,62,1,36
2025/26,championship_playoff,27,B. Jerusalem,60,2,35
2025/26,championship_playoff,27,M. Tel Aviv,52,3,24
2025/26,championship_playoff,27,Hapoel Tel Aviv,49,4,19
2025/26,championship_playoff,27,Maccabi Haifa,42,5,19
2025/26,championship_playoff,27,H. Petah Tikva,37,6,2
2025/26,championship_playoff,28,H. Beer Sheva,63,1,36
2025/26,championship_playoff,28,B. Jerusalem,61,2,35
2025/26,championship_playoff,28,M. Tel Aviv,55,3,26
2025/26,championship_playoff,28,Hapoel Tel Aviv,52,4,20
2025/26,championship_playoff,28,Maccabi Haifa,42,5,17
2025/26,championship_playoff,28,H. Petah Tikva,37,6,1
2025/26,championship_playoff,29,B. Jerusalem,64,1,37
2025/26,championship_playoff,29,H. Beer Sheva,63,2,35
2025/26,championship_playoff,29,M. Tel Aviv,58,3,27
2025/26,championship_playoff,29,Hapoel Tel Aviv,55,4,24
2025/26,championship_playoff,29,Maccabi Haifa,42,5,13
2025/26,championship_playoff,29,H. Petah Tikva,37,6,-1
2025/26,championship_playoff,30,B. Jerusalem,67,1,39
2025/26,championship_playoff,30,H. Beer Sheva,66,2,37
2025/26,championship_playoff,30,M. Tel Aviv,58,3,25
2025/26,championship_playoff,30,Hapoel Tel Aviv,55,4,22
2025/26,championship_playoff,30,Maccabi Haifa,45,5,14
2025/26,championship_playoff,30,H. Petah Tikva,37,6,-2
2025/26,championship_playoff,31,B. Jerusalem,70,1,40
2025/26,championship_playoff,31,H. Beer Sheva,69,2,38
2025/26,championship_playoff,31,M. Tel Aviv,61,3,29
2025/26,championship_playoff,31,Hapoel Tel Aviv,55,4,21
2025/26,championship_playoff,31,Maccabi Haifa,45,5,13
2025/26,championship_playoff,31,H. Petah Tikva,37,6,-6
2025/26,championship_playoff,32,H. Beer Sheva,72,1,40
2025/26,championship_playoff,32,B. Jerusalem,70,2,37
2025/26,championship_playoff,32,M. Tel Aviv,62,3,29
2025/26,championship_playoff,32,Hapoel Tel Aviv,56,4,21
2025/26,championship_playoff,32,Maccabi Haifa,48,5,16
2025/26,championship_playoff,32,H. Petah Tikva,37,6,-8
2025/26,championship_playoff,33,H. Beer Sheva,73,1,40
2025/26,championship_playoff,33,B. Jerusalem,71,2,37
2025/26,championship_playoff,33,M. Tel Aviv,65,3,32
2025/26,championship_playoff,33,Hapoel Tel Aviv,59,4,22
2025/26,championship_playoff,33,Maccabi Haifa,48,5,13
2025/26,championship_playoff,33,H. Petah Tikva,37,6,-9
2025/26,championship_playoff,34,H. Beer Sheva,76,1,42
2025/26,championship_playoff,34,B. Jerusalem,74,2,38
2025/26,championship_playoff,34,M. Tel Aviv,65,3,31
2025/26,championship_playoff,34,Hapoel Tel Aviv,59,4,20
2025/26,championship_playoff,34,Maccabi Haifa,49,5,13
2025/26,championship_playoff,34,H. Petah Tikva,38,6,-9
2025/26,championship_playoff,35,H. Beer Sheva,79,1,44
2025/26,championship_playoff,35,B. Jerusalem,75,2,38
2025/26,championship_playoff,35,M. Tel Aviv,65,3,29
2025/26,championship_playoff,35,Hapoel Tel Aviv,59,4,17
2025/26,championship_playoff,35,Maccabi Haifa,52,5,16
2025/26,championship_playoff,35,H. Petah Tikva,39,6,-9
2025/26,championship_playoff,36,H. Beer Sheva,79,1,41
2025/26,championship_playoff,36,B. Jerusalem,76,2,38
2025/26,championship_playoff,36,M. Tel Aviv,66,3,29
2025/26,championship_playoff,36,Hapoel Tel Aviv,60,4,17
2025/26,championship_playoff,36,Maccabi Haifa,55,5,19
2025/26,championship_playoff,36,H. Petah Tikva,40,6,-9
