season,stage,round,team,points,position,goal_diff
2022/23,championship_playoff,27,Maccabi Haifa,62,1,28
2022/23,championship_playoff,27,H. Beer Sheva,58,2,34
2022/23,championship_playoff,27,M. Tel Aviv,55,3,40
2022/23,championship_playoff,27,Maccabi Netanya,37,4,-7
2022/23,championship_playoff,27,H. Jerusalem,36,5,3
2022/23,championship_playoff,27,FC Ashdod,36,6,1
2022/23,championship_playoff,28,Maccabi Haifa,65,1,29
2022/23,championship_playoff,28,M. Tel Aviv,58,2,42
2022/23,championship_playoff,28,H. Beer Sheva,58,3,33
2022/23,championship_playoff,28,FC Ashdod,39,4,2
2022/23,championship_playoff,28,Maccabi Netanya,37,5,-8
2022/23,championship_playoff,28,H. Jerusalem,36,6,1
2022/23,championship_playoff,29,Maccabi Haifa,66,1,29
2022/23,championship_playoff,29,H. Beer Sheva,61,2,35
2022/23,championship_playoff,29,M. Tel Aviv,59,3,42
2022/23,championship_playoff,29,H. Jerusalem,39,4,3
2022/23,championship_playoff,29,FC Ashdod,39,5,0
2022/23,championship_playoff,29,Maccabi Netanya,37,6,-10
2022/23,championship_playoff,30,Maccabi Haifa,69,1,32
2022/23,championship_playoff,30,M. Tel Aviv,62,2,43
2022/23,championship_playoff,30,H. Beer Sheva,61,3,34
2022/23,championship_playoff,30,H. Jerusalem,42,4,4
2022/23,championship_playoff,30,FC Ashdod,39,5,-1
2022/23,championship_playoff,30,Maccabi Netanya,37,6,-13
2022/23,championship_playoff,31,Maccabi Haifa,69,1,31
2022/23,championship_playoff,31,M. Tel Aviv,63,2,43
2022/23,championship_playoff,31,H. Beer Sheva,62,3,34
2022/23,championship_playoff,31,H. Jerusalem,45,4,5
2022/23,championship_playoff,31,FC Ashdod,40,5,-1
2022/23,championship_playoff,31,Maccabi Netanya,38,6,-13
2022/23,championship_playoff,32,Maccabi Haifa,72,1,32
2022/23,championship_playoff,32,H. Beer Sheva,65,2,35
2022/23,championship_playoff,32,M. Tel Aviv,64,3,43
2022/23,championship_playoff,32,H. Jerusalem,45,4,4
2022/23,championship_playoff,32,FC Ashdod,40,5,-2
2022/23,championship_playoff,32,Maccabi Netanya,39,6,-13
2022/23,championship_playoff,33,Maccabi Haifa,72,1,31
2022/23,championship_playoff,33,H. Beer Sheva,68,2,36
2022/23,championship_playoff,33,M. Tel Aviv,67,3,44
2022/23,championship_playoff,33,H. Jerusalem,45,4,3
2022/23,championship_playoff,33,Maccabi Netanya,42,5,-11
2022/23,championship_playoff,33,FC Ashdod,40,6,-4
2022/23,championship_playoff,34,Maccabi Haifa,75,1,33
2022/23,championship_playoff,34,H. Beer Sheva,71,2,37
2022/23,championship_playoff,34,M. Tel Aviv,67,3,42
2022/23,championship_playoff,34,H. Jerusalem,45,4,0
2022/23,championship_playoff,34,Maccabi Netanya,45,5,-8
2022/23,championship_playoff,34,FC Ashdod,40,6,-5
2022/23,championship_playoff,35,Maccabi Haifa,78,1,37
2022/23,championship_playoff,35,H. Beer Sheva,71,2,34
2022/23,championship_playoff,35,M. Tel Aviv,70,3,45
2022/23,championship_playoff,35,H. Jerusalem,45,4,-1
2022/23,championship_playoff,35,Maccabi Netanya,45,5,-12
2022/23,championship_playoff,35,FC Ashdod,43,6,-4
2022/23,championship_playoff,36,Maccabi Haifa,81,1,42
2022/23,championship_playoff,36,H. Beer Sheva,74,2,36
2022/23,championship_playoff,36,M. Tel Aviv,73,3,46
2022/23,championship_playoff,36,H. Jerusalem,45,4,-6
2022/23,championship_playoff,36,Maccabi Netanya,45,5,-14
2022/23,championship_playoff,36,FC Ashdod,43,6,-5
