season,stage,round,team,points,position,goal_diff
2020/21,championship_playoff,27,M. Tel Aviv,61,1,28
2020/21,championship_playoff,27,Maccabi Haifa,60,2,32
2020/21,championship_playoff,27,FC Ashdod,44,3,12
2020/21,championship_playoff,27,Kiryat Shmona,39,4,-2
2020/21,championship_playoff,27,M. Petah Tikva,38,5,1
2020/21,championship_playoff,27,H. Beer Sheva,37,6,1
2020/21,championship_playoff,28,M. Tel Aviv,62,1,28
2020/21,championship_playoff,28,Maccabi Haifa,61,2,32
2020/21,championship_playoff,28,FC Ashdod,47,3,13
2020/21,championship_playoff,28,M. Petah Tikva,41,4,3
2020/21,championship_playoff,28,Kiryat Shmona,39,5,-4
2020/21,championship_playoff,28,H. Beer Sheva,37,6,0
2020/21,championship_playoff,29,M. Tel Aviv,65,1,30
2020/21,championship_playoff,29,Maccabi Haifa,64,2,35
2020/21,championship_playoff,29,FC Ashdod,47,3,10
2020/21,championship_playoff,29,M. Petah Tikva,41,4,1
2020/21,championship_playoff,29,Kiryat Shmona,40,5,-4
2020/21,championship_playoff,29,H. Beer Sheva,38,6,0
2020/21,championship_playoff,30,Maccabi Haifa,67,1,39
2020/21,championship_playoff,30,M. Tel Aviv,66,2,30
2020/21,championship_playoff,30,FC Ashdod,48,3,10
2020/21,championship_playoff,30,M. Petah Tikva,42,4,1
2020/21,championship_playoff,30,Kiryat Shmona,40,5,-8
2020/21,championship_playoff,30,H. Beer Sheva,39,6,0
2020/21,championship_playoff,31,Maccabi Haifa,68,1,39
2020/21,championship_playoff,31,M. Tel Aviv,66,2,28
2020/21,championship_playoff,31,FC Ashdod,49,3,10
2020/21,championship_playoff,31,M. Petah Tikva,43,4,1
2020/21,championship_playoff,31,Kiryat Shmona,43,5,-6
2020/21,championship_playoff,31,H. Beer Sheva,40,6,0
2020/21,championship_playoff,32,Maccabi Haifa,71,1,40
2020/21,championship_playoff,32,M. Tel Aviv,67,2,28
2020/21,championship_playoff,32,FC Ashdod,50,3,10
2020/21,championship_playoff,32,Kiryat Shmona,44,4,-6
2020/21,championship_playoff,32,M. Petah Tikva,43,5,0
2020/21,championship_playoff,32,H. Beer Sheva,41,6,0
2020/21,championship_playoff,33,Maccabi Haifa,72,1,40
2020/21,championship_playoff,33,M. Tel Aviv,68,2,28
2020/21,championship_playoff,33,FC Ashdod,51,3,10
2020/21,championship_playoff,33,M. Petah Tikva,46,4,1
2020/21,championship_playoff,33,Kiryat Shmona,44,5,-7
2020/21,championship_playoff,33,H. Beer Sheva,42,6,0
2020/21,championship_playoff,34,Maccabi Haifa,75,1,42
2020/21,championship_playoff,34,M. Tel Aviv,71,2,31
2020/21,championship_playoff,34,FC Ashdod,51,3,8
2020/21,championship_playoff,34,M. Petah Tikva,46,4,-2
2020/21,championship_playoff,34,H. Beer Sheva,45,5,1
2020/21,championship_playoff,34,Kiryat Shmona,44,6,-8
2020/21,championship_playoff,35,Maccabi Haifa,76,1,42
2020/21,championship_playoff,35,M. Tel Aviv,74,2,32
2020/21,championship_playoff,35,FC Ashdod,51,3,7
2020/21,championship_playoff,35,H. Beer Sheva,48,4,3
2020/21,championship_playoff,35,M. Petah Tikva,46,5,-4
2020/21,championship_playoff,35,Kiryat Shmona,45,6,-8
2020/21,championship_playoff,36,Maccabi Haifa,79,1,43
2020/21,championship_playoff,36,M. Tel Aviv,75,2,32
2020/21,championship_playoff,36,FC Ashdod,54,3,9
2020/21,championship_playoff,36,H. Beer Sheva,48,4,2
2020/21,championship_playoff,36,M. Petah Tikva,46,5,-6
2020/21,championship_playoff,36,Kiryat Shmona,46,6,-8
