season,stage,round,team,points,position,goal_diff
2023/24,championship_playoff,27,M. Tel Aviv,65,1,37
2023/24,championship_playoff,27,Maccabi Haifa,55,2,36
2023/24,championship_playoff,27,H. Beer Sheva,52,3,27
2023/24,championship_playoff,27,Hapoel Haifa,47,4,5
2023/24,championship_playoff,27,M. Bnei Reineh,37,5,2
2023/24,championship_playoff,27,Bnei Sakhnin,33,6,-7
2023/24,championship_playoff,28,M. Tel Aviv,66,1,37
2023/24,championship_playoff,28,Maccabi Haifa,56,2,36
2023/24,championship_playoff,28,H. Beer Sheva,52,3,26
2023/24,championship_playoff,28,Hapoel Haifa,47,4,4
2023/24,championship_playoff,28,M. Bnei Reineh,40,5,3
2023/24,championship_playoff,28,Bnei Sakhnin,36,6,-6
2023/24,championship_playoff,29,M. Tel Aviv,66,1,36
2023/24,championship_playoff,29,Maccabi Haifa,59,2,37
2023/24,championship_playoff,29,H. Beer Sheva,55,3,27
2023/24,championship_playoff,29,Hapoel Haifa,50,4,6
2023/24,championship_playoff,29,M. Bnei Reineh,40,5,1
2023/24,championship_playoff,29,Bnei Sakhnin,36,6,-7
2023/24,championship_playoff,30,M. Tel Aviv,69,1,40
2023/24,championship_playoff,30,Maccabi Haifa,62,2,40
2023/24,championship_playoff,30,H. Beer Sheva,55,3,24
2023/24,championship_playoff,30,Hapoel Haifa,50,4,2
2023/24,championship_playoff,30,M. Bnei Reineh,43,5,3
2023/24,championship_playoff,30,Bnei Sakhnin,36,6,-9
2023/24,championship_playoff,31,M. Tel Aviv,72,1,41
2023/24,championship_playoff,31,Maccabi Haifa,65,2,42
2023/24,championship_playoff,31,H. Beer Sheva,58,3,25
2023/24,championship_playoff,31,Hapoel Haifa,50,4,0
2023/24,championship_playoff,31,M. Bnei Reineh,43,5,2
2023/24,championship_playoff,31,Bnei Sakhnin,36,6,-10
2023/24,championship_playoff,32,M. Tel Aviv,73,1,41
2023/24,championship_playoff,32,Maccabi Haifa,68,2,46
2023/24,championship_playoff,32,H. Beer Sheva,58,3,23
2023/24,championship_playoff,32,Hapoel Haifa,53,4,2
2023/24,championship_playoff,32,M. Bnei Reineh,43,5,-2
2023/24,championship_playoff,32,Bnei Sakhnin,37,6,-10
2023/24,championship_playoff,33,M. Tel Aviv,76,1,42
2023/24,championship_playoff,33,Maccabi Haifa,68,2,45
2023/24,championship_playoff,33,H. Beer Sheva,61,3,24
2023/24,championship_playoff,33,Hapoel Haifa,53,4,1
2023/24,championship_playoff,33,M. Bnei Reineh,43,5,-3
2023/24,championship_playoff,33,Bnei Sakhnin,40,6,-9
2023/24,championship_playoff,34,M. Tel Aviv,79,1,45
2023/24,championship_playoff,34,Maccabi Haifa,71,2,46
2023/24,championship_playoff,34,H. Beer Sheva,61,3,21
2023/24,championship_playoff,34,Hapoel Haifa,56,4,2
2023/24,championship_playoff,34,M. Bnei Reineh,43,5,-4
2023/24,championship_playoff,34,Bnei Sakhnin,40,6,-10
2023/24,championship_playoff,35,M. Tel Aviv,82,1,48
2023/24,championship_playoff,35,Maccabi Haifa,74,2,49
2023/24,championship_playoff,35,H. Beer Sheva,61,3,18
2023/24,championship_playoff,35,Hapoel Haifa,56,4,-1
2023/24,championship_playoff,35,M. Bnei Reineh,44,5,-4
2023/24,championship_playoff,35,Bnei Sakhnin,41,6,-10
2023/24,championship_playoff,36,M. Tel Aviv,85,1,50
2023/24,championship_playoff,36,Maccabi Haifa,74,2,47
2023/24,championship_playoff,36,H. Beer Sheva,61,3,15
2023/24,championship_playoff,36,Hapoel Haifa,59,4,1
2023/24,championship_playoff,36,M. Bnei Reineh,44,5,-6
2023/24,championship_playoff,36,Bnei Sakhnin,44,6,-7
