season,Different leaders,Leadership changes,Low dominance %,Low final gap,Low avg gap,Tight rounds %,overall_score
2006/07,60.0,41.7,71.7,57.1,68.7,54.5,59.0
2020/21,100.0,66.7,100.0,100.0,80.7,69.2,86.1
