Team,2026,2027,2028,Last_Year_Actual
Maccabi Haifa,26492.0,27560.0,28628.0,26207.0
Maccabi Herzliya,26000.0,27250.0,28500.0,
Maccabi Tel Aviv,21310.0,22166.0,23022.0,23803.0
Beitar Jerusalem,14718.0,15136.0,15554.0,21791.0
Hapoel Beer Sheva,13905.0,14377.0,14849.0,13587.0
Hapoel Tel Aviv,11827.0,12073.0,12320.0,18023.0
Maccabi Netanya,6801.0,7009.0,7216.0,7427.0
Hapoel Petah Tikva,5948.0,6162.0,6376.0,4881.0
Hapoel Haifa,5334.0,5365.0,5396.0,8872.0
Hapoel Ashkelon,4119.0,4270.0,4422.0,
Hapoel Ramat Gan,3842.0,3979.0,4115.0,
Ironi Tiberias,3779.0,4847.0,5915.0,2711.0
Hapoel Acre,3700.0,3818.0,3936.0,
Maccabi Petah Tikva,3625.0,3709.0,3793.0,
Hapoel Jerusalem,3594.0,3526.0,3457.0,2752.0
Bnei Yehuda Tel Aviv,3580.0,3613.0,3646.0,
Sekzia Ness Ziona,3266.0,3359.0,3452.0,
Maccabi Bnei Reineh,3050.0,3385.0,3721.0,3015.0
Hapoel Raanana,2863.0,2953.0,3044.0,
Hapoel Hadera,2724.0,2768.0,2812.0,
Hapoel Ramat haSharon,2285.0,2360.0,2436.0,
Ihud Bnei Sakhnin,2219.0,2198.0,2178.0,2331.0
FC Ashdod,1990.0,1957.0,1923.0,2346.0
Ironi Kiryat Shmona,1764.0,1759.0,1753.0,1843.0
Hapoel Kfar Saba,1226.0,1145.0,1065.0,
Hakoah Amidar Ramat Gan,0.0,0.0,0.0,
