season,n_relegation_contenders,checkpoint_round,points_gap_survival,gd_gap_survival,total_relegation_zone_changes,unique_teams_ever_in_zone,avg_changes_per_round,first_confirmation_round,last_confirmation_round,mean_rounds_before_end
2006/07,3,25,6,14,8,4,0.25,29.0,32.0,2.5
2007/08,6,25,0,6,10,7,0.3125,32.0,33.0,0.5
2008/09,4,25,2,8,13,6,0.40625,32.0,33.0,0.5
2009/10,5,23,4,10,12,7,0.35294117647058826,35.0,35.0,0.0
2010/11,4,23,3,17,11,6,0.3235294117647059,32.0,35.0,1.5
2011/12,6,23,13,13,5,6,0.1388888888888889,34.0,35.0,2.5
2012/13,5,20,2,7,12,7,0.375,32.0,33.0,0.5
2013/14,5,20,0,16,12,4,0.375,33.0,33.0,0.0
2014/15,6,20,2,-6,17,7,0.53125,32.0,33.0,0.5
2015/16,6,20,0,11,13,8,0.40625,28.0,33.0,2.5
2016/17,6,20,1,-1,8,6,0.25,33.0,33.0,0.0
2017/18,6,20,7,9,6,5,0.1875,31.0,31.0,2.0
2018/19,7,20,1,-2,12,9,0.375,32.0,33.0,0.5
2019/20,5,20,0,10,10,5,0.3125,30.0,33.0,1.5
2020/21,6,20,1,-4,13,6,0.40625,30.0,31.0,2.5
2021/22,4,20,6,-1,15,8,0.46875,32.0,32.0,1.0
2022/23,6,20,2,-9,21,6,0.65625,31.0,32.0,1.5
2023/24,6,20,3,-5,11,6,0.34375,31.0,32.0,1.5
2024/25,6,20,2,2,2,4,0.3333333333333333,,,
