season,league_size,regular_final,matches_file,positions_tm_file
2006/07,12,regular_final_table_2006_07.csv,matches_2006_07_ligat_haal_transfermarkt_dated.csv,positions_by_round_2006_07_tm.csv
2007/08,12,regular_final_table_2007_08.csv,matches_2007_08_ligat_haal_transfermarkt_dated.csv,positions_by_round_2007_08_tm.csv
2008/09,12,regular_final_table_2008_09.csv,matches_2008_09_ligat_haal_transfermarkt_dated.csv,positions_by_round_2008_09_tm.csv
2009/10,16,regular_final_table_2009_10.csv,matches_2009_10_ligat_haal_transfermarkt_dated.csv,positions_by_round_2009_10_tm.csv
2010/11,16,regular_final_table_2010_11.csv,matches_2010_11_ligat_haal_transfermarkt_dated.csv,positions_by_round_2010_11_tm.csv
2011/12,16,regular_final_table_2011_12.csv,matches_2011_12_ligat_haal_transfermarkt_dated.csv,positions_by_round_2011_12_tm.csv
2012/13,14,regular_final_table_2012_13.csv,matches_2012_13_ligat_haal_transfermarkt_dated.csv,positions_by_round_2012_13_tm.csv
2013/14,14,regular_final_table_2013_14.csv,matches_2013_14_ligat_haal_transfermarkt_dated.csv,positions_by_round_2013_14_tm.csv
2014/15,14,regular_final_table_2014_15.csv,matches_2014_15_ligat_haal_transfermarkt_dated.csv,positions_by_round_2014_15_tm.csv
2015/16,14,regular_final_table_2015_16.csv,matches_2015_16_ligat_haal_transfermarkt_dated.csv,positions_by_round_2015_16_tm.csv
2016/17,14,regular_final_table_2016_17.csv,matches_2016_17_ligat_haal_transfermarkt_dated.csv,positions_by_round_2016_17_tm.csv
2017/18,14,regular_final_table_2017_18.csv,matches_2017_18_ligat_haal_transfermarkt_dated.csv,positions_by_round_2017_18_tm.csv
2018/19,14,regular_final_table_2018_19.csv,matches_2018_19_ligat_haal_transfermarkt_dated.csv,positions_by_round_2018_19_tm.csv
2019/20,14,regular_final_table_2019_20.csv,matches_2019_20_ligat_haal_transfermarkt_dated.csv,positions_by_round_2019_20_tm.csv
2020/21,14,regular_final_table_2020_21.csv,matches_2020_21_ligat_haal_transfermarkt_dated.csv,positions_by_round_2020_21_tm.csv
2021/22,14,regular_final_table_2021_22.csv,matches_2021_22_ligat_haal_transfermarkt_dated.csv,positions_by_round_2021_22_tm.csv
2022/23,14,regular_final_table_2022_23.csv,matches_2022_23_ligat_haal_transfermarkt_dated.csv,positions_by_round_2022_23_tm.csv
2023/24,14,regular_final_table_2023_24.csv,matches_2023_24_ligat_haal_transfermarkt_dated.csv,positions_by_round_2023_24_tm.csv
2024/25,14,regular_final_table_2024_25.csv,matches_2024_25_ligat_haal_transfermarkt_dated.csv,positions_by_round_2024_25_tm.csv
