Date,Matchday,HomeTeam,AwayTeam,Attendance
10/11/24,10,Maccabi Netanya,Maccabi Petah Tikva,
01/12/24,11,Hapoel Jerusalem,Beitar Jerusalem,23993.0
02/12/24,11,Maccabi Bnei Reineh,Maccabi Tel Aviv,4088.0
29/11/24,11,Ironi Kiryat Shmona,Hapoel Haifa,1188.0
30/11/24,11,FC Ashdod,Ironi Tiberias,1637.0
30/11/24,11,Hapoel Beer Sheva,Maccabi Netanya,11213.0
30/11/24,11,Hapoel Hadera,Ihud Bnei Sakhnin,801.0
30/11/24,11,Maccabi Petah Tikva,Maccabi Haifa,9520.0
03/12/24,12,Ihud Bnei Sakhnin,Hapoel Haifa,1835.0
03/12/24,12,Maccabi Netanya,FC Ashdod,4345.0
04/12/24,12,Beitar Jerusalem,Maccabi Petah Tikva,12749.0
04/12/24,12,Ironi Kiryat Shmona,Hapoel Jerusalem,839.0
04/12/24,12,Maccabi Haifa,Hapoel Beer Sheva,28650.0
05/12/24,12,Maccabi Bnei Reineh,Ironi Tiberias,1242.0
05/12/24,12,Maccabi Tel Aviv,Hapoel Hadera,20649.0
07/12/24,13,FC Ashdod,Maccabi Haifa,6133.0
07/12/24,13,Maccabi Petah Tikva,Ironi Kiryat Shmona,1539.0
08/12/24,13,Hapoel Haifa,Maccabi Tel Aviv,6270.0
08/12/24,13,Hapoel Jerusalem,Ihud Bnei Sakhnin,1600.0
09/12/24,13,Hapoel Beer Sheva,Beitar Jerusalem,15317.0
09/12/24,13,Hapoel Hadera,Maccabi Bnei Reineh,693.0
09/12/24,13,Ironi Tiberias,Maccabi Netanya,739.0
14/12/24,14,FC Ashdod,Beitar Jerusalem,6664.0
14/12/24,14,Hapoel Beer Sheva,Ironi Kiryat Shmona,12379.0
14/12/24,14,Hapoel Haifa,Hapoel Hadera,2570.0
14/12/24,14,Maccabi Netanya,Maccabi Bnei Reineh,4394.0
14/12/24,14,Maccabi Petah Tikva,Ihud Bnei Sakhnin,1394.0
15/12/24,14,Ironi Tiberias,Maccabi Haifa,4800.0
16/12/24,14,Hapoel Jerusalem,Maccabi Tel Aviv,6234.0
21/12/24,15,Hapoel Hadera,Hapoel Jerusalem,877.0
21/12/24,15,Ihud Bnei Sakhnin,Hapoel Beer Sheva,1220.0
21/12/24,15,Maccabi Bnei Reineh,Hapoel Haifa,1191.0
21/12/24,15,Maccabi Haifa,Maccabi Netanya,26126.0
21/12/24,15,Maccabi Tel Aviv,Maccabi Petah Tikva,20026.0
22/12/24,15,Ironi Kiryat Shmona,FC Ashdod,362.0
23/12/24,15,Beitar Jerusalem,Ironi Tiberias,13819.0
01/01/25,16,Hapoel Beer Sheva,Maccabi Tel Aviv,15231.0
01/01/25,16,Hapoel Jerusalem,Hapoel Haifa,1424.0
01/01/25,16,Maccabi Netanya,Beitar Jerusalem,12420.0
02/01/25,16,Maccabi Haifa,Maccabi Bnei Reineh,23432.0
31/12/24,16,FC Ashdod,Ihud Bnei Sakhnin,442.0
31/12/24,16,Ironi Tiberias,Ironi Kiryat Shmona,191.0
31/12/24,16,Maccabi Petah Tikva,Hapoel Hadera,470.0
04/01/25,17,Hapoel Hadera,Hapoel Beer Sheva,3078.0
04/01/25,17,Hapoel Haifa,Maccabi Petah Tikva,2480.0
04/01/25,17,Ihud Bnei Sakhnin,Ironi Tiberias,1026.0
04/01/25,17,Maccabi Tel Aviv,FC Ashdod,20874.0
05/01/25,17,Ironi Kiryat Shmona,Maccabi Netanya,2021.0
06/01/25,17,Maccabi Bnei Reineh,Hapoel Jerusalem,1101.0
06/01/25,17,Maccabi Haifa,Beitar Jerusalem,29064.0
11/01/25,18,Beitar Jerusalem,Maccabi Bnei Reineh,19700.0
11/01/25,18,Ironi Tiberias,Maccabi Tel Aviv,4460.0
11/01/25,18,Maccabi Haifa,Ironi Kiryat Shmona,28034.0
11/01/25,18,Maccabi Netanya,Ihud Bnei Sakhnin,5265.0
11/01/25,18,Maccabi Petah Tikva,Hapoel Jerusalem,1644.0
12/01/25,18,FC Ashdod,Hapoel Hadera,1598.0
12/01/25,18,Hapoel Haifa,Hapoel Beer Sheva,3760.0
18/01/25,19,Ihud Bnei Sakhnin,Maccabi Haifa,4311.0
18/01/25,19,Ironi Kiryat Shmona,Beitar Jerusalem,8162.0
18/01/25,19,Maccabi Bnei Reineh,Maccabi Petah Tikva,1205.0
18/01/25,19,Maccabi Tel Aviv,Maccabi Netanya,20080.0
19/01/25,19,Hapoel Jerusalem,Hapoel Beer Sheva,3220.0
20/01/25,19,Hapoel Hadera,Ironi Tiberias,963.0
20/01/25,19,Hapoel Haifa,FC Ashdod,1430.0
25/01/25,20,Beitar Jerusalem,Ihud Bnei Sakhnin,15950.0
25/01/25,20,FC Ashdod,Hapoel Jerusalem,1882.0
25/01/25,20,Hapoel Beer Sheva,Maccabi Petah Tikva,13247.0
25/01/25,20,Ironi Kiryat Shmona,Maccabi Bnei Reineh,372.0
25/01/25,20,Ironi Tiberias,Hapoel Haifa,884.0
26/01/25,20,Maccabi Netanya,Hapoel Hadera,5224.0
27/01/25,20,Maccabi Haifa,Maccabi Tel Aviv,28997.0
01/02/25,21,Hapoel Hadera,Maccabi Haifa,6264.0
01/02/25,21,Hapoel Jerusalem,Ironi Tiberias,2401.0
01/02/25,21,Ihud Bnei Sakhnin,Ironi Kiryat Shmona,603.0
01/02/25,21,Maccabi Bnei Reineh,Hapoel Beer Sheva,2809.0
01/02/25,21,Maccabi Petah Tikva,FC Ashdod,1574.0
02/02/25,21,Hapoel Haifa,Maccabi Netanya,2810.0
03/02/25,21,Maccabi Tel Aviv,Beitar Jerusalem,27636.0
08/02/25,22,Beitar Jerusalem,Hapoel Hadera,11034.0
08/02/25,22,FC Ashdod,Hapoel Beer Sheva,4306.0
08/02/25,22,Ihud Bnei Sakhnin,Maccabi Bnei Reineh,1296.0
08/02/25,22,Ironi Tiberias,Maccabi Petah Tikva,400.0
08/02/25,22,Maccabi Netanya,Hapoel Jerusalem,6218.0
09/02/25,22,Ironi Kiryat Shmona,Maccabi Tel Aviv,5927.0
10/02/25,22,Maccabi Haifa,Hapoel Haifa,27656.0
15/02/25,23,Hapoel Beer Sheva,Ironi Tiberias,14132.0
15/02/25,23,Hapoel Hadera,Ironi Kiryat Shmona,998.0
15/02/25,23,Hapoel Haifa,Beitar Jerusalem,9710.0
15/02/25,23,Maccabi Bnei Reineh,FC Ashdod,1075.0
15/02/25,23,Maccabi Petah Tikva,Maccabi Netanya,2714.0
16/02/25,23,Maccabi Tel Aviv,Ihud Bnei Sakhnin,19625.0
17/02/25,23,Maccabi Haifa,Hapoel Jerusalem,20140.0
21/02/25,24,Beitar Jerusalem,Hapoel Jerusalem,16536.0
22/02/25,24,Ironi Tiberias,FC Ashdod,260.0
22/02/25,24,Maccabi Haifa,Maccabi Petah Tikva,18732.0
22/02/25,24,Maccabi Netanya,Hapoel Beer Sheva,8134.0
22/02/25,24,Maccabi Tel Aviv,Maccabi Bnei Reineh,15664.0
23/02/25,24,Ihud Bnei Sakhnin,Hapoel Hadera,510.0
24/02/25,24,Hapoel Haifa,Ironi Kiryat Shmona,1910.0
01/03/25,25,FC Ashdod,Maccabi Netanya,1920.0
01/03/25,25,Hapoel Hadera,Maccabi Tel Aviv,6545.0
01/03/25,25,Hapoel Jerusalem,Ironi Kiryat Shmona,2068.0
01/03/25,25,Ironi Tiberias,Maccabi Bnei Reineh,780.0
02/03/25,25,Hapoel Haifa,Ihud Bnei Sakhnin,2220.0
02/03/25,25,Maccabi Petah Tikva,Beitar Jerusalem,9107.0
03/03/25,25,Hapoel Beer Sheva,Maccabi Haifa,15678.0
08/03/25,26,Ihud Bnei Sakhnin,Hapoel Jerusalem,1348.0
08/03/25,26,Maccabi Bnei Reineh,Hapoel Hadera,524.0
08/03/25,26,Maccabi Netanya,Ironi Tiberias,4087.0
08/03/25,26,Maccabi Tel Aviv,Hapoel Haifa,22633.0
09/03/25,26,Ironi Kiryat Shmona,Maccabi Petah Tikva,272.0
09/03/25,26,Maccabi Haifa,FC Ashdod,16124.0
10/03/25,26,Beitar Jerusalem,Hapoel Beer Sheva,27000.0
