Season,Rows,WithAttendance,ZeroAttendance
2024/25,58,58,0
2023/24,58,55,3
2022/23,58,58,0
2021/22,58,57,1
2020/21,58,54,4
2019/20,58,0,58
2018/19,58,58,0
2017/18,58,53,5
2016/17,58,58,0
2015/16,58,58,0
2014/15,58,58,0
2013/14,58,39,19
2012/13,58,58,0
2011/12,56,54,2
2010/11,30,17,13
2009/10,30,18,12
2008/09,7,6,1
2007/08,7,6,1
2006/07,7,6,1
2005/06,7,6,1
