Season,Date,Matchday,HomeTeam,AwayTeam,Attendance
2008/09,01/09/08,1,Hakoah Amidar Ramat Gan,Hapoel Tel Aviv,0
2008/09,01/09/08,1,Ironi Kiryat Shmona,Hapoel Petah Tikva,0
2008/09,30/08/08,1,Maccabi Haifa,FC Ashdod,0
2008/09,30/08/08,1,Maccabi Tel Aviv,Bnei Yehuda Tel Aviv,0
2008/09,31/08/08,1,Ihud Bnei Sakhnin,Beitar Jerusalem,0
2008/09,31/08/08,1,Maccabi Petah Tikva,Maccabi Netanya,0
2008/09,13/09/08,2,Bnei Yehuda Tel Aviv,Hakoah Amidar Ramat Gan,0
2008/09,13/09/08,2,FC Ashdod,Ironi Kiryat Shmona,0
2008/09,13/09/08,2,Hapoel Tel Aviv,Maccabi Haifa,0
2008/09,13/09/08,2,Maccabi Netanya,Hapoel Petah Tikva,0
2008/09,13/09/08,2,Maccabi Petah Tikva,Ihud Bnei Sakhnin,0
2008/09,14/09/08,2,Beitar Jerusalem,Maccabi Tel Aviv,0
2008/09,20/09/08,3,Hakoah Amidar Ramat Gan,Beitar Jerusalem,0
2008/09,20/09/08,3,Hapoel Petah Tikva,FC Ashdod,0
2008/09,20/09/08,3,Ihud Bnei Sakhnin,Maccabi Netanya,0
2008/09,20/09/08,3,Maccabi Tel Aviv,Maccabi Petah Tikva,0
2008/09,21/09/08,3,Maccabi Haifa,Bnei Yehuda Tel Aviv,0
2008/09,22/09/08,3,Ironi Kiryat Shmona,Hapoel Tel Aviv,0
2008/09,27/09/08,4,Bnei Yehuda Tel Aviv,Ironi Kiryat Shmona,0
2008/09,27/09/08,4,Hapoel Tel Aviv,Hapoel Petah Tikva,0
2008/09,27/09/08,4,Ihud Bnei Sakhnin,Maccabi Tel Aviv,0
2008/09,27/09/08,4,Maccabi Netanya,FC Ashdod,0
2008/09,27/09/08,4,Maccabi Petah Tikva,Hakoah Amidar Ramat Gan,0
2008/09,28/09/08,4,Beitar Jerusalem,Maccabi Haifa,0
2008/09,04/10/08,5,Hakoah Amidar Ramat Gan,Ihud Bnei Sakhnin,0
2008/09,04/10/08,5,Hapoel Petah Tikva,Bnei Yehuda Tel Aviv,0
2008/09,04/10/08,5,Ironi Kiryat Shmona,Beitar Jerusalem,0
2008/09,04/10/08,5,Maccabi Haifa,Maccabi Petah Tikva,0
2008/09,05/10/08,5,Maccabi Tel Aviv,Maccabi Netanya,0
2008/09,06/10/08,5,FC Ashdod,Hapoel Tel Aviv,0
2008/09,18/10/08,6,Bnei Yehuda Tel Aviv,FC Ashdod,0
2008/09,18/10/08,6,Ihud Bnei Sakhnin,Maccabi Haifa,0
2008/09,18/10/08,6,Maccabi Netanya,Hapoel Tel Aviv,0
2008/09,18/10/08,6,Maccabi Petah Tikva,Ironi Kiryat Shmona,0
2008/09,18/10/08,6,Maccabi Tel Aviv,Hakoah Amidar Ramat Gan,0
2008/09,19/10/08,6,Beitar Jerusalem,Hapoel Petah Tikva,0
2008/09,25/10/08,7,FC Ashdod,Beitar Jerusalem,0
2008/09,25/10/08,7,Hakoah Amidar Ramat Gan,Maccabi Netanya,0
2008/09,25/10/08,7,Hapoel Petah Tikva,Maccabi Petah Tikva,0
2008/09,25/10/08,7,Hapoel Tel Aviv,Bnei Yehuda Tel Aviv,0
2008/09,25/10/08,7,Ironi Kiryat Shmona,Ihud Bnei Sakhnin,0
2008/09,27/10/08,7,Maccabi Haifa,Maccabi Tel Aviv,0
2008/09,01/11/08,8,Hakoah Amidar Ramat Gan,Maccabi Haifa,0
