season,stage,local_round,global_round,team,rank_snap,position,points,survival_line_points,gap_to_survival,rank_floor,is_in_relegation_race,relegation_race_method
2006/07,regular,2,2,M. Tel Aviv,12,11,-2.0,-2.0,0.0,6,True,full_season_no_playoff
2006/07,regular,3,3,B. Jerusalem,1,1,9.0,-1.0,10.0,6,False,full_season_no_playoff
2006/07,regular,3,3,H. Kfar Saba,2,2,6.0,-1.0,7.0,6,False,full_season_no_playoff
2006/07,regular,3,3,FC Ashdod,3,3,6.0,-1.0,7.0,6,False,full_season_no_playoff
2006/07,regular,3,3,Maccabi Haifa,4,4,6.0,-1.0,7.0,6,False,full_season_no_playoff
2006/07,regular,3,3,Maccabi Netanya,5,5,5.0,-1.0,6.0,6,False,full_season_no_playoff
2006/07,regular,3,3,Hapoel Tel Aviv,6,6,4.0,-1.0,5.0,6,True,full_season_no_playoff
2006/07,regular,3,3,M. Petah Tikva,7,7,4.0,-1.0,5.0,6,True,full_season_no_playoff
2006/07,regular,3,3,Bnei Yehuda,8,8,4.0,-1.0,5.0,6,True,full_season_no_playoff
2006/07,regular,3,3,Hakoah Amidar,9,9,4.0,-1.0,5.0,6,True,full_season_no_playoff
2006/07,regular,3,3,Maccabi Herzlya,10,10,0.0,-1.0,1.0,6,True,full_season_no_playoff
2006/07,regular,3,3,M. Tel Aviv,11,11,-1.0,-1.0,0.0,6,True,full_season_no_playoff
2006/07,regular,3,3,H. Petah Tikva,12,12,-2.0,-1.0,1.0,6,True,full_season_no_playoff
2006/07,regular,4,4,B. Jerusalem,1,1,10.0,1.0,9.0,6,False,full_season_no_playoff
2006/07,regular,4,4,Maccabi Haifa,2,2,9.0,1.0,8.0,6,False,full_season_no_playoff
2006/07,regular,4,4,H. Kfar Saba,3,3,7.0,1.0,6.0,6,False,full_season_no_playoff
2006/07,regular,4,4,M. Petah Tikva,4,4,7.0,1.0,6.0,6,False,full_season_no_playoff
2006/07,regular,4,4,Maccabi Netanya,5,5,6.0,1.0,5.0,6,False,full_season_no_playoff
2006/07,regular,4,4,FC Ashdod,6,6,6.0,1.0,5.0,6,True,full_season_no_playoff
2006/07,regular,4,4,Hapoel Tel Aviv,7,7,5.0,1.0,4.0,6,True,full_season_no_playoff
2006/07,regular,4,4,Hakoah Amidar,8,8,5.0,1.0,4.0,6,True,full_season_no_playoff
2006/07,regular,4,4,Bnei Yehuda,9,9,4.0,1.0,3.0,6,True,full_season_no_playoff
2006/07,regular,4,4,M. Tel Aviv,10,10,2.0,1.0,1.0,6,True,full_season_no_playoff
2006/07,regular,4,4,Maccabi Herzlya,11,11,1.0,1.0,0.0,6,True,full_season_no_playoff
2006/07,regular,4,4,H. Petah Tikva,12,12,-2.0,1.0,3.0,6,True,full_season_no_playoff
2006/07,regular,5,5,M. Petah Tikva,1,1,10.0,2.0,8.0,6,False,full_season_no_playoff
2006/07,regular,5,5,B. Jerusalem,2,2,10.0,2.0,8.0,6,False,full_season_no_playoff
2006/07,regular,5,5,Maccabi Netanya,3,3,9.0,2.0,7.0,6,False,full_season_no_playoff
2006/07,regular,5,5,FC Ashdod,4,4,9.0,2.0,7.0,6,False,full_season_no_playoff
2006/07,regular,5,5,Maccabi Haifa,5,5,9.0,2.0,7.0,6,False,full_season_no_playoff
2006/07,regular,5,5,Hapoel Tel Aviv,6,6,8.0,2.0,6.0,6,True,full_season_no_playoff
2006/07,regular,5,5,H. Kfar Saba,7,7,7.0,2.0,5.0,6,True,full_season_no_playoff
2006/07,regular,5,5,Bnei Yehuda,8,8,7.0,2.0,5.0,6,True,full_season_no_playoff
2006/07,regular,5,5,Hakoah Amidar,9,9,5.0,2.0,3.0,6,True,full_season_no_playoff
2006/07,regular,5,5,Maccabi Herzlya,10,10,4.0,2.0,2.0,6,True,full_season_no_playoff
2006/07,regular,5,5,M. Tel Aviv,11,11,2.0,2.0,0.0,6,True,full_season_no_playoff
2006/07,regular,5,5,H. Petah Tikva,12,12,-2.0,2.0,4.0,6,True,full_season_no_playoff
2006/07,regular,6,6,B. Jerusalem,1,1,13.0,4.0,9.0,6,False,full_season_no_playoff
2006/07,regular,6,6,FC Ashdod,2,2,12.0,4.0,8.0,6,False,full_season_no_playoff
2006/07,regular,6,6,Hapoel Tel Aviv,3,3,11.0,4.0,7.0,6,False,full_season_no_playoff
2006/07,regular,6,6,H. Kfar Saba,4,4,10.0,4.0,6.0,6,False,full_season_no_playoff
2006/07,regular,6,6,M. Petah Tikva,5,5,10.0,4.0,6.0,6,False,full_season_no_playoff
2006/07,regular,6,6,Maccabi Haifa,6,6,10.0,4.0,6.0,6,True,full_season_no_playoff
2006/07,regular,6,6,Maccabi Netanya,7,7,9.0,4.0,5.0,6,True,full_season_no_playoff
2006/07,regular,6,6,Bnei Yehuda,8,8,7.0,4.0,3.0,6,True,full_season_no_playoff
2006/07,regular,6,6,Hakoah Amidar,9,9,6.0,4.0,2.0,6,True,full_season_no_playoff
2006/07,regular,6,6,M. Tel Aviv,10,10,5.0,4.0,1.0,6,True,full_season_no_playoff
2006/07,regular,6,6,Maccabi Herzlya,11,11,4.0,4.0,0.0,6,True,full_season_no_playoff
2006/07,regular,6,6,H. Petah Tikva,12,12,-2.0,4.0,6.0,6,True,full_season_no_playoff
2006/07,regular,7,7,B. Jerusalem,1,1,16.0,5.0,11.0,6,False,full_season_no_playoff
2006/07,regular,7,7,Maccabi Netanya,2,2,12.0,5.0,7.0,6,False,full_season_no_playoff
2006/07,regular,7,7,FC Ashdod,3,3,12.0,5.0,7.0,6,False,full_season_no_playoff
2006/07,regular,7,7,H. Kfar Saba,4,4,11.0,5.0,6.0,6,False,full_season_no_playoff
2006/07,regular,7,7,Hapoel Tel Aviv,5,5,11.0,5.0,6.0,6,False,full_season_no_playoff
2006/07,regular,7,7,Maccabi Haifa,6,6,11.0,5.0,6.0,6,True,full_season_no_playoff
2006/07,regular,7,7,M. Petah Tikva,7,7,10.0,5.0,5.0,6,True,full_season_no_playoff
2006/07,regular,7,7,M. Tel Aviv,8,8,8.0,5.0,3.0,6,True,full_season_no_playoff
2006/07,regular,7,7,Bnei Yehuda,9,9,8.0,5.0,3.0,6,True,full_season_no_playoff
2006/07,regular,7,7,Hakoah Amidar,10,10,6.0,5.0,1.0,6,True,full_season_no_playoff
2006/07,regular,7,7,Maccabi Herzlya,11,11,5.0,5.0,0.0,6,True,full_season_no_playoff
2006/07,regular,7,7,H. Petah Tikva,12,12,1.0,5.0,4.0,6,True,full_season_no_playoff
2006/07,regular,8,8,B. Jerusalem,1,1,17.0,6.0,11.0,6,False,full_season_no_playoff
2006/07,regular,8,8,Hapoel Tel Aviv,2,2,14.0,6.0,8.0,6,False,full_season_no_playoff
2006/07,regular,8,8,Maccabi Netanya,3,3,13.0,6.0,7.0,6,False,full_season_no_playoff
2006/07,regular,8,8,M. Petah Tikva,4,4,13.0,6.0,7.0,6,False,full_season_no_playoff
2006/07,regular,8,8,FC Ashdod,5,5,12.0,6.0,6.0,6,False,full_season_no_playoff
2006/07,regular,8,8,Maccabi Haifa,6,6,12.0,6.0,6.0,6,True,full_season_no_playoff
2006/07,regular,8,8,M. Tel Aviv,7,7,11.0,6.0,5.0,6,True,full_season_no_playoff
2006/07,regular,8,8,H. Kfar Saba,8,8,11.0,6.0,5.0,6,True,full_season_no_playoff
2006/07,regular,8,8,Bnei Yehuda,9,9,9.0,6.0,3.0,6,True,full_season_no_playoff
2006/07,regular,8,8,Hakoah Amidar,10,10,6.0,6.0,0.0,6,True,full_season_no_playoff
2006/07,regular,8,8,Maccabi Herzlya,11,10,6.0,6.0,0.0,6,True,full_season_no_playoff
2006/07,regular,8,8,H. Petah Tikva,12,12,2.0,6.0,4.0,6,True,full_season_no_playoff
2006/07,regular,9,9,Hapoel Tel Aviv,1,1,17.0,6.0,11.0,6,False,full_season_no_playoff
2006/07,regular,9,9,B. Jerusalem,2,2,17.0,6.0,11.0,6,False,full_season_no_playoff
2006/07,regular,9,9,M. Petah Tikva,3,3,16.0,6.0,10.0,6,False,full_season_no_playoff
2006/07,regular,9,9,FC Ashdod,4,4,15.0,6.0,9.0,6,False,full_season_no_playoff
2006/07,regular,9,9,Maccabi Haifa,5,5,15.0,6.0,9.0,6,False,full_season_no_playoff
2006/07,regular,9,9,M. Tel Aviv,6,6,14.0,6.0,8.0,6,False,full_season_no_playoff
2006/07,regular,9,9,Maccabi Netanya,7,7,13.0,6.0,7.0,6,False,full_season_no_playoff
2006/07,regular,9,9,H. Kfar Saba,8,8,12.0,6.0,6.0,6,True,full_season_no_playoff
2006/07,regular,9,9,Bnei Yehuda,9,9,9.0,6.0,3.0,6,True,full_season_no_playoff
2006/07,regular,9,9,Hakoah Amidar,10,10,7.0,6.0,1.0,6,True,full_season_no_playoff
2006/07,regular,9,9,Maccabi Herzlya,11,11,6.0,6.0,0.0,6,True,full_season_no_playoff
2006/07,regular,9,9,H. Petah Tikva,12,12,2.0,6.0,4.0,6,True,full_season_no_playoff
2006/07,regular,10,10,B. Jerusalem,1,1,20.0,6.0,14.0,6,False,full_season_no_playoff
2006/07,regular,10,10,M. Petah Tikva,2,2,19.0,6.0,13.0,6,False,full_season_no_playoff
2006/07,regular,10,10,FC Ashdod,3,3,18.0,6.0,12.0,6,False,full_season_no_playoff
2006/07,regular,10,10,Hapoel Tel Aviv,4,4,17.0,6.0,11.0,6,False,full_season_no_playoff
2006/07,regular,10,10,Maccabi Netanya,5,5,16.0,6.0,10.0,6,False,full_season_no_playoff
2006/07,regular,10,10,Maccabi Haifa,6,6,16.0,6.0,10.0,6,False,full_season_no_playoff
2006/07,regular,10,10,M. Tel Aviv,7,7,15.0,6.0,9.0,6,False,full_season_no_playoff
2006/07,regular,10,10,H. Kfar Saba,8,8,15.0,6.0,9.0,6,False,full_season_no_playoff
