season,stage,local_round,global_round,team,rank_snap,position,points,survival_line_points,gap_to_survival,rank_floor,is_in_relegation_race,relegation_race_method
2009/10,regular,30,30,M. Ahi Nazareth,15,15,24.0,24.0,0.0,10,True,full_season_with_relegation_playoff
2009/10,regular,30,30,Hapoel Raanana,16,16,20.0,24.0,4.0,10,True,full_season_with_relegation_playoff
2009/10,relegation_playoff,1,31,H. Ramat Gan,1,1,18.0,13.0,5.0,0,True,full_season_with_relegation_playoff
2009/10,relegation_playoff,1,31,Hapoel Haifa,2,2,17.0,13.0,4.0,0,True,full_season_with_relegation_playoff
2009/10,relegation_playoff,1,31,Hapoel Acre,3,3,16.0,13.0,3.0,0,True,full_season_with_relegation_playoff
2009/10,relegation_playoff,1,31,H. Petah Tikva,4,4,16.0,13.0,3.0,0,True,full_season_with_relegation_playoff
2009/10,relegation_playoff,1,31,M. Ahi Nazareth,5,5,13.0,13.0,0.0,0,True,full_season_with_relegation_playoff
2009/10,relegation_playoff,1,31,Hapoel Raanana,6,6,11.0,13.0,2.0,0,True,full_season_with_relegation_playoff
2009/10,relegation_playoff,2,32,Hapoel Haifa,1,1,20.0,16.0,4.0,0,True,full_season_with_relegation_playoff
2009/10,relegation_playoff,2,32,H. Ramat Gan,2,2,18.0,16.0,2.0,0,True,full_season_with_relegation_playoff
2009/10,relegation_playoff,2,32,Hapoel Acre,3,3,16.0,16.0,0.0,0,True,full_season_with_relegation_playoff
2009/10,relegation_playoff,2,32,H. Petah Tikva,4,4,16.0,16.0,0.0,0,True,full_season_with_relegation_playoff
2009/10,relegation_playoff,2,32,M. Ahi Nazareth,5,5,16.0,16.0,0.0,0,True,full_season_with_relegation_playoff
2009/10,relegation_playoff,2,32,Hapoel Raanana,6,6,14.0,16.0,2.0,0,True,full_season_with_relegation_playoff
2009/10,relegation_playoff,3,33,Hapoel Haifa,1,1,23.0,16.0,7.0,0,False,full_season_with_relegation_playoff
2009/10,relegation_playoff,3,33,Hapoel Acre,2,2,19.0,16.0,3.0,0,True,full_season_with_relegation_playoff
2009/10,relegation_playoff,3,33,H. Petah Tikva,3,3,19.0,16.0,3.0,0,True,full_season_with_relegation_playoff
2009/10,relegation_playoff,3,33,H. Ramat Gan,4,4,18.0,16.0,2.0,0,True,full_season_with_relegation_playoff
2009/10,relegation_playoff,3,33,M. Ahi Nazareth,5,5,16.0,16.0,0.0,0,True,full_season_with_relegation_playoff
2009/10,relegation_playoff,3,33,Hapoel Raanana,6,6,14.0,16.0,2.0,0,True,full_season_with_relegation_playoff
2009/10,relegation_playoff,4,34,Hapoel Haifa,1,1,23.0,17.0,6.0,0,True,full_season_with_relegation_playoff
2009/10,relegation_playoff,4,34,H. Petah Tikva,2,2,22.0,17.0,5.0,0,True,full_season_with_relegation_playoff
2009/10,relegation_playoff,4,34,Hapoel Acre,3,3,20.0,17.0,3.0,0,True,full_season_with_relegation_playoff
2009/10,relegation_playoff,4,34,H. Ramat Gan,4,4,19.0,17.0,2.0,0,True,full_season_with_relegation_playoff
2009/10,relegation_playoff,4,34,Hapoel Raanana,5,5,17.0,17.0,0.0,0,True,full_season_with_relegation_playoff
2009/10,relegation_playoff,4,34,M. Ahi Nazareth,6,6,16.0,17.0,1.0,0,True,full_season_with_relegation_playoff
2009/10,relegation_playoff,5,35,Hapoel Haifa,1,1,23.0,18.0,5.0,0,True,full_season_with_relegation_playoff
2009/10,relegation_playoff,5,35,Hapoel Acre,2,2,23.0,18.0,5.0,0,True,full_season_with_relegation_playoff
2009/10,relegation_playoff,5,35,H. Petah Tikva,3,3,23.0,18.0,5.0,0,True,full_season_with_relegation_playoff
2009/10,relegation_playoff,5,35,H. Ramat Gan,4,4,22.0,18.0,4.0,0,True,full_season_with_relegation_playoff
2009/10,relegation_playoff,5,35,Hapoel Raanana,5,5,18.0,18.0,0.0,0,True,full_season_with_relegation_playoff
2009/10,relegation_playoff,5,35,M. Ahi Nazareth,6,6,16.0,18.0,2.0,0,True,full_season_with_relegation_playoff
2010/11,regular,1,1,Maccabi Netanya,1,1,3.0,0.0,3.0,10,False,full_season_with_relegation_playoff
2010/11,regular,1,1,H. Ashkelon,2,2,3.0,0.0,3.0,10,False,full_season_with_relegation_playoff
2010/11,regular,1,1,Kiryat Shmona,3,3,3.0,0.0,3.0,10,False,full_season_with_relegation_playoff
2010/11,regular,1,1,FC Ashdod,4,4,3.0,0.0,3.0,10,False,full_season_with_relegation_playoff
2010/11,regular,1,1,H. Beer Sheva,5,5,3.0,0.0,3.0,10,False,full_season_with_relegation_playoff
2010/11,regular,1,1,Hapoel Haifa,6,5,3.0,0.0,3.0,10,False,full_season_with_relegation_playoff
2010/11,regular,1,1,Maccabi Haifa,7,5,3.0,0.0,3.0,10,False,full_season_with_relegation_playoff
2010/11,regular,1,1,Bnei Yehuda,8,8,1.0,0.0,1.0,10,False,full_season_with_relegation_playoff
2010/11,regular,1,1,H. Ramat Gan,9,8,1.0,0.0,1.0,10,False,full_season_with_relegation_playoff
2010/11,regular,1,1,Hapoel Acre,10,10,0.0,0.0,0.0,10,True,full_season_with_relegation_playoff
2010/11,regular,1,1,Hapoel Tel Aviv,11,11,0.0,0.0,0.0,10,True,full_season_with_relegation_playoff
2010/11,regular,1,1,M. Petah Tikva,12,11,0.0,0.0,0.0,10,True,full_season_with_relegation_playoff
2010/11,regular,1,1,M. Tel Aviv,13,11,0.0,0.0,0.0,10,True,full_season_with_relegation_playoff
2010/11,regular,1,1,Bnei Sakhnin,14,15,0.0,0.0,0.0,10,True,full_season_with_relegation_playoff
2010/11,regular,1,1,H. Petah Tikva,15,14,0.0,0.0,0.0,10,True,full_season_with_relegation_playoff
2010/11,regular,1,1,B. Jerusalem,16,16,0.0,0.0,0.0,10,True,full_season_with_relegation_playoff
2010/11,regular,2,2,Hapoel Haifa,1,1,6.0,0.0,6.0,10,False,full_season_with_relegation_playoff
2010/11,regular,2,2,Maccabi Haifa,2,2,6.0,0.0,6.0,10,False,full_season_with_relegation_playoff
2010/11,regular,2,2,Maccabi Netanya,3,3,4.0,0.0,4.0,10,False,full_season_with_relegation_playoff
2010/11,regular,2,2,Kiryat Shmona,4,4,4.0,0.0,4.0,10,False,full_season_with_relegation_playoff
2010/11,regular,2,2,Bnei Yehuda,5,6,4.0,0.0,4.0,10,False,full_season_with_relegation_playoff
2010/11,regular,2,2,FC Ashdod,6,5,4.0,0.0,4.0,10,False,full_season_with_relegation_playoff
2010/11,regular,2,2,Hapoel Tel Aviv,7,7,3.0,0.0,3.0,10,False,full_season_with_relegation_playoff
2010/11,regular,2,2,H. Beer Sheva,8,8,3.0,0.0,3.0,10,False,full_season_with_relegation_playoff
2010/11,regular,2,2,M. Tel Aviv,9,8,3.0,0.0,3.0,10,False,full_season_with_relegation_playoff
2010/11,regular,2,2,H. Ashkelon,10,10,3.0,0.0,3.0,10,True,full_season_with_relegation_playoff
2010/11,regular,2,2,H. Ramat Gan,11,12,1.0,0.0,1.0,10,True,full_season_with_relegation_playoff
2010/11,regular,2,2,Hapoel Acre,12,11,1.0,0.0,1.0,10,True,full_season_with_relegation_playoff
2010/11,regular,2,2,Bnei Sakhnin,13,14,1.0,0.0,1.0,10,True,full_season_with_relegation_playoff
2010/11,regular,2,2,H. Petah Tikva,14,13,1.0,0.0,1.0,10,True,full_season_with_relegation_playoff
2010/11,regular,2,2,M. Petah Tikva,15,15,0.0,0.0,0.0,10,True,full_season_with_relegation_playoff
2010/11,regular,2,2,B. Jerusalem,16,16,0.0,0.0,0.0,10,True,full_season_with_relegation_playoff
2010/11,regular,3,3,Hapoel Haifa,1,1,9.0,1.0,8.0,10,False,full_season_with_relegation_playoff
2010/11,regular,3,3,Maccabi Netanya,2,2,7.0,1.0,6.0,10,False,full_season_with_relegation_playoff
2010/11,regular,3,3,Kiryat Shmona,3,3,7.0,1.0,6.0,10,False,full_season_with_relegation_playoff
2010/11,regular,3,3,Maccabi Haifa,4,4,7.0,1.0,6.0,10,False,full_season_with_relegation_playoff
2010/11,regular,3,3,M. Tel Aviv,5,5,6.0,1.0,5.0,10,False,full_season_with_relegation_playoff
2010/11,regular,3,3,Hapoel Tel Aviv,6,6,4.0,1.0,3.0,10,False,full_season_with_relegation_playoff
2010/11,regular,3,3,H. Beer Sheva,7,7,4.0,1.0,3.0,10,False,full_season_with_relegation_playoff
2010/11,regular,3,3,Bnei Yehuda,8,9,4.0,1.0,3.0,10,False,full_season_with_relegation_playoff
2010/11,regular,3,3,FC Ashdod,9,8,4.0,1.0,3.0,10,False,full_season_with_relegation_playoff
2010/11,regular,3,3,H. Ashkelon,10,10,4.0,1.0,3.0,10,True,full_season_with_relegation_playoff
2010/11,regular,3,3,M. Petah Tikva,11,11,3.0,1.0,2.0,10,True,full_season_with_relegation_playoff
2010/11,regular,3,3,H. Ramat Gan,12,13,2.0,1.0,1.0,10,True,full_season_with_relegation_playoff
2010/11,regular,3,3,Hapoel Acre,13,12,2.0,1.0,1.0,10,True,full_season_with_relegation_playoff
2010/11,regular,3,3,H. Petah Tikva,14,14,1.0,1.0,0.0,10,True,full_season_with_relegation_playoff
2010/11,regular,3,3,Bnei Sakhnin,15,15,1.0,1.0,0.0,10,True,full_season_with_relegation_playoff
2010/11,regular,3,3,B. Jerusalem,16,16,0.0,1.0,1.0,10,True,full_season_with_relegation_playoff
2010/11,regular,4,4,Kiryat Shmona,1,1,10.0,2.0,8.0,10,False,full_season_with_relegation_playoff
2010/11,regular,4,4,Maccabi Haifa,2,2,10.0,2.0,8.0,10,False,full_season_with_relegation_playoff
2010/11,regular,4,4,M. Tel Aviv,3,3,9.0,2.0,7.0,10,False,full_season_with_relegation_playoff
2010/11,regular,4,4,Hapoel Haifa,4,4,9.0,2.0,7.0,10,False,full_season_with_relegation_playoff
2010/11,regular,4,4,Maccabi Netanya,5,5,8.0,2.0,6.0,10,False,full_season_with_relegation_playoff
2010/11,regular,4,4,H. Ashkelon,6,6,7.0,2.0,5.0,10,False,full_season_with_relegation_playoff
2010/11,regular,4,4,M. Petah Tikva,7,7,6.0,2.0,4.0,10,False,full_season_with_relegation_playoff
2010/11,regular,4,4,H. Ramat Gan,8,8,5.0,2.0,3.0,10,False,full_season_with_relegation_playoff
2010/11,regular,4,4,Hapoel Tel Aviv,9,9,4.0,2.0,2.0,10,False,full_season_with_relegation_playoff
2010/11,regular,4,4,Bnei Yehuda,10,11,4.0,2.0,2.0,10,True,full_season_with_relegation_playoff
2010/11,regular,4,4,FC Ashdod,11,10,4.0,2.0,2.0,10,True,full_season_with_relegation_playoff
2010/11,regular,4,4,H. Beer Sheva,12,12,4.0,2.0,2.0,10,True,full_season_with_relegation_playoff
2010/11,regular,4,4,B. Jerusalem,13,13,3.0,2.0,1.0,10,True,full_season_with_relegation_playoff
2010/11,regular,4,4,Hapoel Acre,14,14,2.0,2.0,0.0,10,True,full_season_with_relegation_playoff
2010/11,regular,4,4,H. Petah Tikva,15,15,2.0,2.0,0.0,10,True,full_season_with_relegation_playoff
2010/11,regular,4,4,Bnei Sakhnin,16,16,1.0,2.0,1.0,10,True,full_season_with_relegation_playoff
2010/11,regular,5,5,Kiryat Shmona,1,1,13.0,2.0,11.0,10,False,full_season_with_relegation_playoff
2010/11,regular,5,5,M. Tel Aviv,2,2,12.0,2.0,10.0,10,False,full_season_with_relegation_playoff
2010/11,regular,5,5,Maccabi Haifa,3,3,11.0,2.0,9.0,10,False,full_season_with_relegation_playoff
2010/11,regular,5,5,Hapoel Haifa,4,4,9.0,2.0,7.0,10,False,full_season_with_relegation_playoff
2010/11,regular,5,5,Maccabi Netanya,5,5,8.0,2.0,6.0,10,False,full_season_with_relegation_playoff
2010/11,regular,5,5,H. Ashkelon,6,6,8.0,2.0,6.0,10,False,full_season_with_relegation_playoff
2010/11,regular,5,5,Hapoel Tel Aviv,7,7,7.0,2.0,5.0,10,False,full_season_with_relegation_playoff
2010/11,regular,5,5,M. Petah Tikva,8,8,7.0,2.0,5.0,10,False,full_season_with_relegation_playoff
2010/11,regular,5,5,H. Beer Sheva,9,9,7.0,2.0,5.0,10,False,full_season_with_relegation_playoff
2010/11,regular,5,5,H. Ramat Gan,10,11,5.0,2.0,3.0,10,True,full_season_with_relegation_playoff
2010/11,regular,5,5,Hapoel Acre,11,10,5.0,2.0,3.0,10,True,full_season_with_relegation_playoff
2010/11,regular,5,5,Bnei Yehuda,12,13,5.0,2.0,3.0,10,True,full_season_with_relegation_playoff
2010/11,regular,5,5,FC Ashdod,13,12,5.0,2.0,3.0,10,True,full_season_with_relegation_playoff
2010/11,regular,5,5,B. Jerusalem,14,14,4.0,2.0,2.0,10,True,full_season_with_relegation_playoff
2010/11,regular,5,5,H. Petah Tikva,15,15,2.0,2.0,0.0,10,True,full_season_with_relegation_playoff
2010/11,regular,5,5,Bnei Sakhnin,16,16,1.0,2.0,1.0,10,True,full_season_with_relegation_playoff
2010/11,regular,6,6,Kiryat Shmona,1,1,16.0,2.0,14.0,10,False,full_season_with_relegation_playoff
2010/11,regular,6,6,Maccabi Haifa,2,2,14.0,2.0,12.0,10,False,full_season_with_relegation_playoff
2010/11,regular,6,6,M. Tel Aviv,3,3,12.0,2.0,10.0,10,False,full_season_with_relegation_playoff
2010/11,regular,6,6,Maccabi Netanya,4,4,11.0,2.0,9.0,10,False,full_season_with_relegation_playoff
2010/11,regular,6,6,Hapoel Tel Aviv,5,5,10.0,2.0,8.0,10,False,full_season_with_relegation_playoff
2010/11,regular,6,6,M. Petah Tikva,6,6,10.0,2.0,8.0,10,False,full_season_with_relegation_playoff
2010/11,regular,6,6,H. Ashkelon,7,8,9.0,2.0,7.0,10,False,full_season_with_relegation_playoff
2010/11,regular,6,6,Hapoel Haifa,8,7,9.0,2.0,7.0,10,False,full_season_with_relegation_playoff
2010/11,regular,6,6,Bnei Yehuda,9,9,8.0,2.0,6.0,10,False,full_season_with_relegation_playoff
2010/11,regular,6,6,H. Beer Sheva,10,10,8.0,2.0,6.0,10,True,full_season_with_relegation_playoff
2010/11,regular,6,6,Hapoel Acre,11,11,6.0,2.0,4.0,10,True,full_season_with_relegation_playoff
2010/11,regular,6,6,FC Ashdod,12,12,6.0,2.0,4.0,10,True,full_season_with_relegation_playoff
2010/11,regular,6,6,H. Ramat Gan,13,13,5.0,2.0,3.0,10,True,full_season_with_relegation_playoff
2010/11,regular,6,6,B. Jerusalem,14,14,4.0,2.0,2.0,10,True,full_season_with_relegation_playoff
2010/11,regular,6,6,H. Petah Tikva,15,15,2.0,2.0,0.0,10,True,full_season_with_relegation_playoff
2010/11,regular,6,6,Bnei Sakhnin,16,16,1.0,2.0,1.0,10,True,full_season_with_relegation_playoff
2010/11,regular,7,7,Kiryat Shmona,1,1,17.0,3.0,14.0,10,False,full_season_with_relegation_playoff
2010/11,regular,7,7,M. Tel Aviv,2,2,15.0,3.0,12.0,10,False,full_season_with_relegation_playoff
2010/11,regular,7,7,Maccabi Haifa,3,3,15.0,3.0,12.0,10,False,full_season_with_relegation_playoff
2010/11,regular,7,7,Hapoel Tel Aviv,4,4,13.0,3.0,10.0,10,False,full_season_with_relegation_playoff
2010/11,regular,7,7,Maccabi Netanya,5,5,12.0,3.0,9.0,10,False,full_season_with_relegation_playoff
2010/11,regular,7,7,M. Petah Tikva,6,6,10.0,3.0,7.0,10,False,full_season_with_relegation_playoff
2010/11,regular,7,7,H. Ashkelon,7,7,10.0,3.0,7.0,10,False,full_season_with_relegation_playoff
2010/11,regular,7,7,Hapoel Haifa,8,7,10.0,3.0,7.0,10,False,full_season_with_relegation_playoff
2010/11,regular,7,7,Hapoel Acre,9,9,9.0,3.0,6.0,10,False,full_season_with_relegation_playoff
2010/11,regular,7,7,H. Beer Sheva,10,10,9.0,3.0,6.0,10,True,full_season_with_relegation_playoff
2010/11,regular,7,7,Bnei Yehuda,11,11,8.0,3.0,5.0,10,True,full_season_with_relegation_playoff
2010/11,regular,7,7,FC Ashdod,12,12,7.0,3.0,4.0,10,True,full_season_with_relegation_playoff
2010/11,regular,7,7,B. Jerusalem,13,13,5.0,3.0,2.0,10,True,full_season_with_relegation_playoff
2010/11,regular,7,7,H. Ramat Gan,14,14,5.0,3.0,2.0,10,True,full_season_with_relegation_playoff
2010/11,regular,7,7,H. Petah Tikva,15,15,3.0,3.0,0.0,10,True,full_season_with_relegation_playoff
2010/11,regular,7,7,Bnei Sakhnin,16,16,2.0,3.0,1.0,10,True,full_season_with_relegation_playoff
2010/11,regular,8,8,Maccabi Haifa,1,1,18.0,3.0,15.0,10,False,full_season_with_relegation_playoff
2010/11,regular,8,8,Kiryat Shmona,2,2,17.0,3.0,14.0,10,False,full_season_with_relegation_playoff
2010/11,regular,8,8,M. Tel Aviv,3,3,16.0,3.0,13.0,10,False,full_season_with_relegation_playoff
2010/11,regular,8,8,Hapoel Tel Aviv,4,4,16.0,3.0,13.0,10,False,full_season_with_relegation_playoff
2010/11,regular,8,8,Maccabi Netanya,5,5,15.0,3.0,12.0,10,False,full_season_with_relegation_playoff
2010/11,regular,8,8,M. Petah Tikva,6,6,13.0,3.0,10.0,10,False,full_season_with_relegation_playoff
2010/11,regular,8,8,Hapoel Acre,7,7,12.0,3.0,9.0,10,False,full_season_with_relegation_playoff
2010/11,regular,8,8,Bnei Yehuda,8,9,11.0,3.0,8.0,10,False,full_season_with_relegation_playoff
2010/11,regular,8,8,Hapoel Haifa,9,8,11.0,3.0,8.0,10,False,full_season_with_relegation_playoff
2010/11,regular,8,8,FC Ashdod,10,10,10.0,3.0,7.0,10,False,full_season_with_relegation_playoff
2010/11,regular,8,8,H. Ashkelon,11,11,10.0,3.0,7.0,10,False,full_season_with_relegation_playoff
2010/11,regular,8,8,H. Beer Sheva,12,12,9.0,3.0,6.0,10,True,full_season_with_relegation_playoff
2010/11,regular,8,8,B. Jerusalem,13,13,5.0,3.0,2.0,10,True,full_season_with_relegation_playoff
2010/11,regular,8,8,H. Ramat Gan,14,14,5.0,3.0,2.0,10,True,full_season_with_relegation_playoff
2010/11,regular,8,8,H. Petah Tikva,15,15,3.0,3.0,0.0,10,True,full_season_with_relegation_playoff
2010/11,regular,8,8,Bnei Sakhnin,16,16,2.0,3.0,1.0,10,True,full_season_with_relegation_playoff
2010/11,regular,9,9,M. Tel Aviv,1,1,19.0,5.0,14.0,10,False,full_season_with_relegation_playoff
2010/11,regular,9,9,Hapoel Tel Aviv,2,2,19.0,5.0,14.0,10,False,full_season_with_relegation_playoff
2010/11,regular,9,9,Kiryat Shmona,3,3,18.0,5.0,13.0,10,False,full_season_with_relegation_playoff
2010/11,regular,9,9,Maccabi Haifa,4,4,18.0,5.0,13.0,10,False,full_season_with_relegation_playoff
2010/11,regular,9,9,Hapoel Acre,5,5,15.0,5.0,10.0,10,False,full_season_with_relegation_playoff
2010/11,regular,9,9,Maccabi Netanya,6,6,15.0,5.0,10.0,10,False,full_season_with_relegation_playoff
2010/11,regular,9,9,Hapoel Haifa,7,7,14.0,5.0,9.0,10,False,full_season_with_relegation_playoff
2010/11,regular,9,9,FC Ashdod,8,8,13.0,5.0,8.0,10,False,full_season_with_relegation_playoff
2010/11,regular,9,9,M. Petah Tikva,9,8,13.0,5.0,8.0,10,False,full_season_with_relegation_playoff
2010/11,regular,9,9,Bnei Yehuda,10,10,12.0,5.0,7.0,10,False,full_season_with_relegation_playoff
2010/11,regular,9,9,H. Beer Sheva,11,11,12.0,5.0,7.0,10,False,full_season_with_relegation_playoff
2010/11,regular,9,9,H. Ashkelon,12,12,10.0,5.0,5.0,10,True,full_season_with_relegation_playoff
2010/11,regular,9,9,H. Petah Tikva,13,13,6.0,5.0,1.0,10,True,full_season_with_relegation_playoff
2010/11,regular,9,9,B. Jerusalem,14,14,5.0,5.0,0.0,10,True,full_season_with_relegation_playoff
2010/11,regular,9,9,H. Ramat Gan,15,15,5.0,5.0,0.0,10,True,full_season_with_relegation_playoff
2010/11,regular,9,9,Bnei Sakhnin,16,16,2.0,5.0,3.0,10,True,full_season_with_relegation_playoff
2010/11,regular,10,10,Kiryat Shmona,1,1,21.0,5.0,16.0,10,False,full_season_with_relegation_playoff
2010/11,regular,10,10,Maccabi Haifa,2,2,21.0,5.0,16.0,10,False,full_season_with_relegation_playoff
2010/11,regular,10,10,Hapoel Tel Aviv,3,3,20.0,5.0,15.0,10,False,full_season_with_relegation_playoff
2010/11,regular,10,10,M. Tel Aviv,4,4,19.0,5.0,14.0,10,False,full_season_with_relegation_playoff
2010/11,regular,10,10,Hapoel Acre,5,5,18.0,5.0,13.0,10,False,full_season_with_relegation_playoff
2010/11,regular,10,10,M. Petah Tikva,6,6,16.0,5.0,11.0,10,False,full_season_with_relegation_playoff
2010/11,regular,10,10,Maccabi Netanya,7,7,15.0,5.0,10.0,10,False,full_season_with_relegation_playoff
2010/11,regular,10,10,Hapoel Haifa,8,8,15.0,5.0,10.0,10,False,full_season_with_relegation_playoff
2010/11,regular,10,10,FC Ashdod,9,9,14.0,5.0,9.0,10,False,full_season_with_relegation_playoff
2010/11,regular,10,10,Bnei Yehuda,10,10,13.0,5.0,8.0,10,False,full_season_with_relegation_playoff
2010/11,regular,10,10,H. Beer Sheva,11,11,13.0,5.0,8.0,10,False,full_season_with_relegation_playoff
2010/11,regular,10,10,H. Ashkelon,12,12,10.0,5.0,5.0,10,True,full_season_with_relegation_playoff
2010/11,regular,10,10,B. Jerusalem,13,13,6.0,5.0,1.0,10,True,full_season_with_relegation_playoff
2010/11,regular,10,10,H. Petah Tikva,14,14,6.0,5.0,1.0,10,True,full_season_with_relegation_playoff
2010/11,regular,10,10,H. Ramat Gan,15,15,5.0,5.0,0.0,10,True,full_season_with_relegation_playoff
2010/11,regular,10,10,Bnei Sakhnin,16,16,5.0,5.0,0.0,10,True,full_season_with_relegation_playoff
2010/11,regular,11,11,Kiryat Shmona,1,1,24.0,5.0,19.0,10,False,full_season_with_relegation_playoff
2010/11,regular,11,11,Hapoel Tel Aviv,2,2,23.0,5.0,18.0,10,False,full_season_with_relegation_playoff
2010/11,regular,11,11,Maccabi Haifa,3,3,22.0,5.0,17.0,10,False,full_season_with_relegation_playoff
2010/11,regular,11,11,Hapoel Acre,4,4,19.0,5.0,14.0,10,False,full_season_with_relegation_playoff
2010/11,regular,11,11,M. Tel Aviv,5,5,19.0,5.0,14.0,10,False,full_season_with_relegation_playoff
2010/11,regular,11,11,M. Petah Tikva,6,6,17.0,5.0,12.0,10,False,full_season_with_relegation_playoff
2010/11,regular,11,11,Maccabi Netanya,7,7,16.0,5.0,11.0,10,False,full_season_with_relegation_playoff
2010/11,regular,11,11,Hapoel Haifa,8,8,16.0,5.0,11.0,10,False,full_season_with_relegation_playoff
2010/11,regular,11,11,H. Beer Sheva,9,9,16.0,5.0,11.0,10,False,full_season_with_relegation_playoff
2010/11,regular,11,11,FC Ashdod,10,10,14.0,5.0,9.0,10,False,full_season_with_relegation_playoff
2010/11,regular,11,11,Bnei Yehuda,11,11,14.0,5.0,9.0,10,False,full_season_with_relegation_playoff
2010/11,regular,11,11,H. Ashkelon,12,12,10.0,5.0,5.0,10,True,full_season_with_relegation_playoff
2010/11,regular,11,11,B. Jerusalem,13,13,9.0,5.0,4.0,10,True,full_season_with_relegation_playoff
2010/11,regular,11,11,H. Petah Tikva,14,14,9.0,5.0,4.0,10,True,full_season_with_relegation_playoff
2010/11,regular,11,11,H. Ramat Gan,15,15,5.0,5.0,0.0,10,True,full_season_with_relegation_playoff
2010/11,regular,11,11,Bnei Sakhnin,16,16,5.0,5.0,0.0,10,True,full_season_with_relegation_playoff
2010/11,regular,12,12,Kiryat Shmona,1,1,25.0,8.0,17.0,10,False,full_season_with_relegation_playoff
2010/11,regular,12,12,Maccabi Haifa,2,2,25.0,8.0,17.0,10,False,full_season_with_relegation_playoff
2010/11,regular,12,12,Hapoel Tel Aviv,3,3,23.0,8.0,15.0,10,False,full_season_with_relegation_playoff
2010/11,regular,12,12,M. Tel Aviv,4,4,22.0,8.0,14.0,10,False,full_season_with_relegation_playoff
2010/11,regular,12,12,Hapoel Acre,5,5,19.0,8.0,11.0,10,False,full_season_with_relegation_playoff
2010/11,regular,12,12,H. Beer Sheva,6,6,19.0,8.0,11.0,10,False,full_season_with_relegation_playoff
2010/11,regular,12,12,M. Petah Tikva,7,7,18.0,8.0,10.0,10,False,full_season_with_relegation_playoff
2010/11,regular,12,12,FC Ashdod,8,8,17.0,8.0,9.0,10,False,full_season_with_relegation_playoff
2010/11,regular,12,12,Bnei Yehuda,9,9,17.0,8.0,9.0,10,False,full_season_with_relegation_playoff
2010/11,regular,12,12,Maccabi Netanya,10,10,16.0,8.0,8.0,10,False,full_season_with_relegation_playoff
2010/11,regular,12,12,Hapoel Haifa,11,11,16.0,8.0,8.0,10,False,full_season_with_relegation_playoff
2010/11,regular,12,12,B. Jerusalem,12,12,12.0,8.0,4.0,10,True,full_season_with_relegation_playoff
2010/11,regular,12,12,H. Ashkelon,13,13,10.0,8.0,2.0,10,True,full_season_with_relegation_playoff
2010/11,regular,12,12,H. Petah Tikva,14,14,9.0,8.0,1.0,10,True,full_season_with_relegation_playoff
2010/11,regular,12,12,Bnei Sakhnin,15,15,8.0,8.0,0.0,10,True,full_season_with_relegation_playoff
2010/11,regular,12,12,H. Ramat Gan,16,16,5.0,8.0,3.0,10,True,full_season_with_relegation_playoff
2010/11,regular,13,13,Maccabi Haifa,1,1,28.0,8.0,20.0,10,False,full_season_with_relegation_playoff
2010/11,regular,13,13,Hapoel Tel Aviv,2,2,26.0,8.0,18.0,10,False,full_season_with_relegation_playoff
2010/11,regular,13,13,Kiryat Shmona,3,3,26.0,8.0,18.0,10,False,full_season_with_relegation_playoff
2010/11,regular,13,13,M. Tel Aviv,4,4,25.0,8.0,17.0,10,False,full_season_with_relegation_playoff
2010/11,regular,13,13,M. Petah Tikva,5,5,21.0,8.0,13.0,10,False,full_season_with_relegation_playoff
2010/11,regular,13,13,H. Beer Sheva,6,6,20.0,8.0,12.0,10,False,full_season_with_relegation_playoff
2010/11,regular,13,13,Hapoel Acre,7,7,19.0,8.0,11.0,10,False,full_season_with_relegation_playoff
2010/11,regular,13,13,Hapoel Haifa,8,8,19.0,8.0,11.0,10,False,full_season_with_relegation_playoff
2010/11,regular,13,13,FC Ashdod,9,9,18.0,8.0,10.0,10,False,full_season_with_relegation_playoff
2010/11,regular,13,13,Bnei Yehuda,10,10,17.0,8.0,9.0,10,False,full_season_with_relegation_playoff
2010/11,regular,13,13,Maccabi Netanya,11,11,16.0,8.0,8.0,10,False,full_season_with_relegation_playoff
2010/11,regular,13,13,B. Jerusalem,12,12,15.0,8.0,7.0,10,False,full_season_with_relegation_playoff
2010/11,regular,13,13,H. Ashkelon,13,13,10.0,8.0,2.0,10,True,full_season_with_relegation_playoff
2010/11,regular,13,13,H. Petah Tikva,14,14,9.0,8.0,1.0,10,True,full_season_with_relegation_playoff
2010/11,regular,13,13,Bnei Sakhnin,15,15,8.0,8.0,0.0,10,True,full_season_with_relegation_playoff
2010/11,regular,13,13,H. Ramat Gan,16,16,6.0,8.0,2.0,10,True,full_season_with_relegation_playoff
2010/11,regular,14,14,Maccabi Haifa,1,1,31.0,8.0,23.0,10,False,full_season_with_relegation_playoff
2010/11,regular,14,14,Hapoel Tel Aviv,2,2,29.0,8.0,21.0,10,False,full_season_with_relegation_playoff
2010/11,regular,14,14,Kiryat Shmona,3,3,26.0,8.0,18.0,10,False,full_season_with_relegation_playoff
2010/11,regular,14,14,M. Tel Aviv,4,4,26.0,8.0,18.0,10,False,full_season_with_relegation_playoff
2010/11,regular,14,14,Hapoel Acre,5,5,22.0,8.0,14.0,10,False,full_season_with_relegation_playoff
2010/11,regular,14,14,M. Petah Tikva,6,6,22.0,8.0,14.0,10,False,full_season_with_relegation_playoff
