season,champion,runner_up,final_gap_1st_2nd,title_decision_round,rounds_before_end_when_title_decided,teams_in_title_race_5_rounds_before_end,lead_changes_after_round_10,champion_rounds_as_leader_percentage,teams_in_relegation_race_last_5_rounds,relegation_zone_changes_total,home_win_percentage,draw_percentage,away_win_percentage,average_goals_per_match,title_race_closeness_score,relegation_closeness_score,league_balance_score,attendance_available,average_match_attendance_valid,attendance_avg_saturday,attendance_avg_weekday,attendance_saturday_weekday_diff,attendance_saturday_vs_weekday_status,data_quality_flag,notes
2006/07,B. Jerusalem,Maccabi Netanya,10.0,30,3.0,1,0,87.87878787878788,4,8,39.39393939393939,30.808080808080806,29.797979797979796,2.484848484848485,39.3939393939394,72.32323232323233,44.5317860012016,False,,,,,placeholder_pending_attendance_validation,ok,
2007/08,B. Jerusalem,Maccabi Netanya,9.0,31,2.0,1,0,100.0,7,10,40.909090909090914,24.242424242424242,34.84848484848485,2.3181818181818183,41.401515151515156,88.88888888888889,58.28647039149091,False,,,,,placeholder_pending_attendance_validation,ok,
2008/09,Maccabi Haifa,Hapoel Tel Aviv,6.0,32,1.0,3,4,78.78787878787878,4,13,40.4040404040404,31.313131313131315,28.28282828282828,2.1818181818181817,64.24242424242425,84.44444444444444,50.19749880298205,False,,,,,placeholder_pending_attendance_validation,ok,
2009/10,Hapoel Tel Aviv,Maccabi Haifa,0.0,35,0.0,2,0,0.0,4,12,40.833333333333336,28.749999999999996,30.416666666666664,2.620833333333333,58.333333333333336,87.77777777777779,37.25747466349645,False,,,,,placeholder_pending_attendance_validation,ok,"champion, runner_up, final_gap_1st_2nd: from championship playoff final table; title_decision_round: computed on regular season + championship playoff timeline; playoff metrics from betexplorer scraped data"
2010/11,Maccabi Haifa,Hapoel Tel Aviv,7.0,34,1.0,2,7,53.333333333333336,2,11,40.833333333333336,26.666666666666668,32.5,2.5875,66.36904761904762,74.44444444444444,39.664555172243674,False,,,,,placeholder_pending_attendance_validation,ok,"champion, runner_up, final_gap_1st_2nd: from championship playoff final table; title_decision_round: computed on regular season + championship playoff timeline; playoff metrics from betexplorer scraped data"
2011/12,Kiryat Shmona,Hapoel Tel Aviv,14.0,32,5.0,1,2,63.33333333333333,4,5,43.333333333333336,27.916666666666668,28.749999999999996,2.5125,38.28828828828829,72.22222222222223,53.19998431717132,False,,,,,placeholder_pending_attendance_validation,ok,"champion, runner_up, final_gap_1st_2nd: from championship playoff final table; title_decision_round: computed on regular season + championship playoff timeline; playoff metrics from betexplorer scraped data"
2012/13,M. Tel Aviv,Maccabi Haifa,13.0,32,4.0,1,3,65.38461538461539,7,12,43.956043956043956,27.472527472527474,28.57142857142857,2.565934065934066,42.63888888888889,102.30769230769229,57.97403623158627,False,,,,,placeholder_pending_attendance_validation,ok,"champion, runner_up, final_gap_1st_2nd: from championship playoff final table; title_decision_round: computed on regular season + championship playoff timeline; playoff metrics from betexplorer scraped data"
2013/14,M. Tel Aviv,H. Beer Sheva,16.0,33,3.0,1,0,92.3076923076923,6,12,42.857142857142854,25.274725274725274,31.868131868131865,2.521978021978022,32.083333333333336,102.30769230769229,43.40317622293166,False,,,,,placeholder_pending_attendance_validation,ok,"champion, runner_up, final_gap_1st_2nd: from championship playoff final table; title_decision_round: computed on regular season + championship playoff timeline; playoff metrics from betexplorer scraped data"
2014/15,M. Tel Aviv,Kiryat Shmona,6.0,34,2.0,1,1,34.61538461538461,4,17,41.75824175824176,28.57142857142857,29.67032967032967,2.532967032967033,47.77777777777778,97.86324786324786,59.205280166546345,False,,,,,placeholder_pending_attendance_validation,ok,"champion, runner_up, final_gap_1st_2nd: from championship playoff final table; title_decision_round: computed on regular season + championship playoff timeline; playoff metrics from betexplorer scraped data"
2015/16,H. Beer Sheva,M. Tel Aviv,2.0,36,0.0,2,2,57.692307692307686,6,13,35.714285714285715,26.373626373626376,37.91208791208791,2.2252747252747254,60.83333333333334,104.52991452991454,39.971473422077565,False,,,,,placeholder_pending_attendance_validation,ok,"champion, runner_up, final_gap_1st_2nd: from championship playoff final table; title_decision_round: computed on regular season + championship playoff timeline; playoff metrics from betexplorer scraped data"
2016/17,H. Beer Sheva,M. Tel Aviv,13.0,33,3.0,1,0,80.76923076923077,4,8,36.26373626373626,31.318681318681318,32.417582417582416,2.131868131868132,35.833333333333336,82.30769230769232,47.17287026744303,False,,,,,placeholder_pending_attendance_validation,ok,"champion, runner_up, final_gap_1st_2nd: from championship playoff final table; title_decision_round: computed on regular season + championship playoff timeline; playoff metrics from betexplorer scraped data"
2017/18,H. Beer Sheva,M. Tel Aviv,9.0,34,2.0,2,7,38.46153846153847,4,6,41.208791208791204,24.725274725274726,34.065934065934066,2.467032967032967,63.19444444444444,75.2991452991453,39.58798482362272,False,,,,,placeholder_pending_attendance_validation,ok,"champion, runner_up, final_gap_1st_2nd: from championship playoff final table; title_decision_round: computed on regular season + championship playoff timeline; playoff metrics from betexplorer scraped data"
2018/19,M. Tel Aviv,Maccabi Haifa,31.0,28,8.0,1,0,84.61538461538461,6,12,37.362637362637365,33.51648351648351,29.120879120879124,2.4285714285714284,23.61111111111111,102.30769230769229,51.654721920651156,False,,,,,placeholder_pending_attendance_validation,ok,"champion, runner_up, final_gap_1st_2nd: from championship playoff final table; title_decision_round: computed on regular season + championship playoff timeline; playoff metrics from betexplorer scraped data"
2019/20,M. Tel Aviv,Maccabi Haifa,14.0,33,3.0,1,0,84.61538461538461,4,10,39.010989010989015,24.175824175824175,36.81318681318682,2.2747252747252746,34.583333333333336,86.75213675213675,42.20506161631006,False,,,,,placeholder_pending_attendance_validation,ok,"champion, runner_up, final_gap_1st_2nd: from championship playoff final table; title_decision_round: computed on regular season + championship playoff timeline; playoff metrics from betexplorer scraped data"
