season,round_from,round_to,team,prev_rank,new_rank,absolute_rank_change,stage_from,stage_to
2010/11,27,28,Hapoel Acre,6,7,1,regular,regular
2010/11,27,28,M. Petah Tikva,5,6,1,regular,regular
2010/11,27,28,Maccabi Netanya,7,8,1,regular,regular
2010/11,28,29,B. Jerusalem,12,10,2,regular,regular
2010/11,28,29,Bnei Sakhnin,15,14,1,regular,regular
2010/11,28,29,H. Ashkelon,14,15,1,regular,regular
2010/11,28,29,H. Beer Sheva,10,12,2,regular,regular
2010/11,28,29,Hapoel Acre,7,9,2,regular,regular
2010/11,28,29,Hapoel Haifa,9,8,1,regular,regular
2010/11,28,29,M. Petah Tikva,6,7,1,regular,regular
2010/11,28,29,Maccabi Netanya,8,6,2,regular,regular
2010/11,29,30,Bnei Sakhnin,14,15,1,regular,regular
2010/11,29,30,FC Ashdod,11,12,1,regular,regular
2010/11,29,30,H. Ashkelon,15,14,1,regular,regular
2010/11,29,30,H. Beer Sheva,12,11,1,regular,regular
2010/11,29,30,Hapoel Haifa,8,7,1,regular,regular
2010/11,29,30,M. Petah Tikva,7,8,1,regular,regular
2010/11,31,32,Hapoel Tel Aviv,1,2,1,championship_playoff,championship_playoff
2010/11,31,32,Kiryat Shmona,5,4,1,championship_playoff,championship_playoff
2010/11,31,32,M. Tel Aviv,3,5,2,championship_playoff,championship_playoff
2010/11,31,32,Maccabi Haifa,2,1,1,championship_playoff,championship_playoff
2010/11,31,32,Maccabi Netanya,4,3,1,championship_playoff,championship_playoff
2010/11,32,33,Bnei Yehuda,6,4,2,championship_playoff,championship_playoff
2010/11,32,33,Kiryat Shmona,4,5,1,championship_playoff,championship_playoff
2010/11,32,33,M. Tel Aviv,5,6,1,championship_playoff,championship_playoff
2010/11,33,34,Bnei Yehuda,4,3,1,championship_playoff,championship_playoff
2010/11,33,34,Maccabi Netanya,3,4,1,championship_playoff,championship_playoff
2010/11,34,35,Kiryat Shmona,5,4,1,championship_playoff,championship_playoff
2010/11,34,35,Maccabi Netanya,4,5,1,championship_playoff,championship_playoff
2011/12,1,2,B. Jerusalem,7,3,4,regular,regular
2011/12,1,2,Bnei Sakhnin,11,7,4,regular,regular
2011/12,1,2,FC Ashdod,5,11,6,regular,regular
2011/12,1,2,H Rishon leZion,3,2,1,regular,regular
2011/12,1,2,H. Beer Sheva,9,14,5,regular,regular
2011/12,1,2,Hapoel Haifa,10,15,5,regular,regular
2011/12,1,2,Hapoel Tel Aviv,1,5,4,regular,regular
2011/12,1,2,Kiryat Shmona,8,9,1,regular,regular
2011/12,1,2,M. Petah Tikva,15,10,5,regular,regular
2011/12,1,2,M. Tel Aviv,4,1,3,regular,regular
2011/12,1,2,Maccabi Haifa,2,4,2,regular,regular
2011/12,1,2,Maccabi Netanya,16,8,8,regular,regular
2011/12,1,2,Ramat haSharon,14,16,2,regular,regular
2011/12,2,3,B. Jerusalem,3,5,2,regular,regular
2011/12,2,3,Bnei Sakhnin,7,3,4,regular,regular
2011/12,2,3,Bnei Yehuda,13,10,3,regular,regular
2011/12,2,3,FC Ashdod,11,8,3,regular,regular
2011/12,2,3,H Rishon leZion,2,6,4,regular,regular
2011/12,2,3,H. Petah Tikva,12,13,1,regular,regular
2011/12,2,3,Hapoel Acre,6,4,2,regular,regular
2011/12,2,3,Hapoel Tel Aviv,5,2,3,regular,regular
2011/12,2,3,Kiryat Shmona,9,11,2,regular,regular
2011/12,2,3,M. Petah Tikva,10,7,3,regular,regular
2011/12,2,3,Maccabi Haifa,4,9,5,regular,regular
2011/12,2,3,Maccabi Netanya,8,12,4,regular,regular
2011/12,3,4,B. Jerusalem,5,3,2,regular,regular
2011/12,3,4,Bnei Sakhnin,3,7,4,regular,regular
2011/12,3,4,Bnei Yehuda,10,12,2,regular,regular
2011/12,3,4,FC Ashdod,8,6,2,regular,regular
2011/12,3,4,H Rishon leZion,6,9,3,regular,regular
2011/12,3,4,H. Beer Sheva,14,16,2,regular,regular
2011/12,3,4,Hapoel Acre,4,8,4,regular,regular
2011/12,3,4,M. Petah Tikva,7,5,2,regular,regular
2011/12,3,4,Maccabi Haifa,9,4,5,regular,regular
2011/12,3,4,Maccabi Netanya,12,10,2,regular,regular
2011/12,3,4,Ramat haSharon,16,14,2,regular,regular
2011/12,4,5,Bnei Sakhnin,7,5,2,regular,regular
2011/12,4,5,Bnei Yehuda,12,8,4,regular,regular
2011/12,4,5,FC Ashdod,6,11,5,regular,regular
2011/12,4,5,H. Petah Tikva,13,14,1,regular,regular
2011/12,4,5,Hapoel Acre,8,6,2,regular,regular
2011/12,4,5,Hapoel Tel Aviv,2,1,1,regular,regular
2011/12,4,5,Kiryat Shmona,11,12,1,regular,regular
2011/12,4,5,M. Petah Tikva,5,4,1,regular,regular
2011/12,4,5,M. Tel Aviv,1,2,1,regular,regular
2011/12,4,5,Maccabi Haifa,4,7,3,regular,regular
2011/12,4,5,Ramat haSharon,14,13,1,regular,regular
2011/12,5,6,B. Jerusalem,3,6,3,regular,regular
2011/12,5,6,Bnei Yehuda,8,7,1,regular,regular
2011/12,5,6,FC Ashdod,11,12,1,regular,regular
2011/12,5,6,H Rishon leZion,9,10,1,regular,regular
2011/12,5,6,H. Petah Tikva,14,13,1,regular,regular
2011/12,5,6,Hapoel Acre,6,9,3,regular,regular
2011/12,5,6,Hapoel Tel Aviv,1,2,1,regular,regular
2011/12,5,6,Kiryat Shmona,12,11,1,regular,regular
2011/12,5,6,M. Petah Tikva,4,3,1,regular,regular
2011/12,5,6,M. Tel Aviv,2,1,1,regular,regular
2011/12,5,6,Maccabi Haifa,7,4,3,regular,regular
2011/12,5,6,Maccabi Netanya,10,8,2,regular,regular
2011/12,5,6,Ramat haSharon,13,14,1,regular,regular
2011/12,6,7,B. Jerusalem,6,10,4,regular,regular
2011/12,6,7,Bnei Sakhnin,5,3,2,regular,regular
2011/12,6,7,Bnei Yehuda,7,4,3,regular,regular
2011/12,6,7,FC Ashdod,12,11,1,regular,regular
2011/12,6,7,H Rishon leZion,10,12,2,regular,regular
2011/12,6,7,H. Beer Sheva,16,15,1,regular,regular
2011/12,6,7,Hapoel Acre,9,8,1,regular,regular
2011/12,6,7,Hapoel Haifa,15,16,1,regular,regular
2011/12,6,7,Kiryat Shmona,11,9,2,regular,regular
2011/12,6,7,M. Petah Tikva,3,7,4,regular,regular
2011/12,6,7,Maccabi Haifa,4,6,2,regular,regular
2011/12,6,7,Maccabi Netanya,8,5,3,regular,regular
2011/12,7,8,FC Ashdod,11,9,2,regular,regular
2011/12,7,8,H. Petah Tikva,13,14,1,regular,regular
2011/12,7,8,Hapoel Tel Aviv,2,1,1,regular,regular
2011/12,7,8,Kiryat Shmona,9,6,3,regular,regular
2011/12,7,8,M. Petah Tikva,7,11,4,regular,regular
2011/12,7,8,M. Tel Aviv,1,2,1,regular,regular
2011/12,7,8,Maccabi Haifa,6,7,1,regular,regular
2011/12,7,8,Ramat haSharon,14,13,1,regular,regular
2011/12,8,9,B. Jerusalem,10,12,2,regular,regular
2011/12,8,9,Bnei Yehuda,4,8,4,regular,regular
2011/12,8,9,FC Ashdod,9,7,2,regular,regular
2011/12,8,9,H Rishon leZion,12,13,1,regular,regular
2011/12,8,9,H. Beer Sheva,15,16,1,regular,regular
2011/12,8,9,Hapoel Acre,8,6,2,regular,regular
2011/12,8,9,Hapoel Haifa,16,15,1,regular,regular
2011/12,8,9,Hapoel Tel Aviv,1,2,1,regular,regular
2011/12,8,9,Kiryat Shmona,6,5,1,regular,regular
2011/12,8,9,M. Tel Aviv,2,1,1,regular,regular
2011/12,8,9,Maccabi Haifa,7,9,2,regular,regular
2011/12,8,9,Maccabi Netanya,5,4,1,regular,regular
2011/12,8,9,Ramat haSharon,13,10,3,regular,regular
2011/12,9,10,B. Jerusalem,12,11,1,regular,regular
2011/12,9,10,Bnei Sakhnin,3,5,2,regular,regular
2011/12,9,10,Bnei Yehuda,8,9,1,regular,regular
2011/12,9,10,FC Ashdod,7,8,1,regular,regular
2011/12,9,10,Hapoel Tel Aviv,2,1,1,regular,regular
2011/12,9,10,Kiryat Shmona,5,3,2,regular,regular
2011/12,9,10,M. Petah Tikva,11,12,1,regular,regular
2011/12,9,10,M. Tel Aviv,1,2,1,regular,regular
2011/12,9,10,Maccabi Haifa,9,7,2,regular,regular
2011/12,10,11,Bnei Sakhnin,5,7,2,regular,regular
2011/12,10,11,FC Ashdod,8,5,3,regular,regular
2011/12,10,11,H Rishon leZion,13,14,1,regular,regular
2011/12,10,11,H. Petah Tikva,14,13,1,regular,regular
2011/12,10,11,Hapoel Acre,6,4,2,regular,regular
2011/12,10,11,Maccabi Haifa,7,8,1,regular,regular
2011/12,10,11,Maccabi Netanya,4,6,2,regular,regular
2011/12,11,12,Bnei Sakhnin,7,6,1,regular,regular
2011/12,11,12,Bnei Yehuda,9,10,1,regular,regular
2011/12,11,12,Hapoel Acre,4,3,1,regular,regular
2011/12,11,12,Kiryat Shmona,3,2,1,regular,regular
2011/12,11,12,M. Tel Aviv,2,7,5,regular,regular
2011/12,11,12,Maccabi Netanya,6,4,2,regular,regular
2011/12,11,12,Ramat haSharon,10,9,1,regular,regular
2011/12,12,13,B. Jerusalem,11,12,1,regular,regular
2011/12,12,13,FC Ashdod,5,3,2,regular,regular
2011/12,12,13,Hapoel Acre,3,7,4,regular,regular
2011/12,12,13,M. Petah Tikva,12,11,1,regular,regular
2011/12,12,13,M. Tel Aviv,7,8,1,regular,regular
2011/12,12,13,Maccabi Haifa,8,4,4,regular,regular
2011/12,12,13,Maccabi Netanya,4,5,1,regular,regular
2011/12,13,14,Bnei Sakhnin,6,4,2,regular,regular
2011/12,13,14,Bnei Yehuda,10,11,1,regular,regular
2011/12,13,14,Hapoel Acre,7,8,1,regular,regular
2011/12,13,14,M. Petah Tikva,11,10,1,regular,regular
2011/12,13,14,M. Tel Aviv,8,9,1,regular,regular
2011/12,13,14,Maccabi Haifa,4,6,2,regular,regular
2011/12,13,14,Maccabi Netanya,5,7,2,regular,regular
2011/12,13,14,Ramat haSharon,9,5,4,regular,regular
2011/12,14,15,Bnei Sakhnin,4,5,1,regular,regular
2011/12,14,15,Bnei Yehuda,11,10,1,regular,regular
2011/12,14,15,H Rishon leZion,14,16,2,regular,regular
2011/12,14,15,H. Beer Sheva,16,15,1,regular,regular
2011/12,14,15,H. Petah Tikva,13,14,1,regular,regular
2011/12,14,15,Hapoel Acre,8,4,4,regular,regular
2011/12,14,15,Hapoel Haifa,15,13,2,regular,regular
2011/12,14,15,Hapoel Tel Aviv,1,2,1,regular,regular
2011/12,14,15,Kiryat Shmona,2,1,1,regular,regular
2011/12,14,15,M. Petah Tikva,10,11,1,regular,regular
2011/12,14,15,Maccabi Haifa,6,8,2,regular,regular
2011/12,14,15,Ramat haSharon,5,6,1,regular,regular
2011/12,15,16,Bnei Sakhnin,5,4,1,regular,regular
2011/12,15,16,FC Ashdod,3,2,1,regular,regular
2011/12,15,16,H. Beer Sheva,15,13,2,regular,regular
2011/12,15,16,H. Petah Tikva,14,15,1,regular,regular
2011/12,15,16,Hapoel Acre,4,7,3,regular,regular
2011/12,15,16,Hapoel Haifa,13,14,1,regular,regular
2011/12,15,16,Hapoel Tel Aviv,2,3,1,regular,regular
2011/12,15,16,M. Tel Aviv,9,8,1,regular,regular
2011/12,15,16,Maccabi Haifa,8,5,3,regular,regular
2011/12,15,16,Maccabi Netanya,7,9,2,regular,regular
2011/12,16,17,B. Jerusalem,12,13,1,regular,regular
2011/12,16,17,Bnei Yehuda,10,9,1,regular,regular
2011/12,16,17,H. Beer Sheva,13,15,2,regular,regular
2011/12,16,17,H. Petah Tikva,15,12,3,regular,regular
2011/12,16,17,Hapoel Acre,7,6,1,regular,regular
2011/12,16,17,Maccabi Haifa,5,7,2,regular,regular
2011/12,16,17,Maccabi Netanya,9,10,1,regular,regular
2011/12,16,17,Ramat haSharon,6,5,1,regular,regular
2011/12,17,18,B. Jerusalem,13,12,1,regular,regular
2011/12,17,18,Bnei Sakhnin,4,3,1,regular,regular
2011/12,17,18,Bnei Yehuda,9,7,2,regular,regular
2011/12,17,18,H. Beer Sheva,15,13,2,regular,regular
2011/12,17,18,H. Petah Tikva,12,14,2,regular,regular
2011/12,17,18,Hapoel Acre,6,10,4,regular,regular
2011/12,17,18,Hapoel Haifa,14,15,1,regular,regular
2011/12,17,18,Hapoel Tel Aviv,3,4,1,regular,regular
2011/12,17,18,M. Tel Aviv,8,5,3,regular,regular
2011/12,17,18,Maccabi Haifa,7,6,1,regular,regular
2011/12,17,18,Maccabi Netanya,10,8,2,regular,regular
2011/12,17,18,Ramat haSharon,5,9,4,regular,regular
2011/12,18,19,B. Jerusalem,12,15,3,regular,regular
2011/12,18,19,Bnei Sakhnin,3,4,1,regular,regular
2011/12,18,19,Bnei Yehuda,7,9,2,regular,regular
2011/12,18,19,H. Petah Tikva,14,12,2,regular,regular
2011/12,18,19,Hapoel Haifa,15,14,1,regular,regular
2011/12,18,19,Hapoel Tel Aviv,4,3,1,regular,regular
2011/12,18,19,Maccabi Haifa,6,8,2,regular,regular
2011/12,18,19,Maccabi Netanya,8,6,2,regular,regular
2011/12,18,19,Ramat haSharon,9,7,2,regular,regular
2011/12,19,20,B. Jerusalem,15,12,3,regular,regular
2011/12,19,20,Bnei Yehuda,9,7,2,regular,regular
2011/12,19,20,H. Beer Sheva,13,14,1,regular,regular
2011/12,19,20,H. Petah Tikva,12,13,1,regular,regular
2011/12,19,20,Hapoel Acre,10,9,1,regular,regular
2011/12,19,20,Hapoel Haifa,14,15,1,regular,regular
2011/12,19,20,Maccabi Haifa,8,10,2,regular,regular
2011/12,19,20,Maccabi Netanya,6,8,2,regular,regular
2011/12,19,20,Ramat haSharon,7,6,1,regular,regular
2011/12,20,21,B. Jerusalem,12,11,1,regular,regular
2011/12,20,21,H. Beer Sheva,14,15,1,regular,regular
2011/12,20,21,H. Petah Tikva,13,14,1,regular,regular
2011/12,20,21,Hapoel Haifa,15,13,2,regular,regular
2011/12,20,21,M. Petah Tikva,11,12,1,regular,regular
2011/12,21,22,Bnei Yehuda,7,6,1,regular,regular
2011/12,21,22,H. Beer Sheva,15,13,2,regular,regular
2011/12,21,22,H. Petah Tikva,14,15,1,regular,regular
2011/12,21,22,Hapoel Acre,9,7,2,regular,regular
2011/12,21,22,Hapoel Haifa,13,14,1,regular,regular
2011/12,21,22,Maccabi Haifa,10,8,2,regular,regular
2011/12,21,22,Maccabi Netanya,8,10,2,regular,regular
2011/12,21,22,Ramat haSharon,6,9,3,regular,regular
2011/12,22,23,FC Ashdod,2,3,1,regular,regular
2011/12,22,23,Hapoel Acre,7,8,1,regular,regular
2011/12,22,23,Hapoel Tel Aviv,3,2,1,regular,regular
2011/12,22,23,Maccabi Haifa,8,7,1,regular,regular
2011/12,22,23,Maccabi Netanya,10,9,1,regular,regular
2011/12,22,23,Ramat haSharon,9,10,1,regular,regular
2011/12,23,24,B. Jerusalem,11,12,1,regular,regular
2011/12,23,24,Bnei Yehuda,6,5,1,regular,regular
2011/12,23,24,H. Beer Sheva,13,14,1,regular,regular
2011/12,23,24,Hapoel Acre,8,6,2,regular,regular
2011/12,23,24,Hapoel Haifa,14,13,1,regular,regular
2011/12,23,24,M. Petah Tikva,12,11,1,regular,regular
2011/12,23,24,M. Tel Aviv,5,7,2,regular,regular
2011/12,23,24,Maccabi Haifa,7,8,1,regular,regular
2011/12,24,25,H. Petah Tikva,15,13,2,regular,regular
2011/12,24,25,Hapoel Acre,6,8,2,regular,regular
2011/12,24,25,Hapoel Haifa,13,15,2,regular,regular
2011/12,24,25,M. Tel Aviv,7,9,2,regular,regular
2011/12,24,25,Maccabi Haifa,8,6,2,regular,regular
2011/12,24,25,Maccabi Netanya,9,10,1,regular,regular
2011/12,24,25,Ramat haSharon,10,7,3,regular,regular
2011/12,25,26,Bnei Sakhnin,4,3,1,regular,regular
2011/12,25,26,FC Ashdod,3,4,1,regular,regular
2011/12,25,26,H. Beer Sheva,14,15,1,regular,regular
2011/12,25,26,Hapoel Acre,8,7,1,regular,regular
2011/12,25,26,Hapoel Haifa,15,14,1,regular,regular
2011/12,25,26,Maccabi Netanya,10,8,2,regular,regular
2011/12,25,26,Ramat haSharon,7,10,3,regular,regular
2011/12,26,27,B. Jerusalem,12,14,2,regular,regular
2011/12,26,27,Bnei Sakhnin,3,4,1,regular,regular
2011/12,26,27,Bnei Yehuda,5,6,1,regular,regular
2011/12,26,27,FC Ashdod,4,3,1,regular,regular
2011/12,26,27,Hapoel Acre,7,9,2,regular,regular
2011/12,26,27,Hapoel Haifa,14,11,3,regular,regular
2011/12,26,27,M. Petah Tikva,11,12,1,regular,regular
2011/12,26,27,M. Tel Aviv,9,7,2,regular,regular
2011/12,26,27,Maccabi Haifa,6,5,1,regular,regular
2011/12,27,28,B. Jerusalem,14,12,2,regular,regular
2011/12,27,28,Bnei Yehuda,6,8,2,regular,regular
2011/12,27,28,H. Beer Sheva,15,13,2,regular,regular
2011/12,27,28,H. Petah Tikva,13,15,2,regular,regular
2011/12,27,28,M. Petah Tikva,12,14,2,regular,regular
2011/12,27,28,M. Tel Aviv,7,6,1,regular,regular
2011/12,27,28,Maccabi Netanya,8,7,1,regular,regular
2011/12,28,29,B. Jerusalem,12,11,1,regular,regular
2011/12,28,29,Bnei Sakhnin,4,3,1,regular,regular
2011/12,28,29,FC Ashdod,3,4,1,regular,regular
2011/12,28,29,H. Beer Sheva,13,14,1,regular,regular
2011/12,28,29,Hapoel Haifa,11,12,1,regular,regular
2011/12,28,29,M. Petah Tikva,14,13,1,regular,regular
2011/12,28,29,M. Tel Aviv,6,5,1,regular,regular
2011/12,28,29,Maccabi Haifa,5,6,1,regular,regular
2011/12,29,30,H. Beer Sheva,14,13,1,regular,regular
2011/12,29,30,M. Petah Tikva,13,14,1,regular,regular
2011/12,29,30,M. Tel Aviv,5,7,2,regular,regular
2011/12,29,30,Maccabi Netanya,7,5,2,regular,regular
2011/12,31,32,Bnei Yehuda,3,2,1,championship_playoff,championship_playoff
2011/12,31,32,Hapoel Tel Aviv,2,3,1,championship_playoff,championship_playoff
2011/12,32,33,Bnei Sakhnin,5,4,1,championship_playoff,championship_playoff
2011/12,32,33,FC Ashdod,6,7,1,championship_playoff,championship_playoff
2011/12,32,33,Maccabi Haifa,4,6,2,championship_playoff,championship_playoff
2011/12,32,33,Maccabi Netanya,7,5,2,championship_playoff,championship_playoff
2011/12,35,36,Bnei Sakhnin,4,6,2,championship_playoff,championship_playoff
2011/12,35,36,Maccabi Haifa,6,5,1,championship_playoff,championship_playoff
2011/12,35,36,Maccabi Netanya,5,4,1,championship_playoff,championship_playoff
2011/12,36,37,Hapoel Tel Aviv,3,4,1,championship_playoff,championship_playoff
2011/12,36,37,Maccabi Netanya,4,3,1,championship_playoff,championship_playoff
2011/12,34,35,Hapoel Acre,1,2,1,relegation_playoff,relegation_playoff
2011/12,34,35,Hapoel Haifa,2,1,1,relegation_playoff,relegation_playoff
2011/12,35,36,Hapoel Acre,2,3,1,relegation_playoff,relegation_playoff
2011/12,35,36,Ramat haSharon,3,2,1,relegation_playoff,relegation_playoff
2012/13,1,2,B. Jerusalem,11,8,3,regular,regular
2012/13,1,2,Bnei Sakhnin,7,11,4,regular,regular
2012/13,1,2,H. Beer Sheva,8,7,1,regular,regular
2012/13,1,2,Hapoel Acre,6,10,4,regular,regular
2012/13,1,2,Hapoel Haifa,9,12,3,regular,regular
2012/13,1,2,Hapoel Tel Aviv,4,3,1,regular,regular
2012/13,1,2,M. Tel Aviv,3,4,1,regular,regular
2012/13,1,2,Maccabi Haifa,12,14,2,regular,regular
2012/13,1,2,Maccabi Netanya,10,9,1,regular,regular
2012/13,1,2,Ramat haSharon,14,6,8,regular,regular
2012/13,2,3,B. Jerusalem,8,10,2,regular,regular
2012/13,2,3,Bnei Sakhnin,11,14,3,regular,regular
2012/13,2,3,Bnei Yehuda,5,8,3,regular,regular
2012/13,2,3,H. Beer Sheva,7,9,2,regular,regular
2012/13,2,3,H. Ramat Gan,13,11,2,regular,regular
2012/13,2,3,Hapoel Acre,10,5,5,regular,regular
2012/13,2,3,Hapoel Haifa,12,13,1,regular,regular
2012/13,2,3,Hapoel Tel Aviv,3,2,1,regular,regular
2012/13,2,3,Kiryat Shmona,2,4,2,regular,regular
2012/13,2,3,M. Tel Aviv,4,3,1,regular,regular
2012/13,2,3,Maccabi Haifa,14,12,2,regular,regular
2012/13,2,3,Maccabi Netanya,9,7,2,regular,regular
2012/13,3,4,B. Jerusalem,10,11,1,regular,regular
2012/13,3,4,Bnei Yehuda,8,5,3,regular,regular
2012/13,3,4,FC Ashdod,1,2,1,regular,regular
2012/13,3,4,H. Beer Sheva,9,10,1,regular,regular
2012/13,3,4,H. Ramat Gan,11,9,2,regular,regular
2012/13,3,4,Hapoel Acre,5,4,1,regular,regular
2012/13,3,4,Hapoel Tel Aviv,2,3,1,regular,regular
2012/13,3,4,Kiryat Shmona,4,8,4,regular,regular
2012/13,3,4,M. Tel Aviv,3,1,2,regular,regular
2012/13,4,5,FC Ashdod,2,1,1,regular,regular
2012/13,4,5,H. Beer Sheva,10,9,1,regular,regular
2012/13,4,5,H. Ramat Gan,9,10,1,regular,regular
2012/13,4,5,Kiryat Shmona,8,7,1,regular,regular
2012/13,4,5,M. Tel Aviv,1,2,1,regular,regular
2012/13,4,5,Maccabi Netanya,7,8,1,regular,regular
2012/13,5,6,B. Jerusalem,11,10,1,regular,regular
2012/13,5,6,Bnei Yehuda,5,6,1,regular,regular
2012/13,5,6,H. Beer Sheva,9,8,1,regular,regular
2012/13,5,6,H. Ramat Gan,10,11,1,regular,regular
2012/13,5,6,Maccabi Netanya,8,9,1,regular,regular
2012/13,5,6,Ramat haSharon,6,5,1,regular,regular
2012/13,6,7,B. Jerusalem,10,8,2,regular,regular
2012/13,6,7,Bnei Sakhnin,14,13,1,regular,regular
2012/13,6,7,H. Beer Sheva,8,7,1,regular,regular
2012/13,6,7,Hapoel Haifa,13,14,1,regular,regular
2012/13,6,7,Kiryat Shmona,7,9,2,regular,regular
2012/13,6,7,Maccabi Netanya,9,10,1,regular,regular
2012/13,7,8,B. Jerusalem,8,5,3,regular,regular
2012/13,7,8,Bnei Sakhnin,13,11,2,regular,regular
2012/13,7,8,Bnei Yehuda,6,9,3,regular,regular
2012/13,7,8,FC Ashdod,1,2,1,regular,regular
2012/13,7,8,H. Beer Sheva,7,10,3,regular,regular
2012/13,7,8,H. Ramat Gan,11,12,1,regular,regular
2012/13,7,8,Kiryat Shmona,9,7,2,regular,regular
2012/13,7,8,M. Tel Aviv,2,1,1,regular,regular
2012/13,7,8,Maccabi Haifa,12,13,1,regular,regular
2012/13,7,8,Maccabi Netanya,10,8,2,regular,regular
2012/13,7,8,Ramat haSharon,5,6,1,regular,regular
2012/13,8,9,B. Jerusalem,5,6,1,regular,regular
2012/13,8,9,Bnei Yehuda,9,4,5,regular,regular
2012/13,8,9,Hapoel Acre,4,5,1,regular,regular
2012/13,8,9,Kiryat Shmona,7,8,1,regular,regular
2012/13,8,9,Maccabi Netanya,8,9,1,regular,regular
2012/13,8,9,Ramat haSharon,6,7,1,regular,regular
2012/13,9,10,B. Jerusalem,6,5,1,regular,regular
2012/13,9,10,FC Ashdod,2,1,1,regular,regular
2012/13,9,10,H. Beer Sheva,10,7,3,regular,regular
2012/13,9,10,H. Ramat Gan,12,13,1,regular,regular
2012/13,9,10,Hapoel Acre,5,8,3,regular,regular
2012/13,9,10,Kiryat Shmona,8,9,1,regular,regular
2012/13,9,10,M. Tel Aviv,1,2,1,regular,regular
2012/13,9,10,Maccabi Haifa,13,12,1,regular,regular
2012/13,9,10,Maccabi Netanya,9,10,1,regular,regular
2012/13,9,10,Ramat haSharon,7,6,1,regular,regular
2012/13,10,11,Bnei Sakhnin,11,12,1,regular,regular
2012/13,10,11,H. Beer Sheva,7,9,2,regular,regular
2012/13,10,11,Hapoel Tel Aviv,3,2,1,regular,regular
2012/13,10,11,Kiryat Shmona,9,7,2,regular,regular
2012/13,10,11,M. Tel Aviv,2,3,1,regular,regular
2012/13,10,11,Maccabi Haifa,12,11,1,regular,regular
2012/13,11,12,B. Jerusalem,5,4,1,regular,regular
2012/13,11,12,Bnei Yehuda,4,6,2,regular,regular
2012/13,11,12,FC Ashdod,1,3,2,regular,regular
2012/13,11,12,H. Beer Sheva,9,7,2,regular,regular
2012/13,11,12,Hapoel Acre,8,10,2,regular,regular
2012/13,11,12,Kiryat Shmona,7,5,2,regular,regular
2012/13,11,12,M. Tel Aviv,3,1,2,regular,regular
2012/13,11,12,Maccabi Haifa,11,9,2,regular,regular
2012/13,11,12,Maccabi Netanya,10,11,1,regular,regular
2012/13,11,12,Ramat haSharon,6,8,2,regular,regular
2012/13,12,13,B. Jerusalem,4,5,1,regular,regular
2012/13,12,13,Bnei Sakhnin,12,13,1,regular,regular
2012/13,12,13,H. Ramat Gan,13,12,1,regular,regular
2012/13,12,13,Kiryat Shmona,5,4,1,regular,regular
2012/13,12,13,Maccabi Haifa,9,8,1,regular,regular
2012/13,12,13,Ramat haSharon,8,9,1,regular,regular
2012/13,13,14,B. Jerusalem,5,6,1,regular,regular
2012/13,13,14,Bnei Sakhnin,13,11,2,regular,regular
2012/13,13,14,Bnei Yehuda,6,4,2,regular,regular
2012/13,13,14,H. Beer Sheva,7,8,1,regular,regular
2012/13,13,14,H. Ramat Gan,12,13,1,regular,regular
2012/13,13,14,Hapoel Tel Aviv,2,1,1,regular,regular
2012/13,13,14,Kiryat Shmona,4,5,1,regular,regular
2012/13,13,14,M. Tel Aviv,1,2,1,regular,regular
2012/13,13,14,Maccabi Haifa,8,7,1,regular,regular
2012/13,13,14,Maccabi Netanya,11,12,1,regular,regular
2012/13,14,15,Bnei Sakhnin,11,10,1,regular,regular
2012/13,14,15,Bnei Yehuda,4,5,1,regular,regular
2012/13,14,15,H. Beer Sheva,8,9,1,regular,regular
2012/13,14,15,H. Ramat Gan,13,11,2,regular,regular
2012/13,14,15,Hapoel Acre,10,12,2,regular,regular
2012/13,14,15,Hapoel Tel Aviv,1,2,1,regular,regular
2012/13,14,15,Kiryat Shmona,5,4,1,regular,regular
2012/13,14,15,M. Tel Aviv,2,1,1,regular,regular
2012/13,14,15,Maccabi Netanya,12,13,1,regular,regular
2012/13,14,15,Ramat haSharon,9,8,1,regular,regular
2012/13,15,16,B. Jerusalem,6,8,2,regular,regular
2012/13,15,16,Maccabi Haifa,7,6,1,regular,regular
2012/13,15,16,Ramat haSharon,8,7,1,regular,regular
2012/13,16,17,B. Jerusalem,8,6,2,regular,regular
2012/13,16,17,Bnei Yehuda,5,7,2,regular,regular
2012/13,16,17,FC Ashdod,3,5,2,regular,regular
2012/13,16,17,Hapoel Acre,12,13,1,regular,regular
2012/13,16,17,Maccabi Haifa,6,3,3,regular,regular
2012/13,16,17,Maccabi Netanya,13,12,1,regular,regular
2012/13,16,17,Ramat haSharon,7,8,1,regular,regular
2012/13,17,18,B. Jerusalem,6,4,2,regular,regular
2012/13,17,18,Bnei Yehuda,7,8,1,regular,regular
2012/13,17,18,FC Ashdod,5,7,2,regular,regular
2012/13,17,18,H. Ramat Gan,11,12,1,regular,regular
2012/13,17,18,Kiryat Shmona,4,5,1,regular,regular
2012/13,17,18,Maccabi Netanya,12,11,1,regular,regular
2012/13,17,18,Ramat haSharon,8,6,2,regular,regular
2012/13,18,19,FC Ashdod,7,5,2,regular,regular
2012/13,18,19,Hapoel Acre,13,14,1,regular,regular
2012/13,18,19,Hapoel Haifa,14,13,1,regular,regular
2012/13,18,19,Kiryat Shmona,5,6,1,regular,regular
2012/13,18,19,Ramat haSharon,6,7,1,regular,regular
2012/13,19,20,Bnei Sakhnin,10,11,1,regular,regular
