season,stage,local_round,global_round,leader,leader_points,runner_up,runner_up_points,gap_1st_2nd,remaining_rounds,points_available,is_title_decided_after_round,title_decision_method
2006/07,regular,1,1,H. Kfar Saba,3.0,Maccabi Netanya,3.0,0.0,32,96,False,full_season_no_playoff
2006/07,regular,2,2,H. Kfar Saba,6.0,B. Jerusalem,6.0,0.0,31,93,False,full_season_no_playoff
2006/07,regular,3,3,B. Jerusalem,9.0,H. Kfar Saba,6.0,3.0,30,90,False,full_season_no_playoff
2006/07,regular,4,4,B. Jerusalem,10.0,Maccabi Haifa,9.0,1.0,29,87,False,full_season_no_playoff
2006/07,regular,5,5,M. Petah Tikva,10.0,B. Jerusalem,10.0,0.0,28,84,False,full_season_no_playoff
2006/07,regular,6,6,B. Jerusalem,13.0,FC Ashdod,12.0,1.0,27,81,False,full_season_no_playoff
2006/07,regular,7,7,B. Jerusalem,16.0,Maccabi Netanya,12.0,4.0,26,78,False,full_season_no_playoff
2006/07,regular,8,8,B. Jerusalem,17.0,Hapoel Tel Aviv,14.0,3.0,25,75,False,full_season_no_playoff
2006/07,regular,9,9,Hapoel Tel Aviv,17.0,B. Jerusalem,17.0,0.0,24,72,False,full_season_no_playoff
2006/07,regular,10,10,B. Jerusalem,20.0,M. Petah Tikva,19.0,1.0,23,69,False,full_season_no_playoff
2006/07,regular,11,11,B. Jerusalem,23.0,M. Petah Tikva,22.0,1.0,22,66,False,full_season_no_playoff
2006/07,regular,12,12,B. Jerusalem,24.0,FC Ashdod,24.0,0.0,21,63,False,full_season_no_playoff
2006/07,regular,13,13,B. Jerusalem,25.0,FC Ashdod,25.0,0.0,20,60,False,full_season_no_playoff
2006/07,regular,14,14,B. Jerusalem,28.0,FC Ashdod,28.0,0.0,19,57,False,full_season_no_playoff
2006/07,regular,15,15,B. Jerusalem,31.0,FC Ashdod,29.0,2.0,18,54,False,full_season_no_playoff
2006/07,regular,16,16,B. Jerusalem,32.0,FC Ashdod,30.0,2.0,17,51,False,full_season_no_playoff
2006/07,regular,17,17,B. Jerusalem,32.0,Hapoel Tel Aviv,30.0,2.0,16,48,False,full_season_no_playoff
2006/07,regular,18,18,B. Jerusalem,35.0,Hapoel Tel Aviv,31.0,4.0,15,45,False,full_season_no_playoff
2006/07,regular,19,19,B. Jerusalem,38.0,Hapoel Tel Aviv,32.0,6.0,14,42,False,full_season_no_playoff
2006/07,regular,20,20,B. Jerusalem,39.0,Hapoel Tel Aviv,33.0,6.0,13,39,False,full_season_no_playoff
2006/07,regular,21,21,B. Jerusalem,42.0,Hapoel Tel Aviv,36.0,6.0,12,36,False,full_season_no_playoff
2006/07,regular,22,22,B. Jerusalem,43.0,Hapoel Tel Aviv,39.0,4.0,11,33,False,full_season_no_playoff
2006/07,regular,23,23,B. Jerusalem,44.0,Hapoel Tel Aviv,42.0,2.0,10,30,False,full_season_no_playoff
2006/07,regular,24,24,B. Jerusalem,47.0,Hapoel Tel Aviv,45.0,2.0,9,27,False,full_season_no_playoff
2006/07,regular,25,25,B. Jerusalem,50.0,Hapoel Tel Aviv,45.0,5.0,8,24,False,full_season_no_playoff
2006/07,regular,26,26,B. Jerusalem,53.0,Hapoel Tel Aviv,46.0,7.0,7,21,False,full_season_no_playoff
2006/07,regular,27,27,B. Jerusalem,56.0,M. Tel Aviv,47.0,9.0,6,18,False,full_season_no_playoff
2006/07,regular,28,28,B. Jerusalem,57.0,M. Tel Aviv,48.0,9.0,5,15,False,full_season_no_playoff
