season,title_race_closeness_normalized,relegation_closeness_normalized,league_balance_normalized,combined_competitiveness_score,combined_competitiveness_rank,components_available
2006/07,33.047550704384946,6.767223807582521,33.143684167851326,24.319486226606262,20,3
2007/08,37.25119915398271,64.79820627802691,95.81365993548759,65.95435512249907,4,3
2008/09,85.07761453336859,53.13901345291481,58.95816844963125,65.72493214530489,5,3
2009/10,88.40880764437057,47.30941704035877,0.0,45.239408228243114,13,3
2010/11,100.0,26.905829596412552,10.96729469564841,45.95770809735365,11,3
2011/12,30.732435800985876,21.076233183856512,72.63828564299733,41.4823182092799,15,3
2012/13,39.84212712920649,100.0,94.39012736471999,78.07741816464215,2,3
2013/14,17.739925218113843,85.42600896860989,28.001439864141297,43.72245801695501,14,3
2014/15,50.60240963855422,88.34080717488793,100.0,79.64773893781405,1,3
2015/16,88.40880764437057,76.68161434977578,12.36569532295141,59.15203910569926,9,3
2016/17,25.592023265475706,47.533632286995555,45.17716180129591,39.43427245125572,16,3
2017/18,82.88325716659742,0.0,10.618419959127195,31.167225708574872,19,3
2018/19,0.0,70.85201793721974,65.5976619400698,45.48322662576319,12,3
2019/20,22.974657249688416,59.19282511210763,22.542513200812202,34.90333185420275,18,3
2020/21,83.17407561279599,69.95515695067266,80.39131035783636,77.84018097376833,3,3
2021/22,55.5463232239302,84.97757847533634,49.55945016179911,63.36111728702189,6,3
2022/23,61.653510594100545,70.40358744394621,35.03355879867706,55.69688561224127,10,3
2023/24,51.474864977149984,90.80717488789243,45.726222367609985,62.66942074421746,8,3
2024/25,88.40880764437057,45.85201793721975,55.35451666722927,63.205114082939865,7,3
2025/26,84.33734939759036,10.874439461883386,22.42448040413727,39.212089754537004,17,3
