season,season_year,playoff_type,home_team,away_team,home_goals,away_goals,goal_diff,result,home_points,away_points
2024/25,2024,relegation,Hapoel Jerusalem,Ironi Kiryat Shmona,2,0,2,H,3,0
2024/25,2024,relegation,Hapoel Jerusalem,Bnei Sakhnin,4,1,3,H,3,0
2024/25,2024,relegation,Hapoel Jerusalem,Ironi Tiberias,3,1,2,H,3,0
2024/25,2024,relegation,Hapoel Jerusalem,Maccabi Petah Tikva,0,0,0,D,1,1
2024/25,2024,relegation,Maccabi Bnei Reineh,Hapoel Jerusalem,2,1,1,H,3,0
2024/25,2024,relegation,Maccabi Bnei Reineh,F.C. Ashdod,1,1,0,D,1,1
2024/25,2024,relegation,Maccabi Bnei Reineh,Maccabi Petah Tikva,0,2,-2,A,0,3
2024/25,2024,relegation,Maccabi Bnei Reineh,Hapoel Hadera,1,2,-1,A,0,3
2024/25,2024,relegation,Ironi Kiryat Shmona,Maccabi Bnei Reineh,0,3,-3,A,0,3
2024/25,2024,relegation,Ironi Kiryat Shmona,Bnei Sakhnin,0,1,-1,A,0,3
2024/25,2024,relegation,Ironi Kiryat Shmona,Ironi Tiberias,0,2,-2,A,0,3
2024/25,2024,relegation,Ironi Kiryat Shmona,Maccabi Petah Tikva,2,1,1,H,3,0
2024/25,2024,relegation,Bnei Sakhnin,Maccabi Bnei Reineh,0,1,-1,A,0,3
2024/25,2024,relegation,Bnei Sakhnin,F.C. Ashdod,0,0,0,D,1,1
2024/25,2024,relegation,Bnei Sakhnin,Ironi Tiberias,2,1,1,H,3,0
2024/25,2024,relegation,F.C. Ashdod,Hapoel Jerusalem,1,1,0,D,1,1
2024/25,2024,relegation,F.C. Ashdod,Ironi Kiryat Shmona,4,2,2,H,3,0
2024/25,2024,relegation,F.C. Ashdod,Hapoel Hadera,4,1,3,H,3,0
2024/25,2024,relegation,Ironi Tiberias,Maccabi Bnei Reineh,2,1,1,H,3,0
2024/25,2024,relegation,Ironi Tiberias,F.C. Ashdod,1,2,-1,A,0,3
2024/25,2024,relegation,Ironi Tiberias,Maccabi Petah Tikva,0,0,0,D,1,1
2024/25,2024,relegation,Ironi Tiberias,Hapoel Hadera,1,1,0,D,1,1
2024/25,2024,relegation,Maccabi Petah Tikva,Bnei Sakhnin,1,2,-1,A,0,3
2024/25,2024,relegation,Maccabi Petah Tikva,F.C. Ashdod,1,1,0,D,1,1
2024/25,2024,relegation,Maccabi Petah Tikva,Hapoel Hadera,4,1,3,H,3,0
2024/25,2024,relegation,Hapoel Hadera,Hapoel Jerusalem,2,4,-2,A,0,3
2024/25,2024,relegation,Hapoel Hadera,Ironi Kiryat Shmona,1,0,1,H,3,0
2024/25,2024,relegation,Hapoel Hadera,Bnei Sakhnin,0,1,-1,A,0,3
