season,season_year,round,playoff_type,home_team,away_team,home_goals,away_goals,goal_diff,result,home_points,away_points
2021/22,2021,,championship,Maccabi Haifa,Hapoel Be'er Sheva,2,0,2,H,3,0
2021/22,2021,8.0,championship,Maccabi Haifa,Maccabi Tel Aviv,1,3,-2,A,0,3
2021/22,2021,,championship,Maccabi Haifa,Maccabi Netanya,4,0,4,H,3,0
2021/22,2021,1.0,championship,Maccabi Haifa,Hapoel Tel Aviv,3,0,3,H,3,0
2021/22,2021,,championship,Maccabi Haifa,Bnei Sakhnin,1,0,1,H,3,0
2021/22,2021,,championship,Hapoel Be'er Sheva,Maccabi Haifa,1,0,1,H,3,0
2021/22,2021,,championship,Hapoel Be'er Sheva,Maccabi Tel Aviv,1,0,1,H,3,0
2021/22,2021,,championship,Hapoel Be'er Sheva,Maccabi Netanya,4,1,3,H,3,0
2021/22,2021,,championship,Hapoel Be'er Sheva,Hapoel Tel Aviv,2,2,0,D,1,1
2021/22,2021,,championship,Hapoel Be'er Sheva,Bnei Sakhnin,3,1,2,H,3,0
2021/22,2021,3.0,championship,Maccabi Tel Aviv,Maccabi Haifa,1,1,0,D,1,1
2021/22,2021,,championship,Maccabi Tel Aviv,Hapoel Be'er Sheva,1,1,0,D,1,1
2021/22,2021,,championship,Maccabi Tel Aviv,Maccabi Netanya,2,1,1,H,3,0
2021/22,2021,5.0,championship,Maccabi Tel Aviv,Hapoel Tel Aviv,5,0,5,H,3,0
2021/22,2021,,championship,Maccabi Tel Aviv,Bnei Sakhnin,0,0,0,D,1,1
2021/22,2021,,championship,Maccabi Netanya,Maccabi Haifa,3,0,3,H,3,0
2021/22,2021,,championship,Maccabi Netanya,Hapoel Be'er Sheva,3,0,3,H,3,0
2021/22,2021,,championship,Maccabi Netanya,Maccabi Tel Aviv,1,1,0,D,1,1
2021/22,2021,,championship,Maccabi Netanya,Hapoel Tel Aviv,0,0,0,D,1,1
2021/22,2021,,championship,Maccabi Netanya,Bnei Sakhnin,3,0,3,H,3,0
2021/22,2021,6.0,championship,Hapoel Tel Aviv,Maccabi Haifa,0,2,-2,A,0,3
2021/22,2021,,championship,Hapoel Tel Aviv,Hapoel Be'er Sheva,2,1,1,H,3,0
2021/22,2021,10.0,championship,Hapoel Tel Aviv,Maccabi Tel Aviv,0,2,-2,A,0,3
2021/22,2021,,championship,Hapoel Tel Aviv,Maccabi Netanya,2,0,2,H,3,0
2021/22,2021,,championship,Hapoel Tel Aviv,Bnei Sakhnin,2,1,1,H,3,0
2021/22,2021,,championship,Bnei Sakhnin,Maccabi Haifa,0,3,-3,A,0,3
2021/22,2021,,championship,Bnei Sakhnin,Hapoel Be'er Sheva,1,1,0,D,1,1
2021/22,2021,,championship,Bnei Sakhnin,Maccabi Tel Aviv,1,0,1,H,3,0
2021/22,2021,,championship,Bnei Sakhnin,Maccabi Netanya,1,1,0,D,1,1
2021/22,2021,,championship,Bnei Sakhnin,Hapoel Tel Aviv,0,0,0,D,1,1
