season,season_year,playoff_type,home_team,away_team,home_goals,away_goals,goal_diff,result,home_points,away_points
2012/13,2012,relegation,Beitar Jerusalem,Hapoel Acre,2,2,0,D,1,1
2012/13,2012,relegation,Beitar Jerusalem,Hapoel Be'er Sheva,1,0,1,H,3,0
2012/13,2012,relegation,Beitar Jerusalem,Hapoel Ramat Gan,1,2,-1,A,0,3
2012/13,2012,relegation,Beitar Jerusalem,Maccabi Netanya,1,3,-2,A,0,3
2012/13,2012,relegation,Bnei Sakhnin,Beitar Jerusalem,0,0,0,D,1,1
2012/13,2012,relegation,Bnei Sakhnin,Hapoel Haifa,0,0,0,D,1,1
2012/13,2012,relegation,Bnei Sakhnin,Hapoel Ramat Gan,1,0,1,H,3,0
2012/13,2012,relegation,F.C. Ashdod,Beitar Jerusalem,2,2,0,D,1,1
2012/13,2012,relegation,F.C. Ashdod,Bnei Sakhnin,1,1,0,D,1,1
2012/13,2012,relegation,F.C. Ashdod,Hapoel Acre,1,2,-1,A,0,3
2012/13,2012,relegation,F.C. Ashdod,Hapoel Haifa,1,0,1,H,3,0
2012/13,2012,relegation,Hapoel Acre,Bnei Sakhnin,1,1,0,D,1,1
2012/13,2012,relegation,Hapoel Acre,Hapoel Ramat Gan,2,1,1,H,3,0
2012/13,2012,relegation,Hapoel Acre,Maccabi Netanya,2,0,2,H,3,0
2012/13,2012,relegation,Hapoel Be'er Sheva,Bnei Sakhnin,1,2,-1,A,0,3
2012/13,2012,relegation,Hapoel Be'er Sheva,F.C. Ashdod,2,0,2,H,3,0
2012/13,2012,relegation,Hapoel Be'er Sheva,Hapoel Acre,0,0,0,D,1,1
2012/13,2012,relegation,Hapoel Be'er Sheva,Hapoel Haifa,2,0,2,H,3,0
2012/13,2012,relegation,Hapoel Haifa,Beitar Jerusalem,3,1,2,H,3,0
2012/13,2012,relegation,Hapoel Haifa,Hapoel Acre,1,1,0,D,1,1
2012/13,2012,relegation,Hapoel Haifa,Hapoel Ramat Gan,1,0,1,H,3,0
2012/13,2012,relegation,Hapoel Haifa,Maccabi Netanya,3,0,3,H,3,0
2012/13,2012,relegation,Hapoel Ramat Gan,F.C. Ashdod,1,2,-1,A,0,3
2012/13,2012,relegation,Hapoel Ramat Gan,Hapoel Be'er Sheva,1,1,0,D,1,1
2012/13,2012,relegation,Hapoel Ramat Gan,Maccabi Netanya,0,0,0,D,1,1
2012/13,2012,relegation,Maccabi Netanya,Bnei Sakhnin,1,1,0,D,1,1
2012/13,2012,relegation,Maccabi Netanya,F.C. Ashdod,2,1,1,H,3,0
2012/13,2012,relegation,Maccabi Netanya,Hapoel Be'er Sheva,0,3,-3,A,0,3
