season,stage,round,team,points,position,goal_diff
2011/12,relegation_playoff,31,Ramat haSharon,40,1,-6
2011/12,relegation_playoff,31,Hapoel Acre,38,2,3
2011/12,relegation_playoff,31,B. Jerusalem,37,3,-15
2011/12,relegation_playoff,31,Hapoel Haifa,35,4,-4
2011/12,relegation_playoff,31,H. Beer Sheva,32,5,-22
2011/12,relegation_playoff,31,M. Petah Tikva,27,6,-21
2011/12,relegation_playoff,31,H Rishon leZion,27,7,-23
2011/12,relegation_playoff,31,H. Petah Tikva,22,8,-16
2011/12,relegation_playoff,32,Hapoel Acre,41,1,5
2011/12,relegation_playoff,32,Ramat haSharon,40,2,-8
2011/12,relegation_playoff,32,B. Jerusalem,40,3,-14
2011/12,relegation_playoff,32,Hapoel Haifa,35,4,-5
2011/12,relegation_playoff,32,H. Beer Sheva,33,5,-22
2011/12,relegation_playoff,32,M. Petah Tikva,30,6,-20
2011/12,relegation_playoff,32,H Rishon leZion,27,7,-24
2011/12,relegation_playoff,32,H. Petah Tikva,23,8,-16
2011/12,relegation_playoff,33,Ramat haSharon,43,1,-7
2011/12,relegation_playoff,33,B. Jerusalem,43,2,-13
2011/12,relegation_playoff,33,Hapoel Acre,41,3,4
2011/12,relegation_playoff,33,Hapoel Haifa,38,4,-3
2011/12,relegation_playoff,33,H. Beer Sheva,36,5,-21
2011/12,relegation_playoff,33,M. Petah Tikva,30,6,-21
2011/12,relegation_playoff,33,H Rishon leZion,27,7,-26
2011/12,relegation_playoff,33,H. Petah Tikva,23,8,-17
2011/12,relegation_playoff,34,B. Jerusalem,46,1,-12
2011/12,relegation_playoff,34,Ramat haSharon,43,2,-8
2011/12,relegation_playoff,34,Hapoel Acre,42,3,4
2011/12,relegation_playoff,34,Hapoel Haifa,39,4,-3
2011/12,relegation_playoff,34,H. Beer Sheva,39,5,-20
2011/12,relegation_playoff,34,M. Petah Tikva,33,6,-20
2011/12,relegation_playoff,34,H Rishon leZion,27,7,-27
2011/12,relegation_playoff,34,H. Petah Tikva,23,8,-18
2011/12,relegation_playoff,35,B. Jerusalem,49,1,-10
2011/12,relegation_playoff,35,Hapoel Acre,45,2,6
2011/12,relegation_playoff,35,Ramat haSharon,44,3,-8
2011/12,relegation_playoff,35,Hapoel Haifa,40,4,-3
2011/12,relegation_playoff,35,H. Beer Sheva,39,5,-22
2011/12,relegation_playoff,35,M. Petah Tikva,36,6,-19
2011/12,relegation_playoff,35,H Rishon leZion,27,7,-28
2011/12,relegation_playoff,35,H. Petah Tikva,23,8,-20
2011/12,relegation_playoff,36,B. Jerusalem,50,1,-10
2011/12,relegation_playoff,36,Hapoel Acre,45,2,5
2011/12,relegation_playoff,36,Ramat haSharon,45,3,-8
2011/12,relegation_playoff,36,Hapoel Haifa,41,4,-3
2011/12,relegation_playoff,36,H. Beer Sheva,40,5,-22
2011/12,relegation_playoff,36,M. Petah Tikva,39,6,-18
2011/12,relegation_playoff,36,H Rishon leZion,27,7,-30
2011/12,relegation_playoff,36,H. Petah Tikva,26,8,-18
2011/12,relegation_playoff,37,B. Jerusalem,50,1,-12
2011/12,relegation_playoff,37,Hapoel Acre,48,2,6
2011/12,relegation_playoff,37,Ramat haSharon,46,3,-8
2011/12,relegation_playoff,37,Hapoel Haifa,44,4,-2
2011/12,relegation_playoff,37,H. Beer Sheva,43,5,-20
2011/12,relegation_playoff,37,M. Petah Tikva,40,6,-18
2011/12,relegation_playoff,37,H Rishon leZion,27,7,-31
2011/12,relegation_playoff,37,H. Petah Tikva,26,8,-19
