season,stage,round,team,points,position,goal_diff
2022/23,relegation_playoff,27,Hapoel Haifa,31,1,-3
2022/23,relegation_playoff,27,Bnei Sakhnin,31,2,-4
2022/23,relegation_playoff,27,B. Jerusalem,31,3,-8
2022/23,relegation_playoff,27,Hapoel Hadera,29,4,-16
2022/23,relegation_playoff,27,Hapoel Tel Aviv,27,5,-15
2022/23,relegation_playoff,27,M. Bnei Reineh,25,6,-19
2022/23,relegation_playoff,27,Kiryat Shmona,22,7,-12
2022/23,relegation_playoff,27,Ness Ziona,20,8,-22
2022/23,relegation_playoff,28,B. Jerusalem,34,1,-6
2022/23,relegation_playoff,28,Bnei Sakhnin,32,2,-4
2022/23,relegation_playoff,28,Hapoel Haifa,31,3,-5
2022/23,relegation_playoff,28,Hapoel Tel Aviv,30,4,-14
2022/23,relegation_playoff,28,Hapoel Hadera,30,5,-16
2022/23,relegation_playoff,28,M. Bnei Reineh,26,6,-19
2022/23,relegation_playoff,28,Kiryat Shmona,23,7,-12
2022/23,relegation_playoff,28,Ness Ziona,20,8,-23
2022/23,relegation_playoff,29,Bnei Sakhnin,35,1,-3
2022/23,relegation_playoff,29,Hapoel Haifa,34,2,-4
2022/23,relegation_playoff,29,B. Jerusalem,34,3,-7
2022/23,relegation_playoff,29,Hapoel Hadera,31,4,-16
2022/23,relegation_playoff,29,Hapoel Tel Aviv,30,5,-15
2022/23,relegation_playoff,29,M. Bnei Reineh,29,6,-18
2022/23,relegation_playoff,29,Kiryat Shmona,24,7,-12
2022/23,relegation_playoff,29,Ness Ziona,20,8,-24
2022/23,relegation_playoff,30,B. Jerusalem,37,1,-6
2022/23,relegation_playoff,30,Bnei Sakhnin,36,2,-3
2022/23,relegation_playoff,30,Hapoel Haifa,35,3,-4
2022/23,relegation_playoff,30,M. Bnei Reineh,32,4,-17
2022/23,relegation_playoff,30,Hapoel Hadera,31,5,-17
2022/23,relegation_playoff,30,Hapoel Tel Aviv,30,6,-16
2022/23,relegation_playoff,30,Kiryat Shmona,25,7,-12
2022/23,relegation_playoff,30,Ness Ziona,21,8,-24
2022/23,relegation_playoff,31,B. Jerusalem,40,1,-4
2022/23,relegation_playoff,31,Hapoel Haifa,38,2,-3
2022/23,relegation_playoff,31,Bnei Sakhnin,36,3,-4
2022/23,relegation_playoff,31,Hapoel Tel Aviv,33,4,-15
2022/23,relegation_playoff,31,M. Bnei Reineh,32,5,-19
2022/23,relegation_playoff,31,Hapoel Hadera,31,6,-18
2022/23,relegation_playoff,31,Kiryat Shmona,28,7,-10
2022/23,relegation_playoff,31,Ness Ziona,21,8,-26
2022/23,relegation_playoff,32,B. Jerusalem,40,1,-5
2022/23,relegation_playoff,32,Hapoel Haifa,38,2,-4
2022/23,relegation_playoff,32,Bnei Sakhnin,36,3,-5
2022/23,relegation_playoff,32,M. Bnei Reineh,35,4,-18
2022/23,relegation_playoff,32,Hapoel Tel Aviv,34,5,-15
2022/23,relegation_playoff,32,Hapoel Hadera,34,6,-17
2022/23,relegation_playoff,32,Kiryat Shmona,29,7,-10
2022/23,relegation_playoff,32,Ness Ziona,24,8,-25
2022/23,relegation_playoff,33,Hapoel Haifa,41,1,0
2022/23,relegation_playoff,33,B. Jerusalem,40,2,-6
2022/23,relegation_playoff,33,Bnei Sakhnin,37,3,-5
2022/23,relegation_playoff,33,Hapoel Tel Aviv,37,4,-14
2022/23,relegation_playoff,33,M. Bnei Reineh,35,5,-22
2022/23,relegation_playoff,33,Hapoel Hadera,34,6,-18
2022/23,relegation_playoff,33,Kiryat Shmona,32,7,-9
2022/23,relegation_playoff,33,Ness Ziona,25,8,-25
