season,stage,round,team,points,position,goal_diff
2019/20,relegation_playoff,27,Bnei Yehuda,35,1,-3
2019/20,relegation_playoff,27,Hapoel Hadera,35,2,-4
2019/20,relegation_playoff,27,Maccabi Netanya,34,3,-7
2019/20,relegation_playoff,27,FC Ashdod,31,4,-2
2019/20,relegation_playoff,27,H. Kfar Saba,27,5,-13
2019/20,relegation_playoff,27,Kiryat Shmona,22,6,-13
2019/20,relegation_playoff,27,Ness Ziona,22,7,-23
2019/20,relegation_playoff,27,Hapoel Raanana,16,8,-25
2019/20,relegation_playoff,28,Bnei Yehuda,38,1,2
2019/20,relegation_playoff,28,Hapoel Hadera,35,2,-9
2019/20,relegation_playoff,28,Maccabi Netanya,34,3,-8
2019/20,relegation_playoff,28,FC Ashdod,31,4,-5
2019/20,relegation_playoff,28,H. Kfar Saba,30,5,-11
2019/20,relegation_playoff,28,Kiryat Shmona,25,6,-10
2019/20,relegation_playoff,28,Ness Ziona,25,7,-22
2019/20,relegation_playoff,28,Hapoel Raanana,16,8,-27
2019/20,relegation_playoff,29,Bnei Yehuda,41,1,4
2019/20,relegation_playoff,29,Hapoel Hadera,36,2,-9
2019/20,relegation_playoff,29,FC Ashdod,34,3,-3
2019/20,relegation_playoff,29,Maccabi Netanya,34,4,-10
2019/20,relegation_playoff,29,H. Kfar Saba,31,5,-11
2019/20,relegation_playoff,29,Kiryat Shmona,28,6,-9
2019/20,relegation_playoff,29,Ness Ziona,25,7,-24
2019/20,relegation_playoff,29,Hapoel Raanana,16,8,-28
2019/20,relegation_playoff,30,Bnei Yehuda,42,1,4
2019/20,relegation_playoff,30,Maccabi Netanya,37,2,-9
2019/20,relegation_playoff,30,Hapoel Hadera,36,3,-10
2019/20,relegation_playoff,30,FC Ashdod,35,4,-3
2019/20,relegation_playoff,30,H. Kfar Saba,32,5,-11
2019/20,relegation_playoff,30,Kiryat Shmona,29,6,-9
2019/20,relegation_playoff,30,Ness Ziona,28,7,-23
2019/20,relegation_playoff,30,Hapoel Raanana,16,8,-29
2019/20,relegation_playoff,31,Bnei Yehuda,43,1,4
2019/20,relegation_playoff,31,Maccabi Netanya,40,2,-7
2019/20,relegation_playoff,31,Hapoel Hadera,39,3,-7
2019/20,relegation_playoff,31,FC Ashdod,35,4,-4
2019/20,relegation_playoff,31,H. Kfar Saba,35,5,-10
2019/20,relegation_playoff,31,Kiryat Shmona,29,6,-12
2019/20,relegation_playoff,31,Ness Ziona,29,7,-23
2019/20,relegation_playoff,31,Hapoel Raanana,16,8,-31
2019/20,relegation_playoff,32,Bnei Yehuda,46,1,6
2019/20,relegation_playoff,32,Hapoel Hadera,40,2,-7
2019/20,relegation_playoff,32,Maccabi Netanya,40,3,-10
2019/20,relegation_playoff,32,FC Ashdod,38,4,-1
2019/20,relegation_playoff,32,H. Kfar Saba,35,5,-11
2019/20,relegation_playoff,32,Ness Ziona,32,6,-22
2019/20,relegation_playoff,32,Kiryat Shmona,29,7,-14
2019/20,relegation_playoff,32,Hapoel Raanana,17,8,-31
2019/20,relegation_playoff,33,Bnei Yehuda,49,1,10
2019/20,relegation_playoff,33,FC Ashdod,41,2,1
2019/20,relegation_playoff,33,Hapoel Hadera,40,3,-9
2019/20,relegation_playoff,33,Maccabi Netanya,40,4,-11
2019/20,relegation_playoff,33,H. Kfar Saba,38,5,-10
2019/20,relegation_playoff,33,Kiryat Shmona,32,6,-13
2019/20,relegation_playoff,33,Ness Ziona,32,7,-23
2019/20,relegation_playoff,33,Hapoel Raanana,17,8,-35
