season,stage,round,team,points,position,goal_diff
2024/25,relegation_playoff,27,Kiryat Shmona,37,1,-9
2024/25,relegation_playoff,27,H. Jerusalem,33,2,0
2024/25,relegation_playoff,27,M. Bnei Reineh,32,3,-8
2024/25,relegation_playoff,27,Ironi Tiberias,28,4,-16
2024/25,relegation_playoff,27,M. Petah Tikva,24,5,-23
2024/25,relegation_playoff,27,FC Ashdod,23,6,-13
2024/25,relegation_playoff,27,Bnei Sakhnin,23,7,-21
2024/25,relegation_playoff,27,Hapoel Hadera,21,8,-19
2024/25,relegation_playoff,28,Kiryat Shmona,37,1,-12
2024/25,relegation_playoff,28,M. Bnei Reineh,35,2,-5
2024/25,relegation_playoff,28,H. Jerusalem,34,3,0
2024/25,relegation_playoff,28,Ironi Tiberias,28,4,-17
2024/25,relegation_playoff,28,M. Petah Tikva,27,5,-20
2024/25,relegation_playoff,28,Bnei Sakhnin,26,6,-20
2024/25,relegation_playoff,28,FC Ashdod,24,7,-13
2024/25,relegation_playoff,28,Hapoel Hadera,21,8,-22
2024/25,relegation_playoff,29,H. Jerusalem,37,1,2
2024/25,relegation_playoff,29,Kiryat Shmona,37,2,-14
2024/25,relegation_playoff,29,M. Bnei Reineh,35,3,-7
2024/25,relegation_playoff,29,M. Petah Tikva,30,4,-18
2024/25,relegation_playoff,29,Bnei Sakhnin,29,5,-19
2024/25,relegation_playoff,29,Ironi Tiberias,28,6,-18
2024/25,relegation_playoff,29,FC Ashdod,27,7,-12
2024/25,relegation_playoff,29,Hapoel Hadera,21,8,-23
2024/25,relegation_playoff,30,M. Bnei Reineh,38,1,-6
2024/25,relegation_playoff,30,H. Jerusalem,37,2,1
2024/25,relegation_playoff,30,Kiryat Shmona,37,3,-16
2024/25,relegation_playoff,30,Bnei Sakhnin,32,4,-18
2024/25,relegation_playoff,30,Ironi Tiberias,31,5,-16
2024/25,relegation_playoff,30,FC Ashdod,30,6,-9
2024/25,relegation_playoff,30,M. Petah Tikva,30,7,-19
2024/25,relegation_playoff,30,Hapoel Hadera,21,8,-26
2024/25,relegation_playoff,31,H. Jerusalem,38,1,1
2024/25,relegation_playoff,31,M. Bnei Reineh,38,2,-7
2024/25,relegation_playoff,31,Kiryat Shmona,37,3,-17
2024/25,relegation_playoff,31,Ironi Tiberias,34,4,-15
2024/25,relegation_playoff,31,Bnei Sakhnin,33,5,-18
2024/25,relegation_playoff,31,FC Ashdod,31,6,-9
2024/25,relegation_playoff,31,M. Petah Tikva,31,7,-19
2024/25,relegation_playoff,31,Hapoel Hadera,24,8,-25
2024/25,relegation_playoff,32,H. Jerusalem,41,1,3
2024/25,relegation_playoff,32,M. Bnei Reineh,38,2,-8
2024/25,relegation_playoff,32,Kiryat Shmona,37,3,-18
2024/25,relegation_playoff,32,Bnei Sakhnin,36,4,-17
2024/25,relegation_playoff,32,Ironi Tiberias,34,5,-17
2024/25,relegation_playoff,32,FC Ashdod,32,6,-9
2024/25,relegation_playoff,32,M. Petah Tikva,32,7,-19
2024/25,relegation_playoff,32,Hapoel Hadera,27,8,-24
2024/25,relegation_playoff,33,H. Jerusalem,44,1,5
2024/25,relegation_playoff,33,M. Bnei Reineh,41,2,-7
2024/25,relegation_playoff,33,Kiryat Shmona,37,3,-20
2024/25,relegation_playoff,33,Bnei Sakhnin,36,4,-18
2024/25,relegation_playoff,33,FC Ashdod,35,5,-7
2024/25,relegation_playoff,33,Ironi Tiberias,35,6,-17
2024/25,relegation_playoff,33,M. Petah Tikva,33,7,-19
2024/25,relegation_playoff,33,Hapoel Hadera,27,8,-26
