season,stage,round,team,points,position,goal_diff
2014/15,relegation_playoff,27,Hapoel Raanana,37,1,5
2014/15,relegation_playoff,27,Maccabi Netanya,36,2,-6
2014/15,relegation_playoff,27,Bnei Sakhnin,33,3,-4
2014/15,relegation_playoff,27,Hapoel Tel Aviv,32,4,-4
2014/15,relegation_playoff,27,FC Ashdod,27,5,-16
2014/15,relegation_playoff,27,Hapoel Haifa,26,6,-22
2014/15,relegation_playoff,27,H. Petah Tikva,23,7,-17
2014/15,relegation_playoff,27,Hapoel Acre,22,8,-21
2014/15,relegation_playoff,28,Maccabi Netanya,39,1,-5
2014/15,relegation_playoff,28,Hapoel Raanana,37,2,4
2014/15,relegation_playoff,28,Bnei Sakhnin,36,3,-3
2014/15,relegation_playoff,28,Hapoel Tel Aviv,35,4,-3
2014/15,relegation_playoff,28,FC Ashdod,28,5,-16
2014/15,relegation_playoff,28,Hapoel Haifa,26,6,-23
2014/15,relegation_playoff,28,H. Petah Tikva,23,7,-18
2014/15,relegation_playoff,28,Hapoel Acre,23,8,-21
2014/15,relegation_playoff,29,Maccabi Netanya,40,1,-5
2014/15,relegation_playoff,29,Hapoel Raanana,38,2,4
2014/15,relegation_playoff,29,Bnei Sakhnin,37,3,-3
2014/15,relegation_playoff,29,Hapoel Tel Aviv,35,4,-4
2014/15,relegation_playoff,29,FC Ashdod,29,5,-16
2014/15,relegation_playoff,29,H. Petah Tikva,26,6,-17
2014/15,relegation_playoff,29,Hapoel Acre,26,7,-20
2014/15,relegation_playoff,29,Hapoel Haifa,26,8,-24
2014/15,relegation_playoff,30,Bnei Sakhnin,40,1,-2
2014/15,relegation_playoff,30,Maccabi Netanya,40,2,-6
2014/15,relegation_playoff,30,Hapoel Raanana,39,3,4
2014/15,relegation_playoff,30,Hapoel Tel Aviv,36,4,-4
2014/15,relegation_playoff,30,FC Ashdod,30,5,-16
2014/15,relegation_playoff,30,Hapoel Acre,29,6,-18
2014/15,relegation_playoff,30,Hapoel Haifa,27,7,-24
2014/15,relegation_playoff,30,H. Petah Tikva,26,8,-19
2014/15,relegation_playoff,31,Bnei Sakhnin,41,1,-2
2014/15,relegation_playoff,31,Maccabi Netanya,40,2,-7
2014/15,relegation_playoff,31,Hapoel Raanana,39,3,2
2014/15,relegation_playoff,31,Hapoel Tel Aviv,39,4,-3
2014/15,relegation_playoff,31,Hapoel Acre,32,5,-16
2014/15,relegation_playoff,31,FC Ashdod,31,6,-16
2014/15,relegation_playoff,31,Hapoel Haifa,30,7,-23
2014/15,relegation_playoff,31,H. Petah Tikva,26,8,-20
2014/15,relegation_playoff,32,Bnei Sakhnin,44,1,0
2014/15,relegation_playoff,32,Maccabi Netanya,40,2,-8
2014/15,relegation_playoff,32,Hapoel Raanana,39,3,1
2014/15,relegation_playoff,32,Hapoel Tel Aviv,39,4,-5
2014/15,relegation_playoff,32,Hapoel Acre,35,5,-15
2014/15,relegation_playoff,32,Hapoel Haifa,33,6,-22
2014/15,relegation_playoff,32,FC Ashdod,31,7,-18
2014/15,relegation_playoff,32,H. Petah Tikva,29,8,-18
2014/15,relegation_playoff,33,Bnei Sakhnin,44,1,-1
2014/15,relegation_playoff,33,Hapoel Tel Aviv,42,2,-4
2014/15,relegation_playoff,33,Maccabi Netanya,41,3,-8
2014/15,relegation_playoff,33,Hapoel Raanana,39,4,-1
2014/15,relegation_playoff,33,Hapoel Acre,38,5,-14
2014/15,relegation_playoff,33,Hapoel Haifa,34,6,-22
2014/15,relegation_playoff,33,H. Petah Tikva,32,7,-16
2014/15,relegation_playoff,33,FC Ashdod,31,8,-19
