season,stage,round,team,points,position,goal_diff
2020/21,relegation_playoff,27,Maccabi Netanya,35,1,5
2020/21,relegation_playoff,27,B. Jerusalem,35,2,1
2020/21,relegation_playoff,27,Hapoel Hadera,32,3,-3
2020/21,relegation_playoff,27,Hapoel Haifa,30,4,-9
2020/21,relegation_playoff,27,Hapoel Tel Aviv,30,5,-10
2020/21,relegation_playoff,27,Bnei Sakhnin,30,6,-21
2020/21,relegation_playoff,27,Bnei Yehuda,25,7,-19
2020/21,relegation_playoff,27,H. Kfar Saba,23,8,-16
2020/21,relegation_playoff,28,Maccabi Netanya,38,1,6
2020/21,relegation_playoff,28,B. Jerusalem,35,2,0
2020/21,relegation_playoff,28,Hapoel Hadera,35,3,-2
2020/21,relegation_playoff,28,Hapoel Haifa,33,4,-7
2020/21,relegation_playoff,28,Bnei Sakhnin,31,5,-21
2020/21,relegation_playoff,28,Hapoel Tel Aviv,30,6,-12
2020/21,relegation_playoff,28,Bnei Yehuda,26,7,-19
2020/21,relegation_playoff,28,H. Kfar Saba,23,8,-17
2020/21,relegation_playoff,29,Maccabi Netanya,38,1,5
2020/21,relegation_playoff,29,Hapoel Hadera,38,2,1
2020/21,relegation_playoff,29,B. Jerusalem,36,3,0
2020/21,relegation_playoff,29,Bnei Sakhnin,34,4,-18
2020/21,relegation_playoff,29,Hapoel Haifa,33,5,-10
2020/21,relegation_playoff,29,Hapoel Tel Aviv,33,6,-11
2020/21,relegation_playoff,29,Bnei Yehuda,27,7,-19
2020/21,relegation_playoff,29,H. Kfar Saba,23,8,-20
2020/21,relegation_playoff,30,Maccabi Netanya,41,1,6
2020/21,relegation_playoff,30,Hapoel Hadera,41,2,2
2020/21,relegation_playoff,30,B. Jerusalem,37,3,0
2020/21,relegation_playoff,30,Hapoel Haifa,36,4,-9
2020/21,relegation_playoff,30,Hapoel Tel Aviv,34,5,-11
2020/21,relegation_playoff,30,Bnei Sakhnin,34,6,-19
2020/21,relegation_playoff,30,Bnei Yehuda,27,7,-20
2020/21,relegation_playoff,30,H. Kfar Saba,23,8,-21
2020/21,relegation_playoff,31,Maccabi Netanya,44,1,7
2020/21,relegation_playoff,31,Hapoel Hadera,44,2,3
2020/21,relegation_playoff,31,Hapoel Haifa,39,3,-7
2020/21,relegation_playoff,31,B. Jerusalem,37,4,-2
2020/21,relegation_playoff,31,Hapoel Tel Aviv,35,5,-11
2020/21,relegation_playoff,31,Bnei Sakhnin,34,6,-20
2020/21,relegation_playoff,31,Bnei Yehuda,27,7,-21
2020/21,relegation_playoff,31,H. Kfar Saba,24,8,-21
2020/21,relegation_playoff,32,Maccabi Netanya,45,1,7
2020/21,relegation_playoff,32,Hapoel Hadera,45,2,3
2020/21,relegation_playoff,32,Hapoel Haifa,42,3,-6
2020/21,relegation_playoff,32,B. Jerusalem,40,4,0
2020/21,relegation_playoff,32,Hapoel Tel Aviv,35,5,-12
2020/21,relegation_playoff,32,Bnei Sakhnin,34,6,-22
2020/21,relegation_playoff,32,Bnei Yehuda,30,7,-20
2020/21,relegation_playoff,32,H. Kfar Saba,24,8,-22
2020/21,relegation_playoff,33,Maccabi Netanya,48,1,9
2020/21,relegation_playoff,33,Hapoel Hadera,48,2,6
2020/21,relegation_playoff,33,Hapoel Haifa,42,3,-8
2020/21,relegation_playoff,33,B. Jerusalem,40,4,-3
2020/21,relegation_playoff,33,Hapoel Tel Aviv,38,5,-11
2020/21,relegation_playoff,33,Bnei Sakhnin,34,6,-23
2020/21,relegation_playoff,33,Bnei Yehuda,33,7,-19
2020/21,relegation_playoff,33,H. Kfar Saba,24,8,-23
