season,stage,round,team,points,position,goal_diff
2010/11,relegation_playoff,31,B. Jerusalem,22,1,2
2010/11,relegation_playoff,31,FC Ashdod,20,2,-13
2010/11,relegation_playoff,31,H. Petah Tikva,18,3,-15
2010/11,relegation_playoff,31,Bnei Sakhnin,14,4,-21
2010/11,relegation_playoff,31,H. Ashkelon,13,5,-30
2010/11,relegation_playoff,31,H. Ramat Gan,2,6,-42
2010/11,relegation_playoff,32,B. Jerusalem,25,1,5
2010/11,relegation_playoff,32,FC Ashdod,20,2,-14
2010/11,relegation_playoff,32,H. Petah Tikva,18,3,-18
2010/11,relegation_playoff,32,Bnei Sakhnin,17,4,-20
2010/11,relegation_playoff,32,H. Ashkelon,13,5,-32
2010/11,relegation_playoff,32,H. Ramat Gan,5,6,-40
2010/11,relegation_playoff,33,B. Jerusalem,26,1,5
2010/11,relegation_playoff,33,FC Ashdod,21,2,-14
2010/11,relegation_playoff,33,H. Petah Tikva,18,3,-19
2010/11,relegation_playoff,33,Bnei Sakhnin,17,4,-21
2010/11,relegation_playoff,33,H. Ashkelon,16,5,-31
2010/11,relegation_playoff,33,H. Ramat Gan,8,6,-39
2010/11,relegation_playoff,34,B. Jerusalem,26,1,4
2010/11,relegation_playoff,34,FC Ashdod,22,2,-14
2010/11,relegation_playoff,34,Bnei Sakhnin,20,3,-20
2010/11,relegation_playoff,34,H. Petah Tikva,19,4,-19
2010/11,relegation_playoff,34,H. Ashkelon,19,5,-30
2010/11,relegation_playoff,34,H. Ramat Gan,8,6,-40
2010/11,relegation_playoff,35,B. Jerusalem,26,1,3
2010/11,relegation_playoff,35,FC Ashdod,25,2,-13
2010/11,relegation_playoff,35,Bnei Sakhnin,23,3,-19
2010/11,relegation_playoff,35,H. Petah Tikva,22,4,-16
2010/11,relegation_playoff,35,H. Ashkelon,19,5,-33
2010/11,relegation_playoff,35,H. Ramat Gan,8,6,-41
